count_all,mentions_china,full_name,gender,party,type,birthday,state,district,generation
143,75,Tom Cotton,M,Republican,sen,1977-05-13,AR,,Gen X
145,60,Marsha Blackburn,F,Republican,sen,1952-06-06,TN,,Boomers
165,56,Mark E. Green,M,Republican,rep,1964-11-08,TN,7.0,Boomers
145,55,Jim Banks,M,Republican,rep,1979-07-16,IN,3.0,Gen X
139,47,Michael Waltz,M,Republican,rep,1974-01-31,FL,6.0,Gen X
156,41,Ted Cruz,M,Republican,sen,1970-12-22,TX,,Gen X
94,32,Ted S. Yoho,M,Republican,rep,1955-04-13,FL,3.0,Boomers
177,30,Will Hurd,M,Republican,rep,1977-08-19,TX,23.0,Gen X
147,29,Rick Scott,M,Republican,sen,1952-12-01,FL,,Boomers
132,27,Josh Hawley,M,Republican,sen,1979-12-31,MO,,Gen X
