tweet,dates
"For retailers seeking to gradually re-open operations, the @NRFnews has put together useful resources that highlight key topics to address including social distancing, safety, and bringing employees back to the workforce.
https://t.co/CqDoF2hYXs",2020-05-07 17:48:16
Please join me in thanking all the dedicated nurses in #GA03 and across our country as they continue to save lives and keep people healthy throughout this pandemic. #NationalNurseWeek https://t.co/VMiQDvCFWc,2020-05-06 21:00:00
"With schools currently closed, educators across #GA03 have stayed committed to their students in every way possible. Please join me in thanking our dedicated teachers as we celebrate #TeacherAppreciationWeek. #SendTeachersLove https://t.co/Qprk2naIA3",2020-05-06 13:25:45
I joined @LagrangegaGOV City Council to discuss the recent federal bills that were passed to help combat the impacts of #COVID-19 on small businesses and rural hospitals in #GA03. https://t.co/ufZ0aT6yoa,2020-04-30 15:38:48
"The #PaycheckProtectionProgram is keeping small businesses open and employees on payroll. In the first 24 hours of the fund being replenished, @SBAgov has processed almost $50 billion in loans. https://t.co/rPoRKWXDus https://t.co/tCRlpXqMkK",2020-04-29 18:35:34
.@SBAgov is now accepting applications for the #PaycheckProtectionProgram after Congressional Democrats delayed this critical funding. Small business owners in need of assistance due to the #coronavirus can apply through: https://t.co/ANynBr4nIz https://t.co/XGG5zEWa6F,2020-04-27 16:01:12
"Thank you to Taiwan and @teco_in_atl for donating 100,000 masks to the Georgia Emergency Management Administration (GEMA). The masks are currently being distributed to hospitals across the state. https://t.co/tza51YiVl7",2020-04-24 20:34:14
The #PaycheckProtectionProgram is helping small businesses keep their workers on payroll. The program has ensured millions of American workers keep their jobs across a wide range of industries. https://t.co/p8jQ0Yy7Gq,2020-04-24 17:13:43
".@Kia has announced they’ve delivered 15,000 medical use face shields produced at its Georgia plant to the Georgia Emergency Management Agency (GEMA). https://t.co/wL3qNflonW",2020-04-24 14:43:12
"The Democrats are starting a committee to investigate @realDonaldTrump’s COVID-19 response: 

“This will be nothing more than a partisan hack job &amp; if it’s not, I’ll be the first one to apologize and buy the Speaker a pint of her favorite ice cream.” https://t.co/fv1DGbfjoD",2020-04-23 17:26:49
"Folks with dependent children under age 17 who did not file a tax return in 2018 or 2019 need to fill out the IRS Non-filer tool by Wednesday, April 22 so they can receive the $500 payment per child.
https://t.co/WqLh5xOelV",2020-04-21 15:13:54
Great news from @Kia today as they’ve begun production of face shields at KMMG in West Point for medical personnel during the COVID-19 pandemic. The first donations will stay in Georgia and they’ll ship to other parts of the country in the coming weeks. https://t.co/2WHuH2OYND,2020-04-20 17:14:41
".@SteveScalise and I want to hear from you. If you’re a small business owner seeking assistance through the #PaycheckProtectionProgram but have been left in limbo as Schumer and Pelosi continue to block additional funds for PPP,  please share your story. https://t.co/olzaa9RpGh",2020-04-17 18:46:59
The #PaycheckProtectionProgram allocated $350 billion to over 1.6 million small businesses across America. Pelosi and Schumer need to stop this political charade and replenish this fund to bring relief to small businesses. https://t.co/1ZuzrW5maO,2020-04-16 18:19:20
Please visit my website for information for those who are self-employed and need assistance. Negotiations are ongoing to supplement the PPP fund. Further additional guidance on loan forgiveness will be released by the Treasury Department soon. https://t.co/n9Jg5xM6zT,2020-04-16 16:06:09
Republicans are working to replenish funds to the bipartisan #PaycheckProtectionProgram before it runs dry. Pelosi &amp; Schumer want to play politics and hold the program hostage to advance their left-wing agenda. It’s time to quit blocking relief for small businesses and workers.,2020-04-15 19:13:18
He is risen! Wishing you and your family a holy and blessed #Easter! https://t.co/GimuRivZqf,2020-04-12 13:00:01
Wishing your family and loved ones a blessed #GoodFriday. https://t.co/yzzfeytqAp,2020-04-10 18:26:24
"The @Kia Telluride was named 2020 World Car of the Year and the @Kia Soul was named 2020 World Urban Car of the Year! I’m extremely proud of the work being done at Kia in West Point, GA. Congratulations on these incredible achievements!
https://t.co/sVNmrZJl9T",2020-04-09 15:15:47
