tweet,dates
"The Paycheck Protection Program is critical to protecting small businesses during this crisis, but we must provide oversight &amp; recover any funds claimed by big corporations at the expense of Main Street biz. My comments during @HouseSmallBiz hearing https://t.co/tyIsJ2eMGE",2020-05-08 17:21:11
"ICYMI: It was great to speak with the @IowaLeague last week, provide an update on federal COVID-19 aid for #IA01 municipalities and hear what we need to keep our cities and towns strong during this crisis.",2020-05-07 14:21:16
"On #NationalNursesDay we recognize the nurses who are keeping us safe from coronavirus in our hospitals, our long-term care facilities and in our homes. We must take care of them, too, with adequate PPE and hazard pay. #IA01",2020-05-07 01:33:50
"Last month, an out-of-state company tried to evict mobile home park residents in Dubuque — even though Congress passed a law to stop evictions during the pandemic. Now, I’m pushing to make sure tenants know their rights. #IA01 https://t.co/U23eQhKs9n",2020-05-06 19:26:14
"Even in a crisis, we can see our teachers' hard work, love &amp; dedication. Across #IA01, educators are still teaching, hosting video chats, handing out lunches &amp; more. When schools close, our teachers still show up &amp; make a difference. Thank you all! 🍎❤ #TeacherAppreciationWeek",2020-05-06 17:04:32
".@RepCindyAxne and @daveloebsack joined me in asking the president to order production of PPE for our essential workforce. As we move to reopen Iowa meat processing plants, we must keep our workers and communities safe. We’re asking our senators &amp; governor to join our call. #IA01",2020-05-06 13:37:40
"ICYMI: I had a great meeting with @IowaAFLCIO leaders last week to talk about our Coronavirus response and how we can help workers through this challenging time. I’m calling for higher safety standards, hazard pay, subsidized COBRA payments &amp; more. https://t.co/CGCBuFsx2p",2020-05-05 17:50:48
"I just spoke with Dr. Mindy Brashears, the @USDA undersecretary for food safety. I appreciate USDA, OSHA and CDC efforts in recent weeks to provide safety standards and guidance for food processing plants struggling in the Coronavirus pandemic. #IA01",2020-05-04 16:03:42
I can’t stress enough how disappointed I am that biofuels were denied aid from @USDA — but I'm proud to join Sec. Vilsack and Lt. Gov. Judge in the fight to support our growers &amp; producers. I’ll demand assistance in any new COVID-19 aid package. #IA01 https://t.co/XQhVEYOp0H,2020-05-03 17:53:16
"I spoke yesterday afternoon with letter carriers who are delivering critical supplies, like Rx drugs, across #IA01 during this crisis. I'm committed to ensuring @USPS has the resources it needs to provide this essential service in every corner of America.",2020-04-30 13:52:51
My statement on executive order to keep food processing plants open #IA01 https://t.co/vgSiAASf6A,2020-04-28 20:27:26
"Today, I released my priorities for the next coronavirus relief package. With our families and communities still hurting, we must come together to provide additional aid and slow the spread of COVID-19 https://t.co/2O6l8Z0CG1 #IA01",2020-04-28 18:44:53
I’m happy to see @USDA and @CDCgov taking important steps to help our livestock producers and essential workers as we fight the COVID-19 pandemic and outbreaks at our processing plants. #IA01,2020-04-27 17:51:33
"I voted yesterday to expand the Paycheck Protection Program and ensure small business aid reaches Main Street businesses in #IA01. Now, it's time to get to work on a new relief package providing more help to workers, families and our local governments. https://t.co/R66Ss9rVJl",2020-04-24 17:23:51
"On Monday @USDA announced $19B in Coronavirus aid — but not a penny for biofuels. Now CR is losing an ethanol plant, furloughing 90 workers &amp; cutting off an essential market for farmers. We must support producers &amp; keep the Midwestern economy strong. #IA01 https://t.co/V7DILySpdd",2020-04-23 23:30:28
"Statement on Passage of Additional Funding for Small Business Paycheck Protection Program, Hospitals, and Healthcare Providers #IA01 https://t.co/5cMqh2QRS3",2020-04-23 22:18:01
"Today we’re expanding the Paycheck Protection Program w/ assurances that community-based financial institutions will have access to funds to lend to the Main Street businesses who need it most. Today, I shared the story of one #IA01 small business at our @Housesmallbiz hearing. https://t.co/sv19MdVINB",2020-04-23 19:27:34
This package contains critical support for small businesses and hospitals as well as expanded testing necessary to reopen our economy. I’m especially glad to see $60B reserved for smaller lenders who serve our Main Street businesses. Let’s vote! #IA01 https://t.co/GTX7gx18ce,2020-04-21 21:00:28
"Why are colleges &amp; universities being left behind on emergency COVID-19 payments? We’ve learned it’s because @usedgov didn’t do its job.  Less than 1% of the aid has actually been sent. This is unacceptable, &amp; @RepPorter and I are urging the Dept. of Ed. to fix this problem #IA01",2020-04-21 17:36:04
Our farmers and producers need all the help they can get amid the coronavirus pandemic and Trump’s ongoing trade war — but any aid package that leaves out support for biofuels is inadequate and unacceptable. We must do better than this. #IA01 https://t.co/xM1lJmAI8Y,2020-04-20 20:02:54
"This is unacceptable. Small business loans should go to small businesses, period. That’s why I’m working with @RepJudyChu to hold the SBA accountable to Main Street — not Wall Street. #IA01 https://t.co/WPlG365UQx",2020-04-20 17:27:32
