tweet,dates
"Bill Barr dropped the case against Flynn. Here's what that means:

If you're a friend of the president, then justice doesn't apply to you.

And yet, it doesn't change the facts, or that Flynn committed a serious crime, and pled guilty to it. Twice.

You can't gaslight history. https://t.co/QfESgqMZOS",2020-05-08 23:15:28
"Over 70,000 Americans dead.

More than 20 million newly unemployed.

No national testing and trace strategy.

What was the President’s message to the nation this morning?

That I am “dirty” and “going down.”

I have said he’s unfit for office, and every day he proves me right.",2020-05-08 16:34:24
"By dropping the case against Flynn, the Justice Dept lost 50 years worth of ground in maintaining its independence post-Watergate.

Once again, Bill Barr is doing Trump's dirty work.

And once again, Barr has undermined the legitimacy of our justice system and the rule of law. https://t.co/lUuRoqFqeD",2020-05-08 01:17:55
"Someone close to the President tested positive for COVID-19, so Trump was tested.

This is why it’s vital to observe good practices like social distancing and masks.

The virus is no respecter of persons. Anyone can get it. We need test and trace for all — not just the president. https://t.co/kccSZQseE4",2020-05-07 22:50:24
"Trump’s campaign invited Russian help, made full use of it, then covered it up.

Then, Trump sought more illicit help from Ukraine, leading to his impeachment and a bipartisan vote to convict.

Read just released transcripts from our Russia investigation:

https://t.co/NdE68xDBCW",2020-05-07 21:33:58
"Flynn pled guilty to lying to the FBI about his illicit Russian contacts.

His lies do not now become truths.

This dismissal does not exonerate him.

But it does incriminate Bill Barr.

In the worst politicization of the Justice Department in its history.",2020-05-07 19:51:56
"Ahmaud Arbery, just 25 years old, was gunned down while jogging in his own neighborhood.

Despite the existence of a video, neither attacker has been arrested or charged. An all-too familiar story.

Everyone deserves justice and due process under the law. Ahmaud’s life matters. https://t.co/PTaWIEtqIi",2020-05-07 02:07:51
"We need to listen to the experts and follow their advice, not punish them for speaking the truth.

Even when the truth is politically inconvenient — or it contradicts the story Trump would like to tell.

Lives are at stake. We have to get this right. https://t.co/yXLzh3xtpF",2020-05-06 00:06:09
"It is no surprise Kushner's coronavirus response effort is disorganized, ineffective, and lacking experienced personnel.

But fast-tracking requests from his well-connected cronies, while tens of thousands of Americans die?

There is no limit to the incompetence and malfeasance. https://t.co/cl9rsrBaP3",2020-05-05 19:16:10
"The virus didn’t magically go away as Trump promised, so he:

Blames Democrats, governors, and the press.

Blames his own Intelligence Community and even Dr. Fauci.
 
And he tells us he will accept no responsibility as tens of thousands die.

Trump is the President of victimhood. https://t.co/mplUKm2uuU",2020-05-05 17:16:11
"Last night, Trump used Lincoln’s legacy as a political prop.

But presidents don’t earn a place in history by proclaiming greatness.

They rise to the occasion by taking responsibility, trusting experts and acting in public interest.

Americans want accountability, not backdrops.",2020-05-04 23:11:13
"On #WorldPressFreedomDay I am thinking about Jamal Khashoggi’s friends and loved ones, including his fiancée Hatice.

Jamal was a @washingtonpost journalist who was murdered by Saudi agents for his criticism of the Crown Prince.

In his memory, we must protect press freedom. https://t.co/rTgoPh1REB",2020-05-03 23:51:10
"Trump’s purge of Inspectors General continues, as he removes the one who reported critical shortages of protective gear in hospitals.

Trump will not allow the truth to be told, and that will cost more American lives.

After 60,000 deaths, the silence of Republicans is shameful. https://t.co/fxxAnsMV9v",2020-05-02 17:44:16
"Trump asserts a high degree of confidence that the virus originated at a Wuhan Lab.
 
I haven’t seen the basis for this and have requested the Intel Community provide it, if it exists.
 
The virus has cost the lives of scores. We must not overstate what we know and what we don’t. https://t.co/w0OJaNxlUL",2020-05-01 23:17:49
