tweet,dates
"Here’s to the brave men and women who never gave up, never surrendered, and defeated the Nazis. On this #VEDay75, we celebrate all of our #WWII heroes and the sacrifices made by so many in the name of freedom. https://t.co/kWh6q8gj3k",2020-05-08 21:46:51
"For years, I‘ve worked to push for greater oversight in our relations with China &amp; take their threats against the U.S. to task. I appreciate this appointment by @GOPLeader &amp; look forward to working with my colleagues to strengthen our global security. https://t.co/bUvZnQfIzk",2020-05-08 12:43:44
"How kind of you- being as how you hid the virus.   Was it kind of you to force Italy to buy back with actual money the actual PPE they donated to you?  You abuse human rights, and try to profit on the misery you allowed to spread.  The world is over you. https://t.co/lhK2yXyw4R",2020-05-06 22:44:29
"To the nurses of #IL16 and all across the country, THANK YOU. #ThankYouNurses for the life-saving work you do every single day, for the compassion you show to our loved ones, for serving on the frontlines of the #COVID19 pandemic. #NationalNursesDay",2020-05-06 19:31:42
"The Governors Plan smartly utilizes a regional approach.  I’m encouraged by this and hope as we move through the phases more flexibility will be given to local leaders. 

https://t.co/nXZ4s1HWf7",2020-05-05 21:30:21
"President Bush is a statesman, and has remained generally silent on politics.  Our differences as humans seem small when we face disasters, and @GWBLibrary and the President are 100% correct.  It’s not about you, it’s about us. Fear destroys people, and nations. https://t.co/6GXJ1O4Tun",2020-05-03 14:09:09
Not me.  I prefer him dead and gone.  He’s pure evil. https://t.co/Y1TUKhAET5,2020-05-02 21:48:12
THIS. RIGHT. HERE. https://t.co/SmULR1WoA8,2020-05-02 19:03:51
"This #FeelGoodFriday, I'm giving a shout out to all those in #IL16 sewing masks to share with others, donating their time/resources to feed those in need, &amp; pulling double duty to help their community. 👏 #SchoolLunchHeroDay @StreatorHigh 👏 Full 🎥: https://t.co/7YL2xGsZ7s https://t.co/fChkGhT5iv",2020-05-01 21:26:11
"Glad to hear @GovPritzker will modify his plan following our letter &amp; phone call yesterday on a phased reopening for #Illinois, starting with low-impact areas. We will continue to monitor and advise in the coming days and weeks. https://t.co/1HjxD7qf8x",2020-05-01 14:11:21
"Many counties across #Illinois continue to report zero cases of #COVID19. As we continue to address areas where numbers are high, @GovPritzker must step up &amp; take a regional approach to create a safe reopening plan that balances safety AND employment. https://t.co/1HjxD7qf8x https://t.co/7J6XjRPPu5",2020-04-30 18:38:22
The extreme restrictions and nonsense excuses by the Infinity @CelebrityCruise have become deeply troubling &amp; frankly unacceptable.  My staff and I will continue to work with the Whitcomb family to bring Julia home safely &amp; soon. https://t.co/bkRgZLrClX,2020-04-30 00:44:40
"What kind of insane, Communist sympathy is this garbage @CNN ?  Really?  I’m speechless.  

https://t.co/7Ix0SuGiaU",2020-04-29 13:56:43
"This #WorldImmunizationWeek reminds us that we must do more to ensure all people have access to vaccines. The #coronavirus has shown that diseases cross borders &amp; affect everyone. As we await a vaccine, we realize the importance of having such life-saving protections. https://t.co/alhP32g44E",2020-04-27 20:45:24
"Here’s to the unsung heroes in our community, stepping up to help &amp; inspire during these uncertain times. This week’s #FeelGoodFriday shout-outs go to Kevin Lalley of Lee County EMA (cc: @MarkMadallas161) &amp; Principal Finnegan of @PrairieHill133. 👏👏👏 https://t.co/zUP7LrXKcT https://t.co/U2hrrGEeDe",2020-04-24 20:03:55
"Fear can be a crippling thing, and as we face this global pandemic, the fear can be overwhelming. We have a long road ahead to getting our nation safely reopened, but I believe we are stronger than our fears and we WILL get through this together. https://t.co/1gPjvw2UP1",2020-04-24 00:26:42
"People are facing real hardships right now, and in order to move forward as a nation, we must work together. I'm glad to see the #PPP aid package pass the House today with the strong, bipartisan support it deserves. My full statement here: https://t.co/s2B70mu65A",2020-04-23 22:48:39
"Social media is such an important part of our lives, especially now with #COVID19. But misinformation &amp; fraudulent activity have become real problems. So, today, I'm taking action to hold bad actors accountable &amp; make these companies more responsible. https://t.co/xBgVFGWh4B",2020-04-23 16:40:44
"As we pause today on #YomHaShoah to remember the six million lives taken by pure evil, may we honor their memory by reaffirming our commitment to combat hatred, antisemitism, and intolerance. Hate comes in many forms, but hate will NEVER win. #HolocaustRemembranceDay https://t.co/QnmEbUfvgN",2020-04-22 01:06:24
"Big thank you to Taiwan for their generous donation of 100,000 surgical masks to our #Illinois frontline workers. The United States is fortunate to have such strong allies around the world, like Taiwan, to coordinate with and support as we all face this pandemic together.",2020-04-21 18:20:04
"When the Chinese gov’t tells me they “implemented control measures,” does that include the control of information; shutting out reporters &amp; silencing doctors? As the rest of the world works to fight this pandemic, China needs to come clean &amp; be honest about the #coronavirus. https://t.co/z8KJRC9WqJ",2020-04-20 17:24:40
