tweet,dates
"Much has changed in the four months since President Trump signed #USMCA into law back in December – not the least of which is the ongoing COVID-19 pandemic. However, what has not changed is the importance of this agreement. My column here: https://t.co/rC8NoGsPmG",2020-05-04 21:55:21
"Thank you #NE03 constituents who participated in my ag webinar this morning. Undersec. Ibach and @usdafsa Admin. Fordyce shared great info on @USDA programs for producers during the #COVID19 pandemic. If you missed it, you can watch the full video here: : https://t.co/HuT3gTcDGb",2020-04-30 17:41:39
Appreciated the opportunity to hear from my Youth Advisory Council this afternoon. Thanks to @upstream_farms for sharing their story with all who attended. #NE03 https://t.co/9HTNyu8wym,2020-04-29 00:54:49
"Due to the success of the #PPP Congress returned to Washington to provide more funds for the program. Once again, @POTUS showed crucial leadership in getting all sides together and passing this package in a timely manner. My column here: https://t.co/ZVeXe19XxL",2020-04-28 16:06:55
"To provide you with more information about programs the @USDA is implementing to help producers through this difficult time, I invite you to join me for a webinar with USDA officials this Thursday, at 7:30 AM CDT/6:30 AM MDT. Please pre-register here: https://t.co/SlMzPErOfQ https://t.co/XUChWCoDU3",2020-04-27 18:29:29
The inclusion of small hospitals in #PPP is great news for rural America. @SenatorFischer and I have worked with the administration to fix this and are grateful to @POTUS for getting it done. Our statement here: https://t.co/ASwpv8vhOB,2020-04-24 20:12:03
Small businesses are the lifeblood of rural America and #PPP has been critical to keeping them afloat during this pandemic. My statement on supporting Phase 3.5 of the COVID-19 response: https://t.co/Oc0QbkOp3L,2020-04-23 22:46:51
"Rural community hospitals are doing their part to fight COVID-19. To help them in this fight, @repterrisewell @RepArrington and I introduced a bill to include them in PPP. My release here: https://t.co/AAQ9GmulJQ",2020-04-22 18:31:14
"America relies on our farmers and ranchers to provide a strong, safe, and stable food supply. In the current #COVID19 situation, their importance is even more obvious. My column here: https://t.co/oq9wjTYZqY",2020-04-20 16:53:31
ICYMI - @RealDonaldTrump and @SecretarySonny have released this @USDA proposed rule for $19 billion in #ag assistance. An important first step in ensuring our producers can continue feeding their neighbors and the world. https://t.co/nQbcmR7gp7,2020-04-19 12:25:33
The total worldwide shutdown from a pandemic and the concerning lack of transparency is a failure of the WHO. @realDonaldTrump is right to get to the bottom of these problems. https://t.co/nTmCDRXMG8,2020-04-16 15:40:19
"Due to health and safety concerns with COVID-19, Tuesday’s Service Academy Open House at the Gering Public Library is postponed.
For assistance with the academy nomination process, please contact my Grand Island office. #ne03 https://t.co/oLaRA1LjbX",2020-04-15 13:20:19
