tweet,dates
"Today and every day, we honor the mothers who guide us, inspire us and push us forward. #MothersDay https://t.co/eYcfgS940K",2020-05-10 12:05:08
#WeAreInThisTogether #COVID19 testing now available across the five boroughs https://t.co/FuwA9BWzKo,2020-05-09 19:42:53
"Today we highlight Marc Maurice Principal of the @NYFACS in Harlem as our #NY13LocalHero, despite his family being affected by #COVID19 he is always there for students and faculty reminding them to dream even during this unprecedented #Coronavirus pandemic. Thank you Marc! https://t.co/6u17U8oUxg",2020-05-09 16:44:24
https://t.co/0sCUnBfFXv,2020-05-09 16:28:18
Oficiales electos y consulado RD ponen en marcha centro pruebas COVID-19 en Alto Manhattan https://t.co/Lz2kHQl0IU,2020-05-09 16:17:13
"Little Richard was a founding father of rock and roll and one of the most influential singer-songwriter-pianists in the history of the music genre. He broke musical barriers with his songs, his style and larger than life personality. May he Rest In Peace.

https://t.co/IYD5Pc4RuG",2020-05-09 15:55:34
"We cannot wait this long to pursue justice. For Ahmaud, for anybody. We must create change. We must demand justice. https://t.co/Siha57P9Rk",2020-05-09 02:58:45
"Deep-seated racism led to Ahmaud’s death and to the delay in prosecution of his murderers.
#JusticeForAhmaud @TheRevAl @NationalAction",2020-05-08 22:51:04
"We demand #JusticeForAhmaud and members of Congress stand in solidarity with the family of #AhmaudArbery.

I am calling on my colleagues to join a congressional delegation to #Brunswick to stand with the family. #WeDemandJustice https://t.co/X0sTPfUCUy",2020-05-08 22:37:40
This is just the beginning on this long road ahead and we will be there to give the Arbery family the support they need during this difficult time. #JusticeForAhmaudArbery #AhmaudArbery https://t.co/O9NRt70mHW,2020-05-08 22:29:48
"We cannot remain silent. As a nation, we must demand justice for #AhmaudArbery. Watch live https://t.co/D9rpIYEn9R

Celebrating his life today on what would have been his 26th birthday. https://t.co/Bnazhc9Kdj",2020-05-08 22:18:44
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

The country is thankful for the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75 https://t.co/AryIk8UUSb",2020-05-08 20:55:13
"I stand in solidarity with @NationalNurses and nurses across the country as they demand the protections they need to do their jobs safely during the #COVID19 pandemic. We need to get PPE to the frontlines of this pandemic immediately. #ProtectNurses 

https://t.co/CXJ8iQg8eC",2020-05-08 17:48:37
"Join me in highlighting Nicole Nurse as today’s #NY13LocalHero 
for leading the Institute @forFamilyHealth a volunteer effort to open a new testing site to help those disproportionally impacted by #COVID19 in Harlem. Thank you Nicole, you are our hero! https://t.co/9OezmqNk3R",2020-05-08 17:42:52
"Today would’ve been #AhmaudArbery’s 26th birthday. He was born on Mother’s Day in 1994. 
Tune in tonight at 6pm to @NationalAction Facebook Live. https://t.co/edREXZ95AB",2020-05-08 17:03:45
"Tonight’s #COVID19 press conference and Community Update has been postponed until next week. 

I will be standing united and in solidarity with @TheRevAl @NationalAction tonight as communities around the nation demand justice for #AhmaudArbery https://t.co/ARluhy5ifm",2020-05-08 16:54:45
