tweet,dates
"My friend and brother - the Honorable Al Edwards - was a very special person. He was a freedom fighter. As we celebrate his life and grieve his passing, let us commit to celebrating his legacy today, tomorrow, and EVERY Juneteenth. https://t.co/AefeTOwFXs",2020-05-08 19:03:25
"The tragedy of Emmett Till, Trayvon Martin, and #AhmaudArbery is that someone alive today will suffer the same fate. Until there are arrests and speedy trials, we are not truly showing that #BlackLivesMatter. Sadly, I say Happy Birthday Ahmaud, but boldly I say #JusticeForAhmaud.",2020-05-08 13:47:41
Hope you’re tuned in to “Coronavirus and Homeland Security Part Five: A Panel Discussion on Health Disparities with Dean Michelle Williams and Samantha Artiga.” https://t.co/mS2Y7BYk8S,2020-05-07 17:12:40
HAPPENING SOON https://t.co/74BKBM0jvp,2020-05-07 16:26:48
"HAPPENING TODAY: Yesterday we served over 500 cars in Sunnyside. 
Hiram Clarke, it’s your turn! Get in line now. @ New Faith Church https://t.co/IZAEKNv49g",2020-05-01 15:36:26
Just joined Fort Bend County Judge KP George &amp; HHS Director Dr. Jacqueline Minter to announce the opening of a testing site at Marshall High School in Missouri City. @ Thurgood MarshallHigh School https://t.co/CHga6ys6ES,2020-05-01 15:33:15
Live from Mevo https://t.co/IhmnAaV1Xv,2020-05-01 14:18:50
"This tweet and Floor speech were framed to send a message to the POTUS. Whether he got the message or not, his subsequent behavior indicates opinions of medical experts are meaningless. https://t.co/dnmOuyQcgy",2020-04-30 18:47:39
"🚨SUNNYSIDE🚨
You asked, and we’re delivering! Tomorrow at 1 PM CST my friends and I will distribute food and masks to 500 Sunnyside residents and families. If you or someone you know is in the Sunnyside area and needs food and masks, please come out tomorrow. https://t.co/SBp1huoj0A",2020-04-29 21:53:28
https://t.co/IfGR6VY9Fb,2020-04-29 21:23:42
Live from Mevo https://t.co/7xlycg1Loq,2020-04-29 17:05:14
"To whom it may concern:
If we know that African-American communities have a disproportionate concentration of deaths due to coronavirus, why aren't we concentrating more of our response on combating coronavirus in African-American communities? #BlackLivesMatter",2020-04-28 13:49:58
"After making this statement on the House Floor last week, President Trump has #finally decided to limit his participation in coronavirus press conferences. #AtLast https://t.co/ETRNvY9JMb",2020-04-27 13:41:25
HAPPENING TODAY https://t.co/EzzD9sgZdX,2020-04-27 13:26:11
"President Trump’s medical advice and Lysol have something in common. Both are unfit for human consumption.
#TrumpIsNotADoctor and he’s unfit to be president.",2020-04-24 18:02:36
"Missed my House Floor speech on the next #coronavirus relief measure?
Watch it here: https://t.co/Zw6QW5bkZF",2020-04-23 17:55:41
Hope you are watching the House Floor on @cspan. I'll be sharing my thoughts on the next #coronavirus relief measure soon.,2020-04-23 16:39:56
Hope you're tuned in! https://t.co/Xe2XQFbLGj,2020-04-22 22:10:11
Increasing mobile testing units in vulnerable communities would help us to track and mitigate the spread of COVID-19. @RepSylviaGarcia &amp; I are fighting for mobile testing units in communities that need it most. Read our statement here: https://t.co/1TPKMnvk9K,2020-04-21 23:57:29
HAPPENING NOW! https://t.co/0VJ19gVKOH,2020-04-20 17:08:26
Live from Mevo https://t.co/F3kmekPV0L,2020-04-18 16:45:36
Live from Mevo https://t.co/QQXzZVeJHU,2020-04-13 16:01:37
Make America great again. #KeepFauci #FireTrump,2020-04-13 11:58:28
"We need more mobile testing units in our communities. We must know where the virus is so that we can take better care of the people that we’ve sworn an oath to serve. I promise you, the fight for more mobile testing units is on in Congress.",2020-04-11 20:17:06
Thank you to the religious leaders who are choosing to keep their doors closed this #Easter to protect their lives and the lives of their congregants.,2020-04-11 18:44:50
Thank you to the unsung heroes - such as grocery store workers - for their commitment to our communities during this unprecedented crisis.,2020-04-11 18:43:32
Thank you @HarrisCoJudge &amp; @houmayor for your courageous leadership during the #coronavirus pandemic.,2020-04-11 18:40:48
"As we commemorate #Passover, #Easter, and #Ramadan both now and in days to come, remember that these sacred holidays will be best spent at home protecting our loved ones and people across our nation from #COVIDー19. 

We must all work to flatten the curve and defeat coronavirus.",2020-04-10 14:21:38
"Tune in LIVE. I’m on discussing the alarming, disproportionate death rates of African Americans due to COVID-19. https://t.co/hUTVNKMFb1",2020-04-08 22:11:19
".@realDonaldTrump, in the midst of the #COVID19 pandemic, America needs leadership now more than ever during your presidency. Refusing to work with and then firing the Inspector General just adds to your track record of dishonorable conduct. 

Do the honorable thing - RESIGN.",2020-04-07 22:04:20
"Today, I condemn Texas Governor Greg Abbott’s failure to protect innocent lives. Watch live here:

https://t.co/ptuadZB1kL",2020-04-05 19:09:46
"At Southern News Group with Chairman &amp; CEO Mr. Wea Lee, distributing 10,000 procedural masks to the City of Houston. Watch live at the link below!
https://t.co/TZYCf0Gr1E",2020-04-04 18:02:45
"Small business owners, micro business owners, and self-employed individuals! Don't miss this webinar with SBA reps today at 12 PM CST! https://t.co/sXnQ0BZCWG",2020-04-01 13:56:20
It's #CensusDay2020! Have you been counted? https://t.co/7mU4tovw2A,2020-04-01 13:31:39
"If you have a small business that has been impacted by #COVID19, join us TOMORROW at 12 noon CST to learn about the opportunities for which your business may qualify. https://t.co/tTENPLOZ7b",2020-03-31 17:22:35
