tweet,dates
"Our nation’s public transportation systems are facing financial hardship. The $15.1M I worked to secure for @JTAFLA through the CARES Act will help support travel for essential workers and help pay employees who are unable to work due to COVID-19.
https://t.co/Aj7IkITTkV #Jax",2020-05-08 23:54:53
"Schools are closed, but teachers are showing up for their students in every way possible. This is just one of the many reasons we should let them know how much they’re appreciated. I'm grateful to the educators in #FL05 &amp; across the nation #TeacherAppreciationWeek #ThankATeacher https://t.co/aK6U8z22nT",2020-05-08 17:54:48
"On May 8, 1945, Americans on the home front &amp; front lines celebrated the allied victory in Europe &amp; began to look toward the end of World War II. The Veterans History Project explores the personal stories of vets &amp; how the end of the war felt to them https://t.co/nKlJoi1atJ #OTD",2020-05-08 13:55:06
"#InternSpotlight: Ben is a senior political science student at @JacksonvilleU. The Kansas City, Mo. native said he wanted to intern in our office so he could make a difference in the lives of #FL05 residents. In his free time, he enjoys sailing⛵️, surfing🏄 &amp; fishing 🎣 https://t.co/2TwK8Zu30H",2020-05-05 22:23:00
"This pandemic has put a strain on our higher education system. I worked to ensure #HBCUs, #MSIs received the necessary resources in the #CARESAct. This funding provides $29.4M to #FL05 colleges: @famu_1887 @ewctigers @FGCollege and @FSCJ_Official. #FLedu https://t.co/i8X2YFqWpr",2020-05-04 22:15:06
"The Paycheck Protection Program was created to provide a lifeline to America’s 30 million small businesses and their hardworking employees. #FL05

https://t.co/vVizbm49Ri https://t.co/05YThmLhNV",2020-04-30 17:16:15
"The deadline for producers and distributors interested in participating in the @USDA’s Farmers to Families Food Box is Friday, May 1. The USDA will partner with distributors whose workforce has been significantly impacted by #COVID19. For more info: https://t.co/hIyW6Qdxgd",2020-04-29 20:14:55
"Several COVID-19 testing sites have opened in North Florida, and more are expected to be accessible in the coming weeks. For more information on testing, you can contact the Florida Department of Health COVID-19 Hotline, which is open 24/7, at 1 (866) 779-6121. https://t.co/MBtUh63pXP",2020-04-29 20:11:19
House Ag Committee held an important call with @USDA Secretary Perdue  to discuss the food chain supply and assisting our farmers and ranchers during the COVID-19 pandemic. @HouseAgDems https://t.co/0gKXIS3loe,2020-04-28 21:43:18
"Join me for today's virtual Jacksonville City Council meeting at 4 p.m. 

https://t.co/De6ScGVKSu

MEETING ID: 978 6323 4951",2020-04-28 20:02:18
"The latest $484 billion emergency relief package provides additional funding to small businesses, health care facilities and expands #COVID19 testing. #FL05 https://t.co/fj7CDzQnJI",2020-04-28 18:47:41
Congratulations @HendersonChris_ Welcome to the @Jaguars #Duuuval #FL05 https://t.co/OIBU5CzDOM,2020-04-24 01:37:23
I have heard from many small businesses in #FL05 were unable to access the initial funding provided through the #CARESAct. The funding in the latest $484 billion emergency relief package prioritizes local small businesses and the underserved. https://t.co/mtJIwll8eH,2020-04-24 01:30:26
"As the number of cases in #Florida continues to rise, so has the demand for safe, reliable testing. Several #COVID19 testing sites have opened in North Florida, and more are expected to be accessible in the coming weeks. 
 https://t.co/fVKcJapzCk #FAMU",2020-04-23 20:56:00
"#RamadanMubarak to all who observe. During these difficult times, let's remember the values that faith teaches us: hope, compassion &amp; community. I pray Americans of all faiths take time to learn from one other, share in our common values &amp; find strength in coming together. #FL05 https://t.co/w8LeLONMEP",2020-04-23 14:57:49
"Today, we celebrate 50 years of #EarthDay! Being a Floridian means that we cherish our land, water and community. I’m working to protect our planet today &amp; every day. What are you grateful for this Earth Day? #ForTheLoveOfEarth #FL05 https://t.co/khDb6zzn8v",2020-04-22 19:46:01
"Congrats to my military academy nominee, Gary Hartsfield Jr., who received an offer of appointment to the Air Force Academy. He's a senior at @DuvalSchools Douglas Anderson School of the Arts in #Jacksonville where he has a 4.38GPA. He will serve our state &amp; nation proudly. #FL05 https://t.co/tOanQjS6wZ",2020-04-21 17:15:37
Great conversation on #Jacksonville’s Empowerment Hour radio show (https://t.co/myCg5Q4hSB) where we discussed the #CARESAct &amp; how it benefits local colleges &amp; nonprofits. I'm thankful for our local organizations &amp; faith leaders who are helping to get info to the community. #FL05 https://t.co/XZSNHEm89O,2020-04-21 15:41:00
"While colleges have shifted to online courses &amp; offered refunds for housing &amp; meal plans, student housing companies are demanding students pay in full. I sent letters to #studenthousing companies in #Tallahassee urging them to let students break their leases w/o penalty #FL05 https://t.co/T2FnyURNis",2020-04-20 19:53:36
Great call w/@jaxNAACP Pres. Rumlin &amp; #Jax small business owners about emergency funding during this pandemic. #Smallbusinesses employ nearly half the private workforce. There needs to be improvements to ensure all eligible businesses can access funding &amp; aren’t turned away #FL05 https://t.co/Gugt2CRbwN,2020-04-16 22:30:50
#Jacksonville NAACP Small Business Community Conversation is starting soon: Dial in number: 1 929 205 6099; Meeting ID: 786 3239 5887 #FL05 https://t.co/EOQc69tSN8,2020-04-16 20:51:54
Today at 12:30 https://t.co/AxkJW8bTXb,2020-04-16 15:40:37
"The Gadsden County School Lunch program will be serving breakfast and lunch from 10am to 1pm today at the St. Thomas The Apostle Catholic Church
27 North Shadow Street
Quincy, FL 32351",2020-04-16 14:36:41
Thank you @UofNorthFlorida alumna Kelsey Owen who is working on the frontlines at a New York hospital. I offer my my deepest appreciation to Kelsey and all the courageous medical professionals who risk their own lives and health to save others. #FL05 https://t.co/wDpYmwrokJ,2020-04-15 18:27:33
"Join me and the #Jacksonville Branch #NAACP for our Small Business Community Conversation, Thursday April 16 at 5PM. Dial in number: 1 929 205 6099; Meeting ID: 786 3239 5887 #FL05 https://t.co/1jBnYo4X07",2020-04-15 14:33:00
"Join me and @StartupGrindJa1 for the Small Business Virtual Fireside Chat on Thursday, April 16 from 12:30 PM - 1:45 PM.
#SmallBusinesses can learn more about the benefits of the #CARESAct.  RSVP https://t.co/JBLsFsvXaq",2020-04-15 13:38:00
"Our colleges &amp; students are not exempt from the financial impact of #COVID19. At least half of the #CARESAct funding each institution receives will be distributed to students via cash assistance grants to help with food, housing &amp; other essentials #fl05 https://t.co/kq6ornJMFc https://t.co/C6VKWmnO2D",2020-04-14 22:07:03
"Many of you in #FL05 are balancing several roles. My #Jacksonville staff assistant, Ciera, is teleworking, helping her daughter with assignments from @DuvalSchools, &amp; is a full-time mom to Lucy. She is a superstar. I commend Ciera &amp; the #FacesOfFloridasFifth who are doing it all. https://t.co/u47XnStLxy",2020-04-13 15:35:35
"I partnered with @TMHFORLIFE to remind everyone that we are going to get through this together. As our health care professionals do their jobs, I urge you to do your part to prevent the spread of #COVID19. Let’s keep our community healthy &amp; help save lives
https://t.co/RFCmcEOzCr",2020-04-11 14:34:06
"#INTERNSPOTLIGHT: Lauren, a senior communications student at @FloridaState #FSU, is an active member of the #Panhellenic community. The #Tallahassee native said she hopes her time on #CapitolHill working #ForThePeople made a positive difference in the lives of others #FL05 https://t.co/frIcBO70lW",2020-04-10 16:55:36
"Unfortunately for our communities of color, many ppl aren't provided with the “luxury” to work from home. African Americans are overrepresented in many frontline jobs — grocery stores, transportation, restaurants. America must address these disparities
https://t.co/0A4rTmsPSO",2020-04-09 15:44:11
"Still have questions about the economic #stimuluspackage? Join my conference call with #Tallahassee City Commissioner Dianne Williams-Cox, today at 4PM. Dial in: (978) 990-5034; Access Code: 575841# #TLH #FL05 https://t.co/HM60ew9Clp",2020-04-09 13:43:11
"My Military Academy nominee, Charles Woo, has received an offer of appointment to @WestPoint_USMA. Charles, a senior at Stanton College Prep @DuvalSchools in #Jacksonville, holds a 4.46 GPA. I wish him the best as he continues to make our community &amp; nation proud. Congrats #FL05 https://t.co/UJPIKDsXRL",2020-04-08 14:35:58
The bipartisan #CARESAct puts critical resources where they're needed most due to the #COVID19 pandemic . #economicstimulus https://t.co/FIkGPa9kqO,2020-04-07 18:52:11
"I spoke w/the #GadsdenCounty Sheriff's Office about the #CARESAct &amp; the economic stimulus it will bring to our communities, such as direct payments, funding for food banks &amp; small businesses, and unemployment benefits for Americans who have lost their jobs https://t.co/boevc8ctYH",2020-04-07 15:57:24
Your credit reports and scores play an important role in your future financial opportunities. You can use the steps below to manage and protect your credit during the #COVID19 pandemic. https://t.co/2jU4sBEnBH,2020-04-06 16:39:32
This is amazing! https://t.co/CoRFMAxFIs,2020-04-04 23:27:40
Tune in to WCGL Victory Radio Station (94.7FM &amp; 1360AM #Jacksonville) tonight at 8:30PM as we discuss the recently passed relief package that will assist businesses &amp; millions of Americans amid an unprecedented halt in our economy. Stream it live: https://t.co/gwL8qrz8X7 #FL05,2020-04-02 21:54:45
#SmallBusiness owners in #Florida are eligible to apply for a #SBA Economic Injury Disaster Loan. The program provides businesses with working capital loans that can provide economic support during the #COVID19 outbreak. To apply: https://t.co/ft43WyhWyi #SmallBizRelief #FL05 https://t.co/gJuMMxUveF,2020-04-02 16:24:00
Catch me on the @MelissainJax Show this morning as we discuss the economic relief package passed last week by Congress. Listen now:  https://t.co/5mJd7ro4jR,2020-04-02 13:01:36
"With the #Census2020, we can ensure communities receive the critical funding they need for schools, hospitals, roads &amp; so much more. There are a few ways to complete the #2020Census:
💻Online
📬By mail
📱By telephone 
Don’t meet me there – beat me there at https://t.co/C89jooW2j9 https://t.co/L2oRl0xeXB",2020-04-01 21:57:00
Many of us are spending more time with our families indoors to #flattenthecurve. Use this time to help your community get the resources it needs by completing the #2020Census online at https://t.co/lKvF2hCQp0.,2020-04-01 20:31:00
"Behind every Member of Congress, there is a great, hardworking staff. My #DC, #Jacksonville &amp; #Tallahassee offices are closed, but my staff continues to #telework for you. 

If you have any federal issues, connect with us (904-354-1652 #Jax; 850-558-9450 #TLH; 202-225-0123 DC). https://t.co/0xc95wyjiM",2020-04-01 17:59:00
"Today is #CensusDay. You can respond in one of three ways: 
• Online at https://t.co/lKvF2hlfxs;
• By phone at 844-330-2020;
• Or by mail by returning the questionnaire in the envelope you may have received in your home mailbox from the 2020 Census. https://t.co/FlQml0kVKY",2020-04-01 16:14:12
"We may be #socialdistancing, but that does not stop Congress from legislating. For the economic relief package, I advocated on behalf of #smallbusinesses. Through these efforts, we secured $375 billion to ensure small businesses continue to thrive &amp; serve our local communities. https://t.co/AKVXjqzjPq",2020-03-31 20:51:18
"This year, #EqualPayDay falls during a time of national crisis that impacts many Americans. Women, who are overrepresented in many frontline job, are experiencing massive layoffs. As we face this global crisis, ensuring ALL workers are treated equally is more crucial than ever. https://t.co/ofbk8lIVdG",2020-03-31 18:55:35
"This week, I sent a letter with our #Florida delegation to urge the @USDA to purchase more produce from our #farmers &amp; feed families in-need. #Agriculture #Ag #ThankAFarmer #coronavirus https://t.co/RkNwCEH32Z",2020-03-28 17:30:59
The public health and economic consequences of #COVID19 are significant. The $2 trillion #stimulusbill passed provides direct payments to nearly every American. These #rebates help Americans afford what they need during this public health crisis. #Stimuluscheck #coronavirus #FL05 https://t.co/xmut0kZIwy,2020-03-28 14:56:04
"America is facing an unprecedented public health &amp; economic emergency due to the #COVID19 pandemic. This is an important step in our ongoing effort to ensure workers, businesses &amp; families have the resources they need throughout this crisis. #coronavirus 

https://t.co/RU4XrzvHwo",2020-03-27 22:15:26
"In light of the #coronavirus pandemic, &amp; the economic hardships, my Debt Collection Moratorium Act would prohibit debt collection, repossession &amp; garnishment of wages. The Act would allow time for families &amp; businesses to get back on their feet. #FL05 https://t.co/DmkavcJixl",2020-03-26 17:38:24
Happy birthday @SpeakerPelosi. I am thankful for your vision and steady leadership as we go through these unprecedented times. Our nation is stronger because of your work #ForThePeople. #HappyBirthdayMadamSpeaker 🎈🎈 https://t.co/OCkPOtls7F,2020-03-26 16:32:49
"The #COVID19 Economic Disaster Relief Grant Program offers a lifeline to local #smallbusinesses, and sustain their viability during the application period for State/Federal relief programs and incentives. 
Business owners, based in #LeonCounty, may apply https://t.co/s3ya6DBTEt.",2020-03-26 15:06:13
"Do your part:
• Wash your hands
• Practice social distancing
• Remember, even if you don’t feel sick, you can still spread coronavirus
More prevention tips: https://t.co/YogO6qYOpM",2020-03-26 13:37:31
Social Distancing is hard. Taking care of your mental health is important during this emergency. Learn how to support yourself and others if you’re in a mental health crisis. https://t.co/AK4OA66uSg https://t.co/8R0VHe1BrC,2020-03-23 15:32:00
"#Census2020 will ask a few questions and will keep ALL responses confidential. It will ask your name, phone #, gender, age, date of birth, &amp; race, as well as how many other members live in your household. Be ready, because #WeCount and we must be counted!
https://t.co/y3s2tmn4Xq",2020-03-22 21:36:00
"Communities of color have been under-counted in the Census for decades, leading to mass under-funding of our:
Schools📚
Roads🚗
and cities🌇
Let’s get it right in #Census2020 to make sure #WeCount in our democracy 🇺🇸
https://t.co/4jv3OcyUBj",2020-03-22 15:34:00
"#Census2020 is underway! Given the current public health crisis, one of the safest ways to respond is online - responding online NOW ensures that census employees won’t have to knock on your door in the coming months. Do your part because #WeCount ⬇️ 
https://t.co/jbR7FgX1Bw",2020-03-22 15:16:00
"#Census2020 is underway! Given the current public health crisis, one of the safest ways to respond is by phone now:
English: 844-330-2020
Spanish: 844-468-2020
Additional phone lines can be found here ⬇️ #WeCount
https://t.co/HvXXW4NPb8",2020-03-21 17:16:00
"Did you know that @USCensusBureau is hiring for #Census2020 right now? Apply to serve in our community now.
https://t.co/0u1AcRqnLa

¿Sabías que @USCensusBureau está contratando para el #Censo2020 ahorita? Aplica para servir en nuestra comunidad ahorita
https://t.co/0u1AcRqnLa",2020-03-21 14:14:00
