tweet,dates
The details of this case are horrifying. We need justice. https://t.co/R0dTOvhFYI,2020-05-10 17:30:00
Huge test capacity is the key to reopening our country. It’s the only way to quickly identify and isolate sick people before they can spread the illness. Yet President Trump continues to complain that more testing will make our country “look bad.” https://t.co/D0mqH4ByTZ,2020-05-10 16:20:00
Happy Mother’s Day! I hope everyone is able to connect with their families safely.,2020-05-10 13:03:00
This week’s unemployment statistics are sobering. The American people need our help. We can’t delay our next aid package. I’m proud that we were able to expand and strengthen UI benefits—but far more will be needed.,2020-05-09 20:19:00
"The administration must provide clear guidance, drafted by independent medical experts, on how businesses and industries should operate safely. If we disregard science, we put more and more people in danger. https://t.co/qHOKIr6eCn",2020-05-09 19:21:00
President Trump again repeated that he will try to destroy Obamacare in the middle of the worst public health crisis in a century. This position is totally divorced from reality. It’s profoundly dangerous. https://t.co/UwQW4bQW3o,2020-05-09 17:06:00
Michael Flynn pled guilty to his crimes. Attorney General Barr’s blatantly politicized interference in his prosecution is a stain on the Department of Justice and a threat to the rule of law. Barr is totally unfit for office.,2020-05-09 15:59:31
Secretary DeVos’s new guidelines undermine protections for assault survivors. This is unacceptable. https://t.co/GwiYSwmbro,2020-05-08 19:05:00
"As California begins to reopen, make sure to continue to exercise caution. Maintain social distancing. Wash your hands. Wear a mask. We can’t afford to lose the progress we have made.",2020-05-08 16:45:30
"ICYM: Thread from @LongBeachMayor explaining how reopening will proceed in Long Beach. We’ll proceed carefully, guided by the best expert advice. https://t.co/GEMhGYWpKt",2020-05-07 21:02:27
This year marks the 45th anniversary of the start of the great diaspora from Southeast Asia. Those who resettled here have added to our culture by sharing theirs. I’m proud to introduce a resolution to honor their struggle. https://t.co/1yoSGCLBo2,2020-05-07 19:01:00
"Without aid to states and localities, millions could lose Medicaid coverage in the middle of a pandemic. Countless others who have lost their jobs may be left ineligible. We can’t let that happen. https://t.co/tXjfe0eWNu",2020-05-07 16:40:26
The USPS is a vital service. We can’t allow its mission to be disrupted by coronavirus—but it needs assistance to meet rising costs and declining revenue now. I’m fighting to make sure it gets the resources it needs as soon as possible.,2020-05-07 13:13:00
"Today is National Nurses Day. Now more than ever, we owe them eternal support and gratitude. I’m committed to fighting every day to get them the resources they need to keep us safe.",2020-05-06 22:54:49
The Trump Administration is attempting to strip anti-discrimination protections for #LGBTQ people during a pandemic. More than 115 Members of Congress said no. https://t.co/YFz0ydTr2Y,2020-05-06 20:15:00
"We can’t tolerate any effort to destroy vulnerable, vital ecosystems, especially in the middle of a crisis when public input and oversight is difficult. https://t.co/g8tDCVRQ1i",2020-05-06 19:13:00
This is a dangerous situation for our entire community. We need answers. https://t.co/EJKKIhWFpk,2020-05-06 17:52:34
"The administration still hasn’t abandoned its effort to destroy the Affordable Care Act, which provides coverage to millions through Medicaid and private exchanges, and protects preexisting conditions. If they succeed, the results will be devastating. https://t.co/uDMhwhSZmf",2020-05-06 15:16:59
"Our mental health system was fragile and inadequate before the crisis. Now, with rising depression and anxiety everywhere, the problem is getting more and more critical. Congress must prioritize mental health, quickly. https://t.co/tuTwzVbp5i",2020-05-06 14:01:00
"Thank you to all teachers who are working through this difficult time to support remote learning, and to care for their students as best as possible. As a former educator, I know how critical the work you do is, every day.  #TeacherAppreciationDay",2020-05-05 23:42:58
"During this crisis, and without proper scrutiny, the administration is moving ahead with a radical agenda to help big polluters. Proud to work with my colleagues to hold them accountable. #CultureOfCorruption https://t.co/hjrsvVGblF",2020-05-05 19:02:00
CalFresh recipients may now use their EBT card to buy groceries online for home delivery. I’m fighting to make sure that SNAP recipients nationwide can access home delivery. Learn more here: https://t.co/nH8EUd1hj3,2020-05-05 14:11:00
"ICYMI: My op-ed with @RepRashida. Now more than ever, the dignity, safety and rights of all people should be protected. The Trump Administration must release Congressionally-appropriated humanitarian aid to the Palestinian people. https://t.co/GNzxUcq0vm",2020-05-05 13:10:00
"This is a great victory for conservation. Over and over, the administration has rushed giveaways to oil &amp; gas special interests, without considering the consequences. Enough! https://t.co/lKqg3jdz4q",2020-05-04 22:39:30
Long term care facilities face unique risks. We must protect them. https://t.co/mRcRTAq7kn,2020-05-04 20:31:00
"May is Jewish American Heritage Month. Join me in reflecting on all the countless contributions Jewish Americans have made to the fabric of our nation and our community, and in committing to fight anti-Semitism and bigotry wherever we find it.",2020-05-04 19:45:22
".@RepJoeNeguse is exactly correct. The USPS is critical, helping to keep our communities running during this crisis. We can’t let them down. https://t.co/Jznpj50wBc",2020-05-03 19:41:00
Expanded unemployment provisions are keeping families afloat during this critical times. We can’t allow this vital program to expire prematurely. https://t.co/CLpbGbagbg,2020-05-03 18:26:00
"State and local governments need federal resources, quickly. Jobs and essential services are threatened. Police forces, firefighters, and public health officers could be furloughed when they are needed most. @HouseDemocrats are fighting for them. https://t.co/0daMER0lOF",2020-05-03 14:42:00
