tweet,dates
"Happy Mother’s Day to all of the moms in the 8th District. While we practice social distancing, we may not be able to take mom out to dinner, but we can still show our appreciation for all the care, love, and support offered by our mothers.",2020-05-10 15:26:33
See my website for updates on policy responses to COVID-19: https://t.co/zDHnloe38k,2020-05-09 00:10:12
"75 years ago today, countless soldiers laid down their arms in Europe to celebrate the defeat of tyranny. On the 75th anniversary of V-E Day, we remember all those courageous soldiers who gave their lives to defend our freedoms. America thanks you.",2020-05-08 16:05:57
A global pandemic is not the time to be denying health care to anyone – including reproductive health. I joined colleagues in urging the Speaker to reject any further attempts to restrict an individual’s access to the full range of reproductive health services. https://t.co/DffpahljgM,2020-05-07 20:08:51
Our health centers are perfectly poised to be major centers of testing activity in the state. I am glad that health centers serving the 8th District will receive increased federal assistance from HRSA to augment their COVID-19 testing capabilities. My statement: https://t.co/FWRvbY4pyK,2020-05-07 18:19:42
"While many of us #StayAtHome to practice social distancing, it is still possible to #StayActive. May is National Physical Fitness &amp; Sports month, staying active is good for your health &amp; helps relieve stress. Find out some great ways to stay active at home https://t.co/soJk2TKrsA",2020-05-07 18:03:49
"Essential workers are working hard every day to ensure the health and safety of our communities. With schools closed, many essential workers have to balance work and caring for their children.",2020-05-06 19:59:39
Nurses are on the frontlines fighting against COVID-19 every day. That is why I joined @RepEBJ’s National Nurses Week resolution as an original cosponsor.,2020-05-06 18:34:41
Many aspects of daily life have been disrupted due to COVID-19. Our schools in NJ have closed for the remainder of the school year while we practice social distancing.,2020-05-05 18:37:40
Crafting a comprehensive and effective coronavirus response requires the latest and factual information. Speaking directly with experts like Dr. Fauci &amp; Task Force members enables Congress to ensure our appropriated funding goes towards efforts that will have the greatest impact. https://t.co/m3N7fSgUvq,2020-05-05 15:58:39
"A safe place to call home has never been more important. Important federal funding was awarded today to the 8th District, supporting our public housing authorities in the COVID-19 fight. Read more: https://t.co/Hx7qnilpyu",2020-05-04 20:43:12
"Two weeks ago, Congress passed another interim emergency funding package which included $25 billion for testing.  I joined @janschakowsky and colleagues in urging CMS to ensure that states use part of this funding to prioritize and enhance the testing at nursing homes...",2020-05-04 20:14:03
"As we continue to quarantine and practice social distancing, it is important to remember that you are #NotAlone. May is Mental Health Awareness Month and if you are feeling overwhelmed, there are resources available for you.",2020-05-04 19:30:11
"Have ten minutes to spare this weekend? Fill out the #2020Census. Your answers are safe, secure, and will only be used to produce statistics. These statistics help direct federal funding for projects like infrastructure, healthcare, and more. https://t.co/vC72Tk3dXS",2020-05-02 15:09:01
"Today, HHS announced that New Jersey hospitals &amp; providers would receive an additional $1.7 billion from the most recent distribution of funding from the Provider Relief Fund.",2020-05-02 00:40:58
"The 8th District’s #2020Census response rate is lower than the rest of the state. The census helps determine important funding levels for many local and state programs, including our healthcare workers and first responders.",2020-05-01 19:34:11
"The New Jersey Department of Labor has released new information relating to self-employed individuals, individuals seeking to extend their unemployment benefits, and the delivery of the $600 weekly Pandemic Unemployment Compensation payments. Read more: https://t.co/gUcrVkvxJF",2020-05-01 17:49:18
"The U.S. is nowhere near where it needs to be in terms of testing capacity. In order to safely begin reopening the economy, we must ensure that there is strong testing and contact tracing infrastructure in place to fully understand COVID-19 spread. https://t.co/RhUJhs549b",2020-04-30 17:40:13
"If you receive Supplemental Security Income (SSI) or are a Veterans Affairs beneficiary &amp; you have dependents, you must enter your info through the portal by May 5th to receive the additional $500 stimulus payment for each dependent. You can do so here:  https://t.co/hSp5WAi1oh",2020-04-30 15:19:45
"It is wonderful to see this heartwarming deed highlighting our great New Jersey spirit, and our appreciation for all of the healthcare workers and first responders working to keep us safe. The 8th District and New Jersey thanks you! https://t.co/XT79RmrMnp",2020-04-29 21:43:27
"Today, Israel celebrates #YomHaAtzmaut, its 72nd independence day. Israel has been and will continue to be a crucial ally and friend to the U.S. and I look forward to strengthening our partnership for generations to come.",2020-04-29 20:07:08
"#Coronavirus affects everyone, but it does not affect everyone equally. Latinos have the highest uninsured rate of any racial or ethnic group in the US &amp; suffer from a persistent gap in health care quality &amp; access.",2020-04-28 19:13:42
"8th District #2020Census response rate is only 42.4%, behind the NJ state rate of 53.2%. Have you responded yet? Fill it out online at https://t.co/8coJM8FnsJ, by phone at 844-330-2020, or by mailing in the paper questionnaire sent to your residence.",2020-04-28 12:43:56
Northwest Essex Community Healthcare Network is receiving almost $4 million from SAMHSA to continue their work providing comprehensive behavioral health and substance use disorder services. My statement: https://t.co/A31VdAlEPT,2020-04-27 20:03:27
Today marks the 105th anniversary of the Armenian Genocide. For the past 105 years Armenians have had to fight for recognition of the horrible pain so many families have endured.,2020-04-24 20:26:01
"This afternoon, I voted for an interim spending bill that will help small business funds get to underserved businesses, provide hospitals and front line workers with the funding they need, and fund ramped up testing. Now we must turn to comprehensive legislation. https://t.co/t5YcNBhrjh",2020-04-23 22:46:26
I submitted testimony this morning to the Small Business Committee supporting an increase in funding for the Paycheck Protection Program (PPP) and outlining the concerns I’ve heard from constituents.,2020-04-23 20:56:32
"Yesterday, Senate Majority Leader McConnell called for states to turn to bankruptcy rather than the federal government as they face the economic impact of the COVID-19 pandemic. This is an insult to those who are working to combat the virus and its financial toll.",2020-04-23 16:29:35
NJ is one of the most diverse states in the nation &amp; COVID-19 is disproportionately affecting our communities. It has been difficult to even get accurate information on just how big that impact is. We need to know demographics to ensure that resources are effectively distributed. https://t.co/QjgUX6Apni,2020-04-22 20:50:15
"I joined @RepShalala's letter urging that the 5th COVID-19 emergency package keep essential workers paid, provides them with personal protective equipment, and gets them the hazard pay they deserve for the important work they do. https://t.co/oMercFvN85",2020-04-22 20:35:43
Many people are applying for unemployment insurance for the first time. Visit: https://t.co/QlASUlqY4F when certifying your weekly claims online. This info will help you accurately answer questions and receive your benefits quicker.,2020-04-21 20:34:41
On #YomHaShoah we mourn the 6 million Jews and millions of other victims who lost their lives in the Holocaust. While we are in unprecedented times we must remember those who have suffered in the past.,2020-04-21 20:05:06
"If I you receive Social Security benefits, you are eligible to automatically receive the $1,200 individual stimulus check. These payments will begin soon.  However, if you have dependent children and did not file taxes in 2018/2019, you must register your dependents https://t.co/KxtvFAHg08",2020-04-21 19:00:11
"Renters need relief from the economic impact of the COVID-19 outbreak. The CARES Act suspended evictions from federally-assisted housing and many states, like New Jersey, have suspended evictions for all renters.",2020-04-18 18:48:10
"If you are feeling overwhelmed by COVID-19 pandemic, there are resources available! The Substance Abuse and Mental Health Administration operates a bilingual disaster distress helpline. https://t.co/uh6IxXBcFr",2020-04-17 19:20:04
"As food insecurity in this country is exacerbated by the effects of the COVID-19 pandemic, we must bolster the SNAP program to ensure that the hundreds of thousands of New Jerseyans who rely on this program can continue to access these critical resources.",2020-04-17 14:20:14
"Be on the lookout - The Treasury has begun disbursing individual economic impact payments. Direct deposits have begun, and paper checks will begin later. To check the status of your payment, visit https://t.co/ujHiZsED55.",2020-04-16 16:39:18
"Now is not the time to be cutting funding from the WHO. As the world continues to struggle with this rapidly spreading virus, we should be focused on making every effort to assist our states, cities, and health care systems fight this pandemic here at home.",2020-04-15 21:52:10
The @IRSnews has created a new web portal to check on the status of your individual payments. For those who filed a tax return in 2018/19 visit: https://t.co/K2l72N0Mm4,2020-04-15 20:17:53
Today is Newark Counts Census Day. @CityofNewarkNJ and the 8th District have a lower response rate than the rest of New Jersey. Fill out your census online at https://t.co/kJuh4rV0Hp. The census is critical for determining the amount of resources we get. #NewarkCounts @rasjbaraka,2020-04-15 19:43:26
".@RutgersU has gotten approval from the FDA for a new coronavirus test that uses saliva. This new test will be safer for healthcare professionals administering them, &amp; will hopefully help quickly expand testing around the country, a huge breakthrough from a great NJ university.",2020-04-15 16:59:15
New Jersey has just received over $68 million in funding from the Department of Education through the Governor’s Emergency Relief Fund stipulated in the CARES Act.,2020-04-14 21:11:49
We must make sure our workers get the help they need to weather this crisis which has the potential to destroy thousands of Americans’ livelihoods. I am glad to see that Newark Airport is receiving $147.5 million in federal grants made available by the CARES Act.,2020-04-14 18:57:13
"As we work to respond to the ongoing COVID-19 pandemic while practicing social distancing, I am regularly coordinating with officials on the federal, state, and local levels.",2020-04-14 16:12:10
"If you have lost your job and need health insurance coverage, there are options available. To learn more about if you may qualify for a  Special Enrollment Period or COBRA coverage, visit my website: https://t.co/mkGVvJ5hku",2020-04-13 16:35:17
"As we observe Easter, let us remember all those health care workers, first responders, and essential workers sacrificing so much to keep our communities safe and operating.",2020-04-12 15:17:31
"Our community has suffered another loss with the passing of my friend and former Jersey City Councilwoman, Viola Richardson. My condolences to her husband, her son Willie Jr., and her grandchildren. https://t.co/jCMaGYOQKo",2020-04-11 23:24:58
The IRS has now launched an easy and free registration portal to help individuals who don’t normally file taxes receive their Economic Impact Payments.,2020-04-10 20:34:06
"As a former educator, I understand the importance of keeping children’s minds active. With schools closed due to the spread of COVID-19, here are some helpful resources from @Smithsonian &amp; @librarycongress to keep your kids learning https://t.co/uizfQe32S8 https://t.co/kFG7LfPzPa",2020-04-09 20:06:00
"As reports of domestic &amp; sexual violence incidences continue to mount during this pandemic, we must ensure that these individuals still have access to programs and resources that can help them. https://t.co/e4HTOBrONT",2020-04-09 19:10:01
Two other Community Health Centers in Jersey City and Newark that serve 8th District residents have also received federal funding to address the coronavirus. My statement below: https://t.co/MkUVsdhkT6,2020-04-09 18:41:10
"As COVID-19 continues to spread through our communities, Americans are staying home from work to protect themselves and their families. This also means that many people are coming up on a moment when they might have to choose between paying for groceries and paying electric bills https://t.co/UUx8E6kXVB",2020-04-09 18:03:19
"Si aún no ha completado su #Censo2020, los cuestionarios en papel comenzarán a enviarse a su casa tan pronto como hoy. Puede completar el cuestionario o responder al censo en línea. Sus respuestas determinan la representación y los recursos durante la próxima década.",2020-04-08 18:08:49
"If you haven’t filled out your #Census2020 yet, paper questionnaires will start being delivered to houses as early as today. You can fill out the questionnaire or respond to the census online. Your responses determine representation and resources through the next decade #WeCount.",2020-04-08 18:01:42
"I've joined a letter led by @RepGrijalva to @SpeakerPelosi requesting hazard pay standards in the next COVID-19 response bill that includes @TSA and @DeptVetAffairs workers, healthcare workers... https://t.co/r3j57AiPgn",2020-04-08 14:31:07
It is essential that any future COVID-19 package take into consideration the needs of SNAP recipients. That is why I joined @RepMcGovern in asking leadership to prioritize more support for these individuals. https://t.co/zabVkVjKSM,2020-04-07 22:00:31
".@RepDonaldPayne and I announced  Newark Community Health Centers, Inc. and North Hudson Community Action Corporation will receive a combined total of over $4 million from the Health Center CARES Act funding. https://t.co/Lri8TCpTIL",2020-04-07 21:18:30
"If you or someone you know is experiencing symptoms of coronavirus, there are sites located throughout the state where you can get tested. I have compiled a list of all the testing sites available in the 8th District below. https://t.co/x55iva7kTs",2020-04-07 20:17:02
"Those in need of assistance can contact my Washington D.C. office at (202) 225-7919, or email NJ8inquiries@mail.house.gov. Please include your full name, address, zip code, email, &amp; phone number. This will ensure my staff is able to assist you in a timely manner.",2020-04-07 16:12:31
The CDC is awarding New Jersey an additional $5.6 million to support the state’s response to the COVID-19 pandemic. This funding will supplement an existing cooperative agreement.,2020-04-07 13:58:48
"Our community has already suffered so many losses, personal and public, in our fight against COVID-19. Over the weekend, my good friend, Weehawken President Board of Education and town Finance Director, Richard “Rich” Barsa passed away due to complications of COVID-19.",2020-04-06 22:05:08
I am deeply saddened by the news of the passing of Jersey City Councilman Michael Yun from complications of COVID-19. We met several times over his tenure and he always advocated passionately for his Ward D constituents and his beloved Jersey City.,2020-04-06 18:11:52
I led my colleagues in a letter to Speaker Pelosi asking her to bring legislation that would establish a congressional advisory commission on the COVID-19 pandemic to the Floor for consideration.,2020-04-05 14:33:49
"Today, small businesses - defined as less than 500 employees, with some industry exceptions – are eligible to apply for the Paycheck Protection Program (PPP). Learn more about SBA guidelines here: 
https://t.co/zzI1PR7D2n",2020-04-03 20:02:09
"Proud to join this letter, our resources must be focused on responding to the COVID-19 pandemic. https://t.co/VbiMoQHuug",2020-04-03 19:41:11
