tweet,dates
"Our nation’s nurses have shown us time and time again what true dedication and professionalism means, we must honor them by making sure they have the resources they need to save lives. Thank you to these #FrontLineHeroes! #NationalNursesWeek 🏥 https://t.co/0BHQKkJ2iq",2020-05-09 12:04:00
"With our nation in the middle of a pandemic, it only makes sense to increase purchasing flexibilities to allow online &amp; phone #WIC purchases to limit in-person contact. I joined @RepAndyLevin &amp; @RepGwenMoore to urge @USDANutrition to adapt &amp; ensure the safety of #WICfamilies. https://t.co/hIcydKUszQ",2020-05-08 23:38:08
Our statement on Statement on Phase 1 of Reopening in Palm Beach County - https://t.co/qNeQBVgOcY,2020-05-08 23:30:08
My heart aches for the family &amp; friends of #AhmaudArbery. It is horrific &amp; outrageous to be shot &amp; killed for simply being black in your own neighborhood. Let me be clear: it should not take a public outcry to prompt justice.,2020-05-08 21:51:42
"FL’s primary is in just over 100 days. The gen. election is in 5 mo. #CARES provides millions to support election security in FL, all the Gov must do is make the formal request. I joined my FL colleagues in highlighting this so, together, we can ensure free, fair &amp; safe elections https://t.co/sttZMlcAoT",2020-05-08 21:07:27
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

Our nation is thankful for the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75 https://t.co/PTKSLCuYwM",2020-05-08 19:39:21
"Thank you to all of the teachers in Florida and across our nation who are working harder than ever to support our students who are #distancelearning! If you know a teacher, please tell them how much they’re appreciated. #TeacherAppreciationWeek https://t.co/FgGlBX54TL",2020-05-08 18:02:00
"Every day, my office continues to hear from constituents desperate for help w/ unemployment benefits. Sec. Satter, communication across all levels of gov’t is crucial to serving our neighbors in this time of need. Our delegation is asking for an update &amp; we stand ready to assist. https://t.co/IPxM4d1Epi",2020-05-07 23:12:53
".@BetsyDeVosED fails our students &amp; sexual assault survivors by changing #TitleIX protections to now benefit the accused &amp; enablers. This is an unconscionable reversal of decades of work to protect survivors &amp; end sexual harassment, misconduct, &amp; assault on campuses. #HandsOffIX https://t.co/mzs9UUPca9",2020-05-07 17:30:50
"As our #healthcareheroes continue to battle #COVID19 on the frontlines, we must ensure that those w/ chronic illness retain access to life-saving care. I joined @RepWilson in urging @GovRonDeSantis &amp; the FL Surgeon Gen to protect dialysis patients’ needs. https://t.co/XNbo71T0kq",2020-05-07 16:31:46
I have always opposed #BigOil’s influence over this Administration’s policies. This is why I joined @RepBarragan on the #ReWINDAct to prevent #CARESAct aid intended #ForThePeople struggling due to #COVID19 from becoming a fossil fuel industry slush fund. #NoBigOilBailout https://t.co/6Miv9qP8vk,2020-05-07 01:01:14
"Still waiting on your economic impact payment? The IRS has a FAQ page here to help answer your questions⬇️
https://t.co/0u0lC1JpEX https://t.co/TYHG3tEfUT",2020-05-06 16:29:34
Are you a small business owner with questions about how the Small Business Administration can help you with your plan for economic recovery from the effects of COVID-19? Check out the webinar schedule for this week from @SBA_SouthFL ⬇️ https://t.co/dulsXmzBkc,2020-05-06 13:39:30
".@FeedingSouthFL has multiple drive-thru food distribution sites throughout Broward, Palm Beach &amp; Miami-Dade counties. See below for a distribution schedule for this week. Locations, dates and times are subject to change, so visit https://t.co/YbEx257T11 the day-of to confirm. https://t.co/ifcV6vdBWE",2020-05-06 01:10:54
Looking for a COVID-19 testing site in Palm Beach County? See the comprehensive list @pbcgov has compiled below⬇️ https://t.co/JulVkjIfbD,2020-05-06 01:02:14
"For 20 years, #Everglades restoration progress has been impeded by a poor interpretation of WRDA 2000. I proudly led a letter requesting @TransportDems to clarify that CERP sub-projects do NOT require new authorization, as this slows benefits for South FL communities &amp; ecosystems https://t.co/e3lQXzTwbb",2020-05-05 20:34:12
"Since Congress replenished @SBAgov’s Paycheck Protection Prgm, lenders have distributed 185,904 loans totaling over $12.2B in #smallbizrelief in FL last wk alone. I’ll continue to fight for oversight &amp; transparency, so FL’s #SmallBusinesses get the help they are in dire need of!",2020-05-05 16:11:30
"I joined @RepSusanWild in urging action to save #CHIP in the next relief package. The CHIP funding increase expires on October 1st, as our states continue to struggle against #COVID19. Let's extend the 11.5% increase until 2021 and support low-cost health coverage for kids! https://t.co/6CbZOa1ATn",2020-05-05 13:05:00
"ATTN FL Famers: @SBAGov has reopened the #EIDL application portal to ag businesses! After sending a letter last month urging the SBA to stop excluding farmers from #smallbiz relief, last wk I joined my colleagues in requesting clarity for the industry’s access to EIDL via #CARES. https://t.co/4fXQyTvzwe",2020-05-05 02:26:39
"Healthcare staff have consistently gone above &amp; beyond, stepping up to provide COVID-19 related care often at great personal risk &amp; sacrifice. I’m joining @CongressmanRaja &amp; 91 Members in calling for the #mentalhealth support our #HealthcareHeroes need &amp; deserve to do their jobs. https://t.co/9GdhGgu659",2020-05-04 20:00:42
It’s vital that nursing homes and long-term care facilities have the resources they need ensure access to #COVIDー19 testing. This is why I joined @janschakowsky &amp; over 80 Members in writing to HHS and CMS to ensure that our seniors &amp; those who provide their care are prioritized. https://t.co/EDickDv89u,2020-05-04 19:36:41
"May is national Stop the Bleed Month. I’m proud to have worked with @RepBradWenstrup, @AmCollSurgeons &amp; others to introduce H.R.2550, the Prevent BLEEDing Act, to place more bleeding control kits in public spaces across the country. Read about our bill at https://t.co/Ss1WxNqscX",2020-05-04 18:11:06
"I join the state of FL &amp; football fans everywhere in mourning the passing of Coach Don Shula. Don was a great leader who inspired many &amp; paved the way for the Dolphins &amp; South FL in sports. I offer my deepest condolences to his family &amp; friends, during this time of great sadness.",2020-05-04 18:01:30
"I want to say thank you to #Turkey for the #COVID-19 medical supplies which arrived this week, courtesy of the Turkish people. We’re all in this together and appreciate this kind gesture.  https://t.co/CsVr8Hdn5Z",2020-05-02 16:29:10
My statement on the passing of Seminole Tribe of Florida Fire Chief Donald DiPetrillo— https://t.co/tvRqvWZnei,2020-05-02 02:46:18
"Responding to the #2020Census is one of the most effective ways you can help our community get the critical resources needed for schools, infrastructure, hospitals, &amp; to prepare for future crises.

There's still time to respond!

✉️by mail
📞by phone
💻 at https://t.co/c8D1Smymjo https://t.co/UllQsorQ2B",2020-05-01 20:40:25
Looking for a test site in Miramar? @CityofMiramar has compiled a list of #Covid_19 walk-up and drive-thru testing sites. Visit https://t.co/FOWB1LLzzF for more information. https://t.co/oyxeuwQ71L,2020-05-01 19:41:00
.@CityofMiramar &amp; @CSCBroward have announced a new resource to help our community members access food. Visit https://t.co/Jf2k0r3I6t for an interactive food map to find the closest distribution site in your neighborhood⬇️,2020-05-01 19:37:03
"This #JewishAmericanHeritageMonth, join me in celebrating the rich history &amp; contributions of the American Jewish community which has helped shape our nation &amp; world. Let us also redouble our efforts to curb antisemitism &amp; hatred in all forms to make the US more inclusive for all",2020-05-01 17:25:17
"COVID-19 has made the #healthdisparities that have long existed in the US all the more apparent. As #MinorityHealthMonth comes to a close, I’ll continue to stand w/ @CAPAC @HispanicCaucus @TheBlackCaucus to take on the structural inequalities that contribute to these disparities. https://t.co/YFnnkIdglQ",2020-05-01 14:16:27
"Did you know that the @SBA_SouthFL has daily virtual office hours to answer questions about the resources available to help #smallbiz owners? Get your questions answered Monday through Friday, from 11AM to 1PM &amp; 3PM to 5PM. See below for more details ⬇️ https://t.co/R1RX1KDJMK",2020-04-30 15:14:07
"Broward County issued an emergency order, effective today, on the reopening of parks, golf courses, pools &amp; rec. facilities in multi-family developments, boat ramps &amp; marinas. Tamarac City parks, but not park bathrooms, are open for passive use. Details ➡️https://t.co/M3NhEIa6Cd https://t.co/dwEq6SuBpK",2020-04-29 21:25:57
"Tomorrow at 9AM, a new drive-thru testing site will open at Holiday Park, located at 1150 G. Harold Martin Dr. in Fort Lauderdale. Hours will be Tuesday through Saturday, 9AM to 6PM. Appointments are required and can be scheduled by calling 1-800-209-7919. See more details⬇️ https://t.co/Lfai7h6JKc",2020-04-29 19:28:43
"This #WorkersMemorialDay, we find ourselves in the midst of a pandemic where far too many workers are falling ill &amp; dying from #COVID19. Yet, @OSHA_DOL is still refusing to issue an emergency standard to keep our workers safe. We must recommit to workplace safety. #WhereIsOSHA? https://t.co/v1kS85lPk8",2020-04-29 00:00:09
So many rural hospitals across the US are in dire financial distress &amp; their closure could block entire communities from healthcare during a pandemic. I joined @GKButterfield in urging @HHSGov to take action now to ensure rural hospitals receive the relief they need to stay open. https://t.co/6t8Jdr7cBN,2020-04-28 23:45:09
"Today marks Yom Ha’atzmaut, #Israel’s Independence Day. 72 years since the State of Israel was est., let us reaffirm the importance of a strong US-Israel relationship to the prosperity of both our nations, especially as we work together to confront the global outbreak of #COVID19",2020-04-28 23:09:15
"The @FCC’s Lifeline Pgm provides access to internet &amp; phone—which are essential for telehealth, distance learning, unemployment &amp; more. Yet only a fraction of those who qualify are aware &amp; enrolled. I joined 110+ colleagues in urging @FCC to change this by boosting outreach now. https://t.co/YvIuj7x8f4",2020-04-28 14:35:56
"Our #frontline #healthcareheroes risk their lives on a daily basis to combat this pandemic, so I joined @NormaJTorres in calling for more support for these crucial workers, like hazard pay, protection from benefit cuts &amp; more. We owe it to them to make their needs a priority now! https://t.co/kvpk8Az7IS https://t.co/FVDVHVaoP4",2020-04-27 23:34:04
.@pbcsd has made some changes to their food distribution schedule. Please see below to make sure you are up to date on the details ⬇️ https://t.co/98qF4eLAeE https://t.co/jOsncmP2dm,2020-04-27 17:00:29
