tweet,dates
"On this 75th anniversary of Allied victory, we come together to remember the great acts of selflessness, courage and devotion. May the spirit of the honorable members of our Armed Forces who liberated Europe withstand the test of time and live in our hearts forever. #VEDay75 https://t.co/NoT6jSCYBj",2020-05-08 17:13:09
"During my town hall, I announced the ways in which @realDonaldTrump has delivered unprecedented aid to WV.

In less than 10 days in April, the federal gov't delivered:
✅12,200 N-95 face masks
✅ 61,700 surgical masks
✅ 1,600 eye and face shields
✅ 2.7 million surgical gloves https://t.co/7N8vKJingM",2020-05-08 15:44:16
"To date, over 14,000 West Virginia small businesses will benefit from the #PaycheckProtectionProgram.

🚨 Loan money is available for West Virginia small businesses! 🚨

Outline of eligibility here: https://t.co/7Kvd4Jyc46 https://t.co/JgQVZgotoI",2020-05-07 19:20:00
"I’m pleased Brownfields grants are being awarded to our West Virginia communities with aid to clean up abandoned sites to provide for redevelopment. This funding will lead to job growth and improved environmental conditions in previously hazardous areas.
https://t.co/80B4DemeVk",2020-05-07 18:43:44
"Today on this #NationalDayofPrayer, we commemorate God’s grace, we seek His guidance and we reaffirm the power of prayer. In united strength and gratitude, we honor and remember our nation’s founding principles of faith and freedom. https://t.co/eM7xzrIVGW",2020-05-07 16:16:08
"Thanks to the leadership of President @realDonaldTrump and the power of American innovation, the United States leads the world in testing. I’m proud of our great country’s united dedication to achieving this unprecedented level of testing for the health of the American people. https://t.co/ncYGvMTMN1",2020-05-07 12:57:21
"I’m glad over 5,000 constituents joined my Telephone Town Hall yesterday on the coronavirus. I was proud to have expert guests on the call, and together, we answered a range of important questions from food shortages to antibody testing.",2020-05-06 18:38:22
The Little Sisters of the Poor today are arguing their case for religious liberty before #SCOTUS. I’m proud they continue to stand resilient in the fight for religious freedom against unconstitutional government mandates. #LetThemServe,2020-05-06 15:19:41
"Just hosted a Telephone Townhall on COVID-19 response with distinguished guests:
➡️Dr. Tom Takubo, WV Senate Majority Leader
➡️Dr. Matthew Simmons, Infectious Disease Expert at WVU
➡️Paul Axelson, IRS Congressional District Liaison
➡️Kim Donahue, SBA WV Charleston Branch Manager https://t.co/jlnbJUmUNP",2020-05-05 18:53:59
"I’m pleased @AmeriCorps funding has been awarded to United Way of Central WV. From mentoring students to providing support for veterans &amp; military families, these AmeriCorps members are champions of education &amp; economic opportunity throughout my District.
https://t.co/6SF7TfdIhH",2020-05-04 18:57:09
I support the Processing Revival and Intrastate Meat Exemption (PRIME) Act which would directly address growing concerns about food shortages by loosening burdensome federal regulations on the meat industry.,2020-05-04 16:54:38
Turkey’s shipment of medical supplies and essential equipment to the US to help combat the coronavirus is a generous gesture of goodwill and solidarity. I thank our NATO ally Turkey for their partnership during this critical time.,2020-05-02 12:14:02
