tweet,dates
"Though this #MothersDay comes in the midst of very trying times, like so many other families, my family and I look forward to celebrating virtually. This year, I remember and honor my beloved mother, who is always in my heart. https://t.co/4REefVahRk",2020-05-10 11:53:23
"Why do we need to #CancelStudentDebt? 

Student loan debt kills jobs. Black and brown borrowers bear the brunt of our $1.6 trillion student loan debt crisis. #COVID19 has made it worse.

@Ilhan, @RepPressley, and many other members of Congress are ready to fix that. https://t.co/tYushP6DaW",2020-05-08 19:51:57
Approximately 34% of all women and 57% of Black women who were repaying student loans reported that they had been unable to meet essential expenses within the past year. Congress should #CancelStudentDebt in #CARES2 @SpeakerPelosi @senatemajldr,2020-05-08 18:35:51
Can you guess what the upcoming proposal I'm releasing with @Ilhan &amp; @RepPressley is about?,2020-05-08 16:56:18
Join me on Monday for a town hall with essential employees. Register here: https://t.co/Mn1ifyjpzD,2020-05-08 13:16:13
Thank you @CorneliusToday for highlighting the exceptional students from North Mecklenburg who will attend Service Academies in the fall. https://t.co/i9pQGkHVFB,2020-05-07 22:44:05
"I am proud of my Service Academy nominees who have received appointments to join the Class of 2024. Going to a military academy takes dedication, perseverance, and grit. This acheivement is a window into your dedication, discipline and patriotism. https://t.co/LzKCc9YHY9",2020-05-07 20:11:51
"As students across the country face disruptions, stress, and anxiety due to COVID-19, the need for this legislation grows increasingly clear. I'm proud to introduce the Eating Disorders Prevention in Schools Act of 2020 with @RepHartzler. https://t.co/qyusSrUSKG",2020-05-07 19:16:01
Bless your heart. https://t.co/8JxgY5TsgN,2020-05-07 18:32:29
"Neither snow nor rain nor heat nor COVID-19 stays these couriers from the swift completion of their appointed rounds.

@USPS and its essential employees deserve the strongest possible relief in the next COVID-19 bill. #USPostalService https://t.co/S3hTNoCrJy",2020-05-07 18:24:30
"What happened to Ahmaud Arbery is horrific. He, his family, and everyone devastated by this act deserve justice. #IRunWithMaud https://t.co/PIPrMz7jO7",2020-05-07 17:43:24
"It's never been clearer that we need more direct payments to American families and less bureaucratic red tape.

If national businesses can get bailed out in less than a week, but your family can't collect unemployment after a month of trying, something is wrong. https://t.co/mlEZc39oDP",2020-05-07 15:07:37
"That would be like me saying I’m not comfortable talking about hats.
👒🎩🧢👑 https://t.co/qNOxMIx8ho",2020-05-07 01:39:58
"This #TeacherAppreciationWeek, I want to thank all of the teachers who are continuing to deliver a quality education to our students in spite of the pandemic.

You are the definition of the word “essential.” https://t.co/9HtLyDJMeV",2020-05-06 23:17:44
"Nurses are on the frontlines of the COVID-19 Crisis. On #NationalNursesDay, I'm thankful for nurses in Charlotte and throughout the country for putting themselves in harm's way to save lives, and I'm proud to be a sponsor of the National Nurses Week resolution. #ThankYouNurses",2020-05-06 16:37:33
"On Monday, I participated in an HBCU Presidents' roundtable on digital inclusion that was hosted by the @FCC. You can check out the video here: https://t.co/kmMgf8AHtW",2020-05-06 16:12:17
"The Trump Administration is attempting to strip anti-discrimination protections for #LGBTQ people during a pandemic.

I'm proud to join more than 115 Members of Congress in saying no. 🏳️‍🌈🏳️‍⚧️",2020-05-05 19:42:51
"#DearBetsy, College students have been pushed out of their housing, leaving many homeless or forced into unsafe or unstable living. 
 
@BetsyDeVosED should be focused on ensuring young people are safe, not rolling back survivors’ rights. Keep your #HandsOffIX.",2020-05-05 19:07:56
This story is absolutely heartbreaking. #JusticeForAmber https://t.co/WnyuKazAqe,2020-05-04 21:07:05
"Speaking with @MattGrantFOX46 from @fox46charlotte and Chris Barbeau, a local small business owner in the trucking industry on how the COVID-19 crisis is affecting his business. https://t.co/ISpPpmufE9",2020-05-04 19:38:31
The perfect cookie doesn’t exis ... https://t.co/ayW5pmxRTY,2020-05-03 15:19:21
"Right there with you, Megan.

Let’s get an ERA passed while we’re at it, too. https://t.co/5xD85LXxSX https://t.co/qdTN0O0yzW",2020-05-02 03:45:50
You can’t have a food supply chain if your workforce gets sick. President Trump needs to exercise more caution with the opening of meat processing plants. https://t.co/6QmFOAPwi0 https://t.co/hUFbiKhCK8,2020-05-01 23:01:12
"#BeCounted! Fill out and return your Census.

For more information, visit https://t.co/fChFsNlrCL! https://t.co/z0Ac04W2rJ",2020-05-01 17:39:22
"This #LupusAwarenessMonth, I'm proud of our office's advocacy on behalf of Lupus patients. https://t.co/gIwlyMSZ66",2020-05-01 14:43:17
"Please join Team Adams, including our staff members who are forever 49ers, at 5:10 PM ET today as we remember the tragic events of a year ago today. #NinerNation #CharlotteStrong https://t.co/gRklo6X8cK",2020-04-30 21:02:48
"Donald Trump desperately wants the COVID-19 crisis to be in the past - we all do.

However, the American people continue to suffer from his Administration's response. 

Like scripture tells us, ""faith without works is dead."" https://t.co/31uVQ0qQXd",2020-04-30 18:50:57
"Tomorrow is the due date! 

The digital submission deadline for the Congressional Art Competition is Friday, May 1. 

The competition is open to all High School students who attend school in or live in #NC12.

Questions? Email Avery.Bonifati@mail.house.gov ASAP! https://t.co/dnydWVjYMT",2020-04-30 16:21:37
#NinerNation #CharlotteStrong https://t.co/lzy8QiXwEx,2020-04-30 13:32:06
"Please know that I am so proud of all of you who came together as a 49er community, and that my thoughts, prayers -  and voice – are all with you on this day.
 
Thank you, God Bless You and Ramadan Mubarak. #CharlotteStrong https://t.co/A9BXqrymic",2020-04-30 12:31:44
"One year ago today, we were all profoundly devastated by the shooting at @unccharlotte, which took two lives from us too early. As a mother and grandmother, my heart ached for those who lost loved ones, as well as the survivors who had to heal from injuries seen and unseen. https://t.co/nVmZ9xPHpn",2020-04-30 12:20:25
