tweet,dates
"20.5 million jobs were lost last month and the Trump Administration still has no national testing strategy to ensure folks can safely and confidently get back to work.

https://t.co/UbP4EDoLkq",2020-05-09 01:09:32
"THANK YOU to the nearly 6,000 constituents who joined my #COVID19 telephone town hall last night. We had a productive discussion on the next steps in our community's recovery.

If you missed the conversation, you can listen to a recording below. 👇
https://t.co/DnQySK5oas",2020-05-08 20:38:43
"Americans have always answered the call to service during times of crisis.

This week I introduced legislation to expand our national service programs to empower a new generation of Americans to serve in our #COVID19 national recovery. #Stand4Service

https://t.co/O5gvKp92zj https://t.co/uAZhfpSlxo",2020-05-08 18:03:29
"Today marks the 75th anniversary of #VEDay – the end of #WWII in Europe.

Our country is eternally grateful for the bravery and sacrifice of our service members – and the allies who fought alongside them. #VEDay75 https://t.co/pEodx659BR",2020-05-08 14:24:34
"🚨 STARTING SOON

☎️ Dial (833) 946-1797 at 6pm PT to join my #COVID19 telephone town hall. https://t.co/BdtfgnHztB",2020-05-08 00:54:06
"Our health care workers are our heroes.

I encourage you to read some of their stories:

https://t.co/ZHasLyTdZI",2020-05-07 21:57:26
"TONIGHT: Join me for a #COVID19 telephone town hall. 

I'll discuss the next steps in our recovery and will take your questions. I'll be joined by Dr. Peter Beilenson of @SacCountyCA and Heather Luzzi of @SBAgov.

☎️ Dial (833) 946-1797 at 6pm PT to join! https://t.co/SUhnOG6X2N",2020-05-07 18:20:02
"No national testing strategy, no guidance on reopening.

This Administration is trying its hardest to wipe its hands clean of any responsibility.

https://t.co/cCVzo7FhT6",2020-05-07 15:26:25
"THANK YOU to every nurse working long shifts on the front lines to keep our communities safe from #COVID19. 

We must honor our heroes by making sure they have all the resources they need to save lives, including PPE.

#NationalNursesDay https://t.co/bhoKPOoXjG",2020-05-07 02:20:04
"I'm excited to be joined by Dr. Peter Beilenson of @SacCountyCA and Heather Luzzi, Sacramento Director of @SBAgov on tomorrow's telephone town hall.

RSVP below! 👇 https://t.co/PvyuxJjjTq",2020-05-07 00:03:44
"Please continue to #StayHome and stay safe. And if you go out for essential activities, please practice physical distancing and wear a cloth facing covering. #COVID19 https://t.co/KrLjq7N56S",2020-05-06 22:08:34
"Productive @HouseForeign Subcommittee call yesterday on North Korea, rumors around Kim Jong-un's death, and the need for the U.S. to strengthen our alliances in the region.

Even amid #COVID19, the focus on protecting American security will not stop.

https://t.co/at1muLCJis",2020-05-06 21:12:31
