tweet,dates
"Democrats call on DHS to allow free calls at ICE detention centers

The bicameral letter is led by Sens. Amy Klobuchar and Dick Durbin and Reps. Jerry Nadler and Zoe Lofgren. It is signed by an additional 27 senators and 52 representatives. https://t.co/bBukozoSv5",2020-05-20 17:23:47
"“Americans are facing unprecedented disruptions to their daily lives, and we need to make sure that in the midst of this pandemic they don’t have to risk their health to vote,” Klobuchar said. 
https://t.co/EIGYO1Mvmy",2020-05-19 18:11:09
"“Klobuchar herself introduced a bill last week that would provide $1 billion to help college students of color continue their studies.”
https://t.co/yYfih07RpT",2020-05-19 17:01:50
"“As we confront the coronavirus pandemic, we must ensure that people suffering from mental health crises can easily access life-saving support,” Klobuchar said.
https://t.co/4HN1EgBXdI",2020-05-18 20:28:12
"""The bill, introduced by Sens. Amy Klobuchar of Minnesota, Brian Schatz of Hawaii, Ron Wyden of Oregon and Sherrod Brown of Ohio, is meant to equip nonprofits with a strong workforce that can continue to provide essential services to vulnerable Americans."" https://t.co/eKExeU22c5",2020-05-18 15:11:26
"“When Americans are ready to go back to stadiums, theaters, and concert halls, they deserve a competitive marketplace that offers value, choice, and a variety of entertainment experiences,” Klobuchar, Blumenthal, and Booker wrote to DOJ. https://t.co/XVtyM2Lri6",2020-05-16 14:39:41
"""Klobuchar, along with a team of bipartisan lawmakers, had requested in April that the Trump administration lift restrictions on where Conrad 30 doctors can practice in order to bolster hospital staffing in areas hard-hit by the coronavirus."" https://t.co/8JOdjN8wJy",2020-05-15 19:25:15
"“We believe it is critical that the CDC evaluate the prevalence of stroke in COVID-19 patients, including the potential link to stroke from the development of blood clots caused by the virus,” Klobuchar and Rubio wrote in a letter to CDC Director Robert Redfield. https://t.co/BHMw94NwYK",2020-05-15 17:19:32
"On the Senate floor yesterday, Sen. Klobuchar asked for unanimous consent to lift restrictions that prevent states from accessing election funding designated to help them safely carry out elections during the pandemic, Republicans objected to her request.
https://t.co/Kxik3LtL1d",2020-05-15 15:13:21
The Minnesota Congressional Delegation is urging people who have fully recovered from coronavirus to donate plasma and help fight the virus. Learn more at https://t.co/MCEg8VZAmG https://t.co/TyrWuor0NT,2020-05-15 13:00:01
"""Klobuchar is leading legislation that would give states the funding to make sure everyone has the option to vote by mail or vote early to avoid crowded polling places on Election Day.""
https://t.co/CU5XpTNkd8",2020-05-14 20:53:53
"Senator Amy Klobuchar hosted a call with labor union presidents from AFL-CIO, AFSCME, AFT, NEA and SEIU to discuss the need to pass funding immediately to protect Americans’ right to safely vote during the coronavirus pandemic https://t.co/bqRYH6r8jG",2020-05-14 17:42:51
"“All over the country, kids are being asked to learn from home and parents are being asked to teach them. The disparities are large when some don’t even have access to the internet,” Klobuchar said in a Senate Commerce Committee hearing this week. https://t.co/ulfHxewFAD",2020-05-14 14:36:36
"Sen. Amy Klobuchar (D-Minn.), who is leading the bill's introduction in the Senate, said in a statement that ""ensuring college and university students have access to high-speed internet is critical"" during the pandemic.
https://t.co/OCx0SDasuG",2020-05-14 12:46:51
"On Monday, Fergus Falls community leaders met with Sen. Amy Klobuchar via a conference call to discuss what they have been working toward during the coronavirus pandemic and hearing what Klobuchar has been pushing for in regards to helping local businesses.https://t.co/EmcMvPPbEs",2020-05-13 22:54:26
Senator Amy Klobuchar and Reps Mario Diaz-Balart and Joe Cunningham wrote a letter to the CDC and FDA urging the Administration to raise public awareness of the importance and benefits of plasma donation in the effort to address the COVID-19 pandemic. https://t.co/RSHhtyL8io,2020-05-13 20:38:53
"Senators Amy Klobuchar and Patty Murray led 25 colleagues calling on the CDC to issue updated and comprehensive guidance on safety measures to keep voters, poll workers, and election workers safe during upcoming elections https://t.co/XsVtdbCra7",2020-05-12 22:39:43
"Senator Amy Klobuchar joined Senators Tammy Duckworth, Tim Scott &amp; Mike Braun to announce a bipartisan proposal to ensure more new parents quickly receive the additional $500 per child in CARES Act economic impact payments without having to wait until 2021.https://t.co/2enSxXE5Ql",2020-05-12 19:56:35
"In a letter to the President, Sens Klobuchar and Smith joined Sens Schumer, Murray and 40 colleagues calling the Administration’s testing blueprint insufficient, insisting federal government must release and implement national coronavirus testing plan
https://t.co/rAAvFobXFw",2020-05-12 13:31:58
"U.S. Senators Amy Klobuchar and Tina Smith joined Maggie Hassan (D-NH) and 22 colleagues in calling for greater support for students who experience disabilities in upcoming COVID-19 response legislation. 
https://t.co/YJQduhIHdt",2020-05-11 14:00:18
"“This funding will help ensure that more Americans will have access to higher blends of biofuels like E15 and E85, which will reduce carbon emissions, save them money at the pump, and boost local economies across Minnesota and the country"" — Sen. Klobuchar
https://t.co/MuBaoWWD4z",2020-05-10 20:15:02
"Sens. Amy Klobuchar and Tina Smith joined Ed Markey (D-MA) and Thom Tillis (R-NC) along with 29 of their Senate colleagues in advocating for additional funds to support the U.S. scientific research community during the coronavirus pandemic.
https://t.co/r9GCTQr1XY",2020-05-09 19:55:30
"Following a Commerce hearing and Senator Klobuchar's questioning this week, Frontier Airlines CEO confirmed they will not follow through with their proposed fee to charge passengers more for safer seats during the pandemic.
https://t.co/k7rYDgyiO9",2020-05-08 22:36:56
"At a Rules Committee markup, Klobuchar criticized abandonment of the tradition of advancing Republican and Democratic nominees together in order to move forward an extreme nominee who doesn’t believe in basic campaign finance law.
https://t.co/YK6MYZOCbf",2020-05-08 18:20:39
Sens. Amy Klobuchar and Elizabeth Warren are urging the Federal Trade Commission to take more steps to shield small businesses from scams as they try to access aid during the coronavirus pandemic. https://t.co/2o8ncCIQWd,2020-05-08 16:54:23
"On the floor of the Senate, Klobuchar shared the story of an immigrant health care hero who is on the front lines risking her health and safety to help patients in Rochester, Minnesota. https://t.co/35gVNqsgoF",2020-05-07 17:21:44
