tweet,dates
"Happy #MothersDay to all the moms, moms-to-be, and mother figures out there! Mothers come in many forms, but one thing they all have in common is an amazing ability to love, nurture and provide. We can’t thank you enough for all that you do. Enjoy your special day! https://t.co/3ZbOFXQf0x",2020-05-10 14:15:56
"Today is the 75th anniversary of #VEDay! We thank all of our service members and those on the home front who bravely fought and sacrificed to defend our freedoms. In these tough times, you inspire us even more. @IndyStar https://t.co/rMqMkaG3hW",2020-05-08 15:11:29
"In my latest op-ed in the @IndyRecorder, I write about #COVID19's devastating impact on Black America, and how we must tackle this crisis more equitably.
https://t.co/2YrFIsGvGX",2020-05-07 21:27:18
"There’s a lot we are still learning about the police shooting today in Northwest Indy. But here’s what we know for sure: Simply being Black in America should not be a death sentence, but for countless people, it is. I will continue to monitor the situation.",2020-05-07 02:05:18
"A reminder: Please check the @IRSnews website regularly to find the latest guidance and instructions on how to receive your #COVID19 economic impact payments:
https://t.co/1ixBSGSVJK",2020-05-06 18:37:14
"Today is #NationalNursesDay, as well as #NationalNursesWeek. We can't thank these health care heroes enough! Every day, they are on the front lines, risking their health to protect ours. Through this crisis and beyond, we must keep working to get them they resources they need. https://t.co/jhtJ8YmfIY",2020-05-06 16:14:53
"Happy #TeacherAppreciationWeek! This year, teachers are going even further above and beyond to educate their students, and we are especially grateful. This crisis has made even clearer how important teachers are, and we must do much more to support them now and in the future. https://t.co/JTdHfvuiI3",2020-05-05 15:21:19
"I am pleased to help lead this important effort. We need to do much more to protect our seniors from #COVID19, and that can't happen without more testing. https://t.co/Zq8G61H11R",2020-05-04 21:21:47
"A reminder that submissions for my virtual Congressional Art Competition are due May 11th! Click the link for more details. 
https://t.co/8b2iuOUeAZ",2020-05-01 21:55:05
The public health data is clear: It's simply too soon to safely begin reopening Indiana. @StateHealthIN shows a continued growth of #COVID19 infections. We have yet to #flattenthecurve. A premature reopening of public places could cost lives and lengthen this pandemic. https://t.co/7pSZlWx4gL,2020-05-01 19:59:17
"Happy #JewishAmericanHeritageMonth. For centuries, this diverse group of Americans has boldly and passionately strived to improve our great nation. I'm honored to work alongside my Jewish friends and colleagues as we continue to fight bigotry and embrace tolerance.",2020-05-01 16:41:46
