tweet,dates
"Today marks the 75th Anniversary of V-E Day. As our nation fights together to confront a different worldwide struggle, I hope we are all inspired as I am by the incredible strength and spirit of the greatest American generation who conquered evil and preserved our freedoms. https://t.co/b1qGn1A5to",2020-05-08 22:54:03
"I visited the @WhiteHouse today and thanked @realDonaldTrump for @SeemaCMS quick work in approving the expansion of Telehealth services to conserve PPE and limit exposure for frontline doctors, nurses and healthcare workers nationwide to possible COVID-19 positive patients. https://t.co/D1ZXuXsNyN",2020-05-08 20:51:23
I am proud to be an original co-sponsor to this legislation expanding protections for our military servicemembers during the COVID-19 pandemic. Servicemembers should not have to face additional personal financial strains because of the DOD stop order. https://t.co/JEFFie5Aqz,2020-05-08 19:06:39
"Today, I am at the @WhiteHouse discussing the reopening of our economy with @realDonaldTrump . Over the last two months, the U.S. has made tremendous progress in “flattening the curve” through stay at home efforts and social distancing.",2020-05-08 17:49:30
"Today, House Minority Leader ⁦@GOPLeader⁩ announced a special Congressional task force to investigate the Chinese Communist Party over its handling of the #COVID-19. I am grateful that Leader McCarthy has selected me to serve on this task force. https://t.co/pf7dgfnMVm",2020-05-07 20:12:28
Click the link ⬇️ to listen to the full COVID-19 Teletown Hall last night I hosted with @MayorGorton  https://t.co/9LEfrrYQ7h,2020-05-07 16:50:53
A reminder that my COVID-19 Teletown Hall with Lexington Mayor @MayorGorton will be tonight from 7-8p.m. You can dial 877-229-8493 using the PIN number 110108 to participate. https://t.co/iuDN9HO1cF,2020-05-06 19:56:28
I am proud to join my colleagues on the @HouseVetAffairs in thanking all of our VA staff and public servants during #PublicServiceRecognitionWeek https://t.co/KUQ7Ju8Xfv,2020-05-06 17:57:15
"Today, Nurses Appreciation week begins. I can’t thank our frontline nurses, doctors and healthcare workers enough for their service during this pandemic. Nurses are always to be admired, but now more than ever we are inspired by the selflessness of these American patriots. https://t.co/NsiaXvqd8h",2020-05-06 16:08:48
I will be live on @WKYT participating in a community conversation about #COVIDー19 in just a few minutes. https://t.co/RQC6Y1PfW7,2020-05-06 00:09:37
"(1/2) Tomorrow, Wednesday May 6, I will be hosting a COVID-19 Teletown Hall with Lexington Mayor Linda Gorton. This event will be from 7-8pm, you can call in 877-229-8493 (110108 access pin) to participate.  https://t.co/mYY0Obux25",2020-05-05 22:13:24
"Please join me in recognizing all of our teachers, including my mother-in-law, a retired public school teacher, as we celebrate National Teacher Appreciation Week.

As a father who is currently homeschooling during this time, I am grateful for all the hard work by our educators. https://t.co/MOitXUntgT",2020-05-05 17:01:44
"My condolences go out to the family in Bath County that lost five children during last week’s flooding.

A special thanks to Bath County Judge Executive Bobby Rogers, Army Corps of Engineers, and Jason York, Bath County Emergency Management Director, who organized search efforts.",2020-05-04 21:12:48
"This Saturday, I joined @MarioAndersonTV with @SpectrumNews1KY to discuss the federal response to the COVID-19 pandemic and the impacts on Kentucky. Watch my interview to learn more below. https://t.co/7DLKs4FPGl",2020-05-04 14:43:32
"Did you know that the next census will take place in 2020? Responding to the #2020Census is our civic duty and affects the allocation of funding for our community’s public resources, how we plan for the future, and our voice in government. Learn more at https://t.co/xUm5quZh1U. https://t.co/7n2ZJfh9vx",2020-05-02 18:15:55
