tweet,dates
"The @ASBA, @azcommerce, &amp; @AZChamber have launched the CARES Act Readiness Program for Small Businesses. This free online training for small business owners gives novice &amp; experienced borrowers individualized support to navigate the CARES Act &amp; submit their loan applications. https://t.co/M943CJm6XS",2020-05-09 19:56:17
"ICE officers continue their daily work to keep our communities safe, even in the face of the coronavirus outbreak. I am grateful for their courageous and dedicated service. https://t.co/jvClCEyueT",2020-05-09 19:34:13
"Americans know President @realDonaldTrump can lead the great American comeback because he did it before. He will do it again.

It’s time to reopen our society and economy. https://t.co/82J3FT8xll",2020-05-09 18:19:34
Thank you to all the Americans who fought so long ago to maintain freedom for our nation and our allies. Their courage will always be an inspiration to future generations of Americans. #AZ05 https://t.co/QclkYiF6PE,2020-05-09 03:03:25
"Today, I introduced a resolution to highlight infringements on Americans' Constitutional rights during the COVID-19 outbreak.

The U.S. Constitution is just as relevant and worth protecting during a national crisis as it during times of peace. https://t.co/X5LIz3N4TW",2020-05-08 23:12:26
"Today, I introduced a resolution to highlight infringements on Americans' Constitutional rights during the COVID-19 outbreak.

The U.S. Constitution is just as relevant and worth protecting during a national crisis as it during times of peace. https://t.co/X5LIz44FLu",2020-05-08 23:12:17
"President @realDonaldTrump built a strong, prosperous economy before the coronavirus outbreak, and I have complete confidence that he will do it again with his pro-growth policies.

It was a honor to join the president at the @WhiteHouse to discuss the GREAT AMERICAN COMEBACK. https://t.co/u3rblyJnxN",2020-05-08 19:04:23
"I've been in D.C. for the past couple of days because it's time for the House to return to the people's business. Speaker Pelosi cannot continue to keep us from performing the work that our constituents expect us to do in D.C.

Many of us will be back next week. Stay tuned. https://t.co/PCi0aREBEx",2020-05-08 15:54:30
"100% agree.

We cannot reinforce and exacerbate the years of bad precedent in which the federal government assumed responsibility for the duties, wants, and needs of state and local governments. https://t.co/deWwGQsCyO",2020-05-08 15:15:45
"The cure has been worse than the disease. Time to reopen America’s society and economy, while taking precautions to protect our most vulnerable. https://t.co/VRXEraV3Lo",2020-05-08 13:06:31
"Today, I led a letter to President @realDonaldTrump, urging him to reject calls to provide additional funds to state  &amp; local governments.

The federal government cannot assume responsibility for the duties, wants, &amp; needs of state &amp; local governments. https://t.co/AFmwDRvKxn",2020-05-08 01:04:55
COMING UP: I'm about to join @SethLeibsohn to continue our weekly discussion about President @realDonaldTrump's efforts to reopen the American society and economy. Listen at 5:30 PM on @960thePatriot or online: https://t.co/dIvUwxX2c6 #AZ05,2020-05-08 00:28:41
TUNE IN: I'm on the air with @RodArquette to talk about President @realDonaldTrump's efforts to reopen the American society and economy once again. Listen on @1059KNRS or online: https://t.co/5txcEmm6k5 #AZ05,2020-05-08 00:06:40
"Thanks for having me on today, @SebGorka. https://t.co/WCOXvzDZp4",2020-05-07 20:40:43
"On this National Day of Prayer, we pray for our nation, our leaders, our first responders &amp; health care personnel, &amp; all the Americans who have been affected by this coronavirus outbreak. 

Thankful for President @realDonaldTrump &amp; @VP for recognizing the importance of prayer. https://t.co/A9MjclX2F1",2020-05-07 20:20:37
"ICYMI: Last week, I interviewed Dr. Dan Erickson and Dr. M. Zuhdi Jasser about the scientific analysis of the COVID-19 outbreak. It's important for all of us to better understand the facts and data behind this public health emergency. https://t.co/j4gOEKAhjf",2020-05-07 16:13:32
TUNE IN: I’m about to join @aaronflint on the air to discuss President @realDonaldTrump’s efforts to reopen the American society &amp; economy. Listen at 10:20 EST on @KJJRAM or online: https://t.co/w8JMimeudI #AZ05,2020-05-07 14:08:02
Religious liberty is a fundamental right of every American. Governors and mayors who abuse that right are in violation of the Constitution and the very essence of who we are as Americans. https://t.co/IgkJx5qOdQ,2020-05-07 02:23:49
"To all of the nurses in Arizona's Fifth District: thank you for your service to our East Valley communities. We appreciate you, and we keep you all in our prayers. https://t.co/aqToWrsMBh",2020-05-06 23:58:20
"Speaker Pelosi has turned this institution into an oligarchy by keeping the House at bay, allowing her to negotiate whatever she wants in these spending packages.

If you like a representative republic, Speaker Pelosi’s actions have been disastrous. https://t.co/l9dF7G7Cgn",2020-05-06 20:47:47
This is a national security threat. Congress must take immediate action to bring our spending under control and eliminate our debt. https://t.co/ex0jPziJsw,2020-05-06 20:40:26
"The coronavirus outbreak is unprecedented, &amp; the VA is facing significant hurdles in ensuring veterans can safely access care; however, it is vitally important that the VA follow the law &amp; not arbitrarily limit or deny health care options for veterans. https://t.co/wCXCHINkuB",2020-05-06 16:00:07
"COMING UP: I’m about to join the Ringmaster himself, @JamesTHarris, to talk about President @realDonaldTrump’s efforts to reopen the American society and economy. Listen on @KFYI or online: https://t.co/t5UJtpUVDl #AZ05",2020-05-06 14:57:03
TUNE IN: I’m joining @GarretLewis to talk about President @realDonaldTrump’s efforts to reopen the American society and economy. Listen on @knsttucson or online: https://t.co/DjYR5tbDhP #AZ05,2020-05-06 14:32:34
"LIVE: I’m talking with Dr. Jay Bhattacharya, MD, PhD, about the scientific analysis of the COVID-19 outbreak. 

WATCH: https://t.co/mZe6YbAfxB #AZ05",2020-05-06 00:18:01
"LIVE: Conversation with @GilbertYourTown Councilman Jared Taylor, @cityofchandler Councilman Mark Stewart, and @TownofQC Councilman Jake Hoffman about the Government's Response to the COVID-19 Outbreak.

WATCH: https://t.co/nVL2KpwVe6 #AZ05",2020-05-05 23:21:10
