tweet,dates
"On this date 232 years ago, Maryland ratified the Constitution and was the 7th state admitted to the Union. It is critical that our state, established to protect those suffering religious persecution, continue to protect the rights of the people... https://t.co/yGC8wFKpKR",2020-04-28 19:49:27
What a shame that Congress is not in DC working like a legislature should be to solve the problems of America’s small businesses. Only two members present for a 2 minute “pro forma” session. https://t.co/LPzXEZkg4d,2020-04-28 13:29:19
"Great opportunity for small businesses out there to learn about the funding opportunities available to them via the CARES Act. This no fee webinar is being held tomorrow, RSVP below:

https://t.co/lrDm670LEl",2020-04-27 21:25:40
"The IRS's online tool for tracking your economic impact payments has been significantly enhanced.  More info can be found here: 

https://t.co/mKjhI2YytD",2020-04-27 17:03:49
"Great news for seasonal businesses!

https://t.co/FxSDd2NTMn",2020-04-24 17:01:29
"Great news, starting tomorrow, the Maryland Labor Department will begin accepting applications for the new Federal Pandemic Unemployment Assistance Program...",2020-04-23 15:50:10
"For Social Security beneficiaries that do not normally file a tax return and have a minor dependent, the deadline is TODAY to register for a full CARES Act check. https://t.co/60nTBjLWNr",2020-04-22 18:37:22
"In areas like the Eastern Shore, where the COVID threat is much lower, we should move expeditiously to re-open the economy. https://t.co/ZiebTbcXeE",2020-04-17 17:10:02
"Great news for Wicomico County and the City of Salisbury! Chesapeake Shipbuilding will receive an $830K grant to expand their operation and improve efficiency.

https://t.co/PyxAEQZpXV",2020-04-15 20:31:24
Another American innovation approved in the fight against COVID-19. American innovation will defeat the Wuhan virus. https://t.co/mYn57Qsefc,2020-04-10 22:43:30
"It was a pleasure to join the folks at both Hardwire and Lowe’s in Pocomoke today. Hardwire typically manufactures body armor for our military and law enforcement, but have switched to face shields during the current crisis... https://t.co/nQmC1ZLcfM",2020-04-10 17:54:01
"Here's some links to amazing educational resources for students and teachers alike via the Smithsonian Institution and the Library of Congress:

https://t.co/qE2pjXk8wQ

https://t.co/6PKZGFcmCO",2020-04-09 22:41:00
"Our watermen are critical to the economy in the First Congressional District.  Here are great resources for the commercial fishing industry:

https://t.co/PJ6Qt5lmRr",2020-04-08 17:31:41
"Great resources for various small businesses out there!

https://t.co/IE4OjGspgF https://t.co/7XHqOqABTT",2020-04-03 18:40:48
Good news! The Administration has announced that Social Security recipients do not need to take any action or file a tax return to receive their stimulus check. IRS officials will use information on existing 1099 forms (the forms that are normally mailed every year,2020-04-02 14:53:49
"Maryland has announced a special health insurance enrollment period for uninsured individuals to help cover Coronavirus treatment costs. People can enroll until April 15th. More info can be found here:

https://t.co/mOW1Vq5qIM",2020-03-31 19:25:02
"Many have reached out about receiving payments under the recent Phase 3 Coronavirus bill. More info can be found here:

https://t.co/i3sAwBOW2E",2020-03-31 15:40:01
Happy National Doctors Day to all my colleagues on the front lines during this public health crisis. God bless you and keep you safe.,2020-03-30 20:28:28
"As I sit on the floor of the House today listening to colleague after colleague say ""this bill is not perfect"" and ""I'll support this bill because of the crisis,  but it has many flaws"" - I again urge my colleagues to consider #singleissuebills for all future legislation",2020-03-27 16:45:25
Debate continues on the House floor.  Thank you to all our frontline healthcare workers! https://t.co/A7ygGIcfzR,2020-03-27 16:15:32
$88 million in the Senate “emergency” Coronavirus bill for the Peace Corps-to last until September 2022??? #skipthepork #singleissuebills https://t.co/LTvrO6ST3P,2020-03-26 17:51:22
The Senate “emergency” bill allows sanctuary cities to receive Justice Department grants that were stopped by the Trump administration. Sanctuary jurisdictions should not get federal money-and this is NOT related to the Coronavirus economic crisis.  #singleissuebills #skipthepork https://t.co/r7hzmFtlGh,2020-03-26 12:19:29
The Senate bill gives $75 million in “emergency” funding to the Corporation for Public Broadcasting-funding which lasts til September 2021. Give me a break!! #skipthepork #singleissuebills https://t.co/qerxrVuzXA,2020-03-25 22:51:35
Over $1 billion for Amtrak in the Senate “emergency” bill? #skipthepork This is why we need #singleissuebills https://t.co/NB86YFknZH,2020-03-25 21:32:48
The Senate decided to include $25 million in “emergency funding” for the Kennedy Performing Arts Center...even though it remains closed until at least May 10th. Really?? #skipthepork #singleissuebills https://t.co/TgLeYEEyD5,2020-03-25 19:55:46
"Many constituents have reached out me with questions as to whether or not their business is allowed to remain open during this crisis.  See below for more detailed info on critical infrastructure during COVID-19:

https://t.co/9cH0JExCW3",2020-03-25 19:10:46
Speaker Pelosi knows that we should be debating the merits of a corporate minimum wage and employee selected board memberships in a separate bill.  This is not related to an emergency Coronavirus response #singleissuebills https://t.co/a5fLaEME7v,2020-03-24 21:33:55
"In Speaker Pelosi’s bill, only two colleges (out of thousands, both just happening to be in DC, and both private) were named to get a $20 million handout. Neither associated with COVID more than any other college. Thats the definition of an earmark. #singleissuebills #skipthepork https://t.co/8y7C0KMJaS",2020-03-24 15:27:12
A totally new program to spend millions on expensive “renewable” jet fuel??? Only another $200 million under Speaker Pelosi’s “emergency” coronavirus bill. #skipthepork #singleissuebills https://t.co/Ka4OWellIA,2020-03-24 01:07:46
