tweet,dates
"Quick update today on the fight to expand testing for New Jersey's long term care facilities. I also had an opportunity today to talk with some of our neighbors observing #Ramadan. These are tough times, and community is important - even as we socially distance. https://t.co/9OeG2Frqwj",2020-05-09 23:11:39
"The PPP has had serious problems from day one, and the refusal of the SBA to fix them has hurt a lot of small business owners and the employees that depend on them. https://t.co/ViwrBhJvXF",2020-05-09 15:16:23
Some inspiring examples of how our communities rise to the challenge in the toughest of times. https://t.co/GOyKZjZEFg,2020-05-09 15:01:46
"Quick update as we wind down the week on my conversations today with teachers, veteran leaders, and on our continued fight for more PPE for our frontline health care workers. https://t.co/0AF3JwhfwK",2020-05-08 23:11:10
Hard to fix something if you can't see how deep the problems go. It's time to shine a light on the SBA and get to work fixing this broken process. https://t.co/gG9yWs2EtL,2020-05-08 19:45:53
"When in doubt, look to New Jersey for solutions. https://t.co/skyoankE6A",2020-05-08 19:11:30
This was a team effort with @FrankPallone @SenatorMenendez and so many of our local leaders across Ocean County. Our towns and families can't afford to recover from Sandy and COVID-19; it's time to give them the relief they need. https://t.co/8itffMV24U,2020-05-08 18:45:04
Better late than never - but a quick update from yesterday with an update on our virtual session with @HouseSmallBiz. It was great to see my colleagues and work across the aisle to shed light on a lot of the issues we've been hearing from our small businesses. https://t.co/7nuiCnkg3v,2020-05-08 14:24:58
"The only way we're going to get people safely back to work is to put an end to this public health crisis. Later today, I'll be introducing two bills that will provide some economic relief to our neighbors and help put more New Jerseyans to work. https://t.co/bVRxlpnnnU",2020-05-08 12:49:43
Proud to partner with @FrankPallone to deliver for our neighbors in the fishing industry. This is 50k jobs on the line; that's a lot of families to look out and fight for. https://t.co/RZgBULHoXJ,2020-05-07 20:55:47
Yet another example of how our small businesses - and the millions who rely on them for a paycheck - have been failed during this crisis. https://t.co/dxPIbw6rDt,2020-05-07 17:17:37
"On today's video, I wanted to take a few minutes to talk about something that's absolutely essential to reopening our economy: contact tracing. What is it? How would it work? Are there privacy concerns? I try to break down all of these questions for you. https://t.co/mYnBJbvVR5",2020-05-06 22:00:15
"Today is #NationalNursesDay, which comes at a time when our nurses are fighting on the front lines of the biggest public health crisis we've seen in generations. They deserve our thanks, but that's not enough. https://t.co/4Gpdvmb3Tg",2020-05-06 16:18:14
"Today, I want to give you a quick update on an incredibly disturbing statistic we saw today: the @BurlcoTimes reported that 76 percent of COVID-related deaths in Burlington County are associated with a long-term care facility. https://t.co/lq0Tj0oFD9",2020-05-06 00:45:36
"My office gets a lot of calls and emails every day, but one of the things we're seeing an uptick of is calls about mental health. https://t.co/n7uKMlTQOe",2020-05-05 15:36:53
