tweet,dates
We must harness the same imagination FDR demonstrated a century ago. Let’s put many tens of thousands of unemployed folks to work contact tracing and helping people isolate safely. That's what @SenWarren's &amp; my Coronavirus Containment Corps is all about. https://t.co/LZhCkInvzH,2020-05-08 17:10:10
"And if you include another 9.8 million workers who also want jobs but who’ve not looked in the past 12 months, you get a grand total of 27.3% Americans unemployed. Over ¼ of Americans unable to work to their capacity. This is a crisis of the first order.",2020-05-08 17:07:05
"But the “true” unemployment rate – including workers who are “discouraged”, “marginally attached” or “part-time-of-necessity” – jumped from 9.0% to 22.8%. Simply stunning.",2020-05-08 17:06:29
April 2020 will go down in history as the steepest increase in unemployment in the history of the United States – even including the Great Depression. The “official” unemployment rocketed to 14.7% from 4.4% in March.,2020-05-08 17:05:22
"Whether they’re hard at work in the classroom or finding creative ways to teach remotely, every teacher deserves our thanks for the work they do. This #TeacherAppreciationWeek, make sure you tell Michigan educators how much you value them.",2020-05-08 15:14:24
"Our state has no more important job than ensuring a quality education for every student. This #TeacherAppreciationWeek, let’s commit to showing our gratitude for educators every week out of the year. The work they do is nothing short of essential. https://t.co/sypawfXTyc",2020-05-07 16:11:21
"Without more emergency relief, hundreds of thousands of educators, administrators and school staff will face layoffs. To honor #TeacherAppreciationWeek, we must ensure schools have the resources they need to avert devastating cuts to public education. https://t.co/D9sjANUDWe",2020-05-06 18:10:52
"#COVID19 has shown us just how hard educators work to help our kids learn and grow. This #TeacherAppreciationWeek, we thank all teachers who are going above and beyond to serve their students. #ThankATeacher https://t.co/ikbD4uQHtx",2020-05-06 15:27:07
"Today, the Supreme Court is deciding if your boss or university can take away your birth control coverage. During this crisis, we should be talking about how to expand access to care—not debating women’s right to make their own health care decisions.  https://t.co/mr5P6CQWwz",2020-05-06 14:41:28
"My vote for the CARES Act was a vote to bring urgent assistance to Macomb and Oakland Counties, and it is my hope that these substantial funds will bolster the #COVID19 response in Metro Detroit and bring us closer to the end of this crisis. https://t.co/UkeP32XClP",2020-05-05 18:18:05
"Today, on #InternationalWorkersDay, we celebrate workers all over the world and promote the continued progress of workers’ rights.

To mark the occasion, I've shared some thoughts on my Medium page. Read here:
https://t.co/GuXccgwuhQ",2020-05-01 19:08:04
"This #MayDay I stand with all workers fighting for fair treatment, safer working conditions and a voice in their workplace. But moments of crisis cannot be the only periods where we treat workers with the reverence they deserve – we can and must do more, in good times and in bad.",2020-05-01 16:14:29
"Exploiting a pandemic to deny workers their right to form a union is unconscionable. Now more than ever, workers need the freedom to form unions to help ensure good-paying jobs with safe working conditions. It goes to show how badly we need the #PROAct. 
https://t.co/xb2EZIcZhd",2020-04-30 21:20:34
"My governor is doing things just right. Allowing public health to drive all decisions. Consulting widely with union, business, academic leaders, especially scientists and doctors. Level-headed. Step by step. Michigan strong, @GovWhitmer! https://t.co/Q21PPc88Go",2020-04-29 15:19:20
"In this moment of crisis, OSHA must implement an emergency temporary standard to help protect frontline workers. In the long term, we need comprehensive labor law reform to restore workers’ voice to the workplace. #WorkersMemorialDay",2020-04-28 19:44:18
"For many workers, the need to make ends meet forces them into harm’s way. Today I resolve to continue to fight in solidarity with workers to ensure their rights are protected and enhanced, their lives are not forgotten &amp; they have access to a fairer economy. #WorkersMemorialDay",2020-04-28 18:22:49
"Thank you to health care workers treating our sick; grocery workers &amp; food processors keeping us fed; gig, delivery, &amp; warehouse workers allowing us to maintain social distancing; &amp; everyone working critical infrastructure jobs to keep our country running. #WorkersMemorialDay",2020-04-28 18:13:04
"Today is #WorkersMemorialDay. Let us take time to remember those we’ve lost, reflect on the value and dignity of labor, and consider ways in which we can better protect workers – particularly those on the frontlines of the #COVID19 epidemic.",2020-04-28 18:01:19
"In order to begin reopening the economy &amp; avoid devastating rebound infection waves like a century ago during the Spanish Flu pandemic, we need to test &amp; trace on a mass scale. I’m working with @SenWarren &amp; experts to begin this must-have effort on a national scale without delay. https://t.co/dWW4FAR71b",2020-04-27 14:39:29
"Today we mark the somber 105th anniversary of the #ArmenianGenocide. For the descendants and remaining survivors of the genocide, I was proud to vote for our country to recognize it officially. It’s an important way of ensuring it never happens again.",2020-04-24 17:40:16
"This #NationalLibraryWeek, @RepRaulGrijalva, @repdonyoung &amp; I led a bipartisan letter with more than 100 House members urging support for America's libraries in future #COVID19 legislation. During this crisis, our libraries are more important than ever. https://t.co/UA1zaFUTXL",2020-04-23 23:09:28
"Wishing #RamadanMubarak to all who celebrate! May you have a happy, reflective and restorative #Ramadan. https://t.co/1BfuCoE5Xo",2020-04-23 21:57:28
"To stop the spread of COVID-19 &amp; reopen America, we must massively expand our public health workforce to
 
✅Investigate cases 
✅Identify positive individuals’ contacts
✅Ensure those contacts can take precautions 
 
See @SenWarren’s &amp; my plan to do it: 

https://t.co/fRT1e3e4RK",2020-04-23 15:44:25
"During the Great Depression, FDR put 100,000s of Americans back to work with the Civilian Conservation Corps (CCC).
 
Today, @SenWarren &amp; I announced our plan for a new CCC: the Coronavirus Containment Corps. Learn how we can stop COVID-19 &amp; reopen the US: https://t.co/LZhCkI5Ub7",2020-04-23 15:05:28
"It's #EarthDay! While we weather this health emergency, we must remember the threat of climate change is a gathering storm that requires an emergency response. Let’s emerge from this period with a stronger focus on transforming our politics to keep our Earth healthy every day. https://t.co/8sZ8eqoNt9",2020-04-22 16:10:59
"These deportations are immoral, and they put both Americans and Haitians at risk. If more cases of #COVID19 develop in countries like Haiti that cannot contain them, even if we stop the spread here, the virus will remain a short plane ride away. Please, @ICEgov, do not do this. https://t.co/43egVt4RiV",2020-04-20 21:39:02
"We should be making it easier for unions to hold elections, not harder. My bipartisan letter with @RepBrianFitz and 166 other House members asks leadership to provide funding in a future #COVID19 bill to develop an electronic elections system for unions. 

https://t.co/MehjjhRZqF",2020-04-20 19:08:37
https://t.co/jlhVF13LDP,2020-04-20 17:10:02
Shopping for my family - suddenly three kids in residence indefinitely with Mary and me - seems like such a sacred trust right now. I can’t express how much I appreciate all the workers at Meijer and other stores for helping keep us fed and safe. https://t.co/fcDFaImqpB,2020-04-20 13:47:23
"The coronavirus pandemic has exposed the problems of structural racism, of not having national health insurance, of disinvestment in public health systems. We must meet this moment by turning a corner towards a more progressive and inclusive vision for America.",2020-04-17 14:41:20
"I applaud @GovWhitmer’s regional approach, especially since we share similar industries with our neighbors. My hope now is that the Trump administration rises to its duty to create a national testing program that their re-opening “plan” leaves to cash-strapped states. https://t.co/seOLzUvIoz",2020-04-17 13:59:23
"Easing stay home orders must be a matter of public health, not public pressure. The economy and our safety measures are not in conflict. To the contrary, we cannot have a thriving workforce and society without strong public health.",2020-04-16 17:03:39
