tweet,dates
Happy Mother’s Day and thank you to all of the moms working on the front lines as we fight COVID-19. I’m so lucky to be a mom to these four great young men. https://t.co/uYa51IWYeP,2020-05-10 14:57:13
It was great to chat with leaders from #MN02 at the monthly Scott County Association for Leadership and Efficiency. SCALE is an excellent example of productive and effective collaboration. Thank you for having me! https://t.co/almtA4QyVs,2020-05-09 23:32:13
"Yesterday, I joined local businesses in Hastings to talk about the issues facing them due to COVID-19. I’m committed to making sure small businesses have access to the resources necessary to weather this pandemic.",2020-05-09 21:28:15
"Our early education and child care sector has been particularly hard hit by the COVID-19 pandemic and is in dire need of emergency relief funds. This week, I joined 84 of my colleagues to call for additional child care COVID-19 relief funding. https://t.co/a29R31QhFd",2020-05-08 22:14:59
"COVID-19 has caused economic damage to nearly every sector of our country, and the U.S. Postal Service has been hit particularly hard. I’m pushing for additional support to be given to the @USPS in the next response package. https://t.co/m9AiWMduBp",2020-05-08 21:51:34
"Today, I spoke with owners of restaurants and breweries and others who have been hit devastatingly hard by the impacts of COVID-19. I’m pushing for flexibility for restaurant owners in the Paycheck Protection Program. https://t.co/1AYGmxVDkL",2020-05-08 20:31:06
"Folks in our communities and across the country still rely on donations of lifesaving blood, and giving blood is one of the many ways we can continue to help our neighbors during this time. Thank you to @RedCross for helping me safely donate blood today. https://t.co/eKVZRQnngY",2020-05-08 17:56:40
"This week, we recognize all of the public servants who are stepping up in response to the COVID-19 pandemic. Thank you to the firefighters, police officers, teachers and postal workers taking extra precautions and adapting as they continue to serve. #PSRW2020",2020-05-07 20:58:02
We’re blessed to have the Geller Foundation for Patient Safety here in #MN02 as we fight COVID-19. Thank you for all you’re doing to keep patients connected to their loved ones. https://t.co/rYWyEa81Jx,2020-05-07 18:41:48
"It’s National Nursing Home Week, and I want to thank all of the staff at our long-term care facilities, assisted living facilities and nursing homes who are doing important work to keep our loved ones safe and healthy.",2020-05-07 17:18:55
Thank you to everyone who joined me today for my Kids Town Hall. We have such bright students here in #MN02 and it’s an honor to represent you in Congress. https://t.co/H4sGdNLDAb,2020-05-07 15:45:48
Our Kids Town Hall is live on my Facebook page! You can watch here: https://t.co/X4bgjyPIIm,2020-05-07 15:00:23
Attention students: join me at 10 AM for my Kids Town Hall. I’m looking forward to answering your questions. RSVP here: https://t.co/DUM9kg5R7g https://t.co/hAZDO0HxsE,2020-05-07 14:16:31
I’m honored to work with these folks on my Farmer Advisory Council. Thank you for joining me today to talk about the issues facing family farmers and rural communities as we face COVID-19. https://t.co/tAeGVCtwC1,2020-05-06 23:31:44
Health care workers are making sacrifices every day to defeat COVID-19. I joined my colleagues to push for access to the mental health resources health care workers need to endure the taxing months ahead and to recover in the outbreak’s aftermath. https://t.co/0YuG8DUX9f,2020-05-06 18:56:02
I’m proud to be joined by 46 local elected officials across #MN02 in my push for direct investments into local communities as they face unprecedented challenges from COVID-19. We’ve got to include cities and towns in the next legislative package. https://t.co/MGfCFPLLfO,2020-05-06 17:11:15
"During this uncertain time, nurses have stepped up to help keep us all healthy and safe. On this #NationalNursesDay, I thank all of the nurses in our communities for their dedication, compassion and hard work. https://t.co/yhSlw3y0oi",2020-05-06 15:39:23
"COVID-19 has devastated our country’s nursing homes and long-term care facilities. Yesterday, I met with @aarpmn to talk about how we can make sure seniors have the protection and support needed to keep them healthy and safe.",2020-05-06 14:31:13
"Tomorrow @ 10:00 AM I’m inviting #MN02 elementary and middle-school students to join me for a virtual Kids Town Hall. I’m looking forward to answering your questions! To join me, RSVP here. https://t.co/DUM9kg5R7g https://t.co/T1vt7PLzQG",2020-05-06 13:03:53
Summitt joined me for a small business visit today at Pawlished Pets Grooming in Eagan. Proud of all the small businesses operating safely and without customer contact. I’ll continue to fight to ensure small businesses have the resources needed to survive during this time. https://t.co/R6EotAXvgN,2020-05-06 00:10:52
"Last week, I joined a letter urging leadership to explicitly define home health care aides and caregivers as essential workers in the next COVID-19 relief bill and ensure these workers have access to PPE, hazard pay, affordable health care and child care options. https://t.co/mmPkvg61pl",2020-05-05 23:05:17
"I support @goiupat and construction workers across the country by demanding that congress ensure health coverage, retirement and a bold investment in infrastructure. We need a FULL RECOVERY BILL that puts #workersfirst. https://t.co/EYehIXHB6Z",2020-05-05 22:10:46
"Update: The South St. Paul Municipal Airport will receive $69,000 in funding from the CARES Act. I’m proud to be working to make sure #MN02 receives needed relief.",2020-05-05 20:16:37
"The livestock sector is seeing unprecedented losses, irreparably impacting families and producers in Minnesota. Today, I led the MN delegation in a push for turkey growers to have access to any COVID-19 relief resources available to agriculture producers. https://t.co/hbCgmEJyZ7",2020-05-05 17:27:25
DEADLINE TODAY: Veterans &amp; SSI recipients with dependents who DO NOT file taxes must fill out the non-filers tool on the IRS site to receive an additional $500 per dependent. This form can be accessed at: https://t.co/JD73PSAAi7,2020-05-05 14:10:06
