tweet,dates
"In the middle of this crazy, crazy time, it’s more important than ever to reach out to loved ones – and today, the spotlight is on Mom. Happy Mother’s Day to all of the mothers in Maine and across the country!",2020-05-10 13:00:20
A simple proposal to assess and blunt the spread of the coronavirus: give all Americans the same testing regimen that the White House gets.,2020-05-09 15:59:08
"During this crisis, America’s nonprofits are stepping up to help those in need; it’s only right that Congress returns the favor. @SenatorLankford and I led 30 Senators in a letter to leadership, urging aid for charitable nonprofits in any future coronavirus relief package. https://t.co/6CrL74rg8d",2020-05-08 13:00:59
"State and local government services are vital to Maine – but they’re not free. As tax revenues continue to fall, these governments will be forced to either raise taxes or lay off workers. Neither is acceptable; the federal government must provide relief. https://t.co/CcRFGSr7Pk",2020-05-07 21:17:59
"This is HUGE news for Maine. Testing is the foundation of making sure we can keep Maine people safe and healthy as this crisis continues, and help inform how we get through it. Grateful for IDEXX's partnership and the steady leadership of @GovJanetMills during this crisis. https://t.co/peilWNNFD0",2020-05-07 18:57:50
"In challenging times – and I certainly think this qualifies – I look to my faith for strength and guidance. On this #NationalDayOfPrayer, I find myself turning to Psalm 23. https://t.co/lqHiDdYNZQ",2020-05-07 18:12:11
"Trying to “terminate” healthcare protections for Americans with pre-existing conditions is terrible; doubling down on this effort, amidst a global pandemic that has already killed tens of thousands of Americans, is even worse. We must protect the ACA. https://t.co/EFPKbExnHG",2020-05-07 15:10:53
"Maine’s nurses are heroes, plain and simple. Their tireless efforts – even in the face of personal risks – are critical to the health and safety of our people. On #NationalNursesDay, we give them all of our gratitude and more. 
 
Thank you, each and every one of you.",2020-05-06 19:20:30
"We’re in the midst of a crisis, and we need stronger federal leadership to help get through it. I’m cosponsoring legislation that would speed up production of life-saving PPE and testing materials because this isn’t about ideology; it’s about saving lives. https://t.co/jpgWdvW65g",2020-05-06 17:59:57
"Maine’s potatoes and wild blueberries are world-renowned products, and the industries surrounding them have supported Maine communities for generations. That's why I'm urging @USDA to provide tailored support for our farmers during this pandemic. https://t.co/Zbh2bzPiHI",2020-05-06 13:30:08
"In the words of our former Director of National Intelligence Dan Coats, the Intelligence Community has a solemn responsibility: to seek the truth, and speak the truth. Today, I pressed the President’s nominee to replace Director Coats on the importance of an independent IC. https://t.co/FYuxfnqYdf",2020-05-05 21:05:39
"The impact of coronavirus has hit America’s youth hard – but fortunately, we have heroes who are going above and beyond to offer support. Today is #NationalTeacherDay, so make sure to #ThankATeacher for the work they are doing to build brighter futures for our students.",2020-05-05 19:41:41
