tweet,dates
"We need a robust, science-backed approach to defeat this virus. I'm proud that our universities are continuing to direct their resources towards defeating the virus. 
https://t.co/WdY8U9KDSU",2020-05-10 17:00:43
"As a proud member of of the first pro-choice majority in the House of Representatives, I oppose efforts to roll back access to reproductive health services, including abortion. These essential services continue to play in the time of a global pandemic.

https://t.co/X6ZPIVuqb5",2020-05-09 22:00:25
"The #CARESAct took crucial steps to put workers first. But we must go further. #CARES2 must include OSHA protections for workplace safety, family &amp; medical leave, funding for COBRA and pension support. #FamiliesFirst",2020-05-09 21:00:28
"We cannot allow HHS to roll back protections for gender identity and sexual orientation discrimination. I'm writing to HHS urging them to strengthen anti-discrimination protections and make healthcare more accessible during this crisis.

https://t.co/4yd2X32KXV",2020-05-09 20:00:28
"Thank you to all the Southern AZ teachers working to make sure our children and grandchildren are able to continue learning and eating during this crisis. You are essential #ThankYouTeachers

https://t.co/IX4JphoLRQ",2020-05-09 19:00:35
Congratulations to the Class of 2020! https://t.co/pVSfQWNZi4,2020-05-09 18:00:33
"The pandemic is not a reason to deny individuals American citizenship-- the final step in the naturalization process. I've joined my colleagues in sending a letter to Leadership asking for a remote, digital naturalization ceremonies.

https://t.co/9lM4tqcqqC",2020-05-09 17:00:37
"The COVID crisis has exacerbated inequities that Native American communities face, and has left them increasingly vulnerable. We must expand assistance and aid to these communities.

https://t.co/QWVEBb0dc7",2020-05-09 00:00:17
"I'm grateful and impressed by our AZ researchers and their continued work on COVID19. We need the work of these researchers to end this pandemic quickly and effectively.

https://t.co/Mblvx8BmTi",2020-05-08 23:00:22
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe. The country is thankful for the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75 We have prevailed through adversity before, we will prevail again. https://t.co/pCllnjXElX",2020-05-08 22:00:22
"Nurses are on the frontline of this crisis. They are working to protect the health of our community, and our nation. This week and every week, we #ThankNurses for their bravery and compassion.

https://t.co/LbpwUldduP",2020-05-08 21:00:22
"We must honor #TeacherAppreciationWeek by giving schools and states the resources they need to avert devastating cuts to public education. Our AZ state leaders must not ignore the value of our teachers and the impact they have on our students, our future. 
https://t.co/kSJ5stHaET",2020-05-08 20:00:17
"Our nursing homes are under attack from this virus. We must aggressively deliver resources and enforce transparency to reduce the spread. Testing &amp; Transparency must go hand-in-hand. For high-risk communities, it's life or death, we need to protect life.

https://t.co/WLko0WBfmk",2020-05-08 19:53:01
"This is a huge relief. Now, I hope the research and findings from the University expert team is carefully considered and utilized as we try and combat this virus. https://t.co/CKDmfsG0So",2020-05-07 21:07:40
"Trump's proposed payroll tax cut will harm Social Security and greatly benefit large corporations. I believe we need to help our most vulnerable, seniors, and #ExpandSocialSecurity.",2020-05-07 18:28:00
