tweet,dates
Happy Mother’s Day!  I am grateful for all the mothers who have cared for and loved their families. We are all thankful for those we love on this special day. https://t.co/AGqSdOUeUu,2020-05-10 16:55:55
Tune in now to watch our live town hall on COVID-19. #MOTownHall https://t.co/K3QK3w9PAB,2020-05-08 01:06:13
"RELEASE: Bipartisan, Bicameral Group of Lawmakers Introduces Legislation to Counter Human Rights Abuses Worldwide Amidst Coronavirus Pandemic

Read more ➡️

https://t.co/wYWsW3xsVp",2020-05-07 21:18:14
Join me tonight for a town hall where I answer your questions about what we're doing to address the coronavirus pandemic.  #MOTownHall https://t.co/9XVGY9iHa0,2020-05-07 14:48:45
"The Gateway Strike Force will be an additional powerful tool in our local fight against violent crime and illegal drugs that have taken so many lives throughout our region.  
 
https://t.co/q3ChcHacLs",2020-04-29 20:42:11
"If you are an SSI beneficiary and you have a child eligible for the economic impact payment, make sure the IRS has your up-to-date information so you can receive your full payment.  https://t.co/oIvP9310wE",2020-04-29 18:05:56
".@MOTreasurer released the COVID-19 relief funding each county will get from the CARES Act Congress passed. St. Louis County will receive $173.5 million, St. Charles County will receive $47.1 million &amp; Jefferson County will receive $26.4 million to address COVID-19 related costs.",2020-04-29 15:46:46
"Treasury Secretary Mnuchin and SBA Administrator Carranza just released information on the resumption of the Paycheck Protection Program (PPP).  

See their press release here for more information about PPP loan applications and how to apply.  

https://t.co/PoDZGjJPIx",2020-04-24 20:16:07
"I spoke on the House Floor to urge my colleagues to vote in favor of our latest coronavirus relief legislation, the Paycheck Protection Program and Health Care Enhancement Act.  This legislation is poised to be a lifeline for Missouri workers and small businesses...",2020-04-23 22:56:18
"From the IRS: 

This is a special alert for benefit recipients who don't file a tax return &amp; have dependents.

SSA, RRB recipients w/ eligible children need to act by Wednesday to quickly add money to their automatic Economic Impact Payment

See more here

https://t.co/j7S1tU9GEJ",2020-04-21 18:37:54
"On Yom HaShoah, I am reminded of Holocaust survivor Elie Wiesel’s words “For the Dead and the Living, we must bear witness.” We will always remember the victims of the Holocaust and honor the survivors. https://t.co/hk0kIfH4Wr",2020-04-21 16:03:33
