tweet,dates
"Santa Cruz County! Second Harvest @2ndharvest is hosting its weekly Friday food distribution at the Boardwalk today from 9am to 1pm

If you’re in San Mateo or Santa Clara County and you need a meal: Call Second Harvest’s hotline at 1-800-984-3663 or Text “GETFOOD” to 408-455-5181",2020-05-08 15:35:11
"One month ago, I led all 31 @EnergyCommerce Democrats in sending a letter to @CMSGov Administrator Seema Verma calling for CMS to immediately extend the Medicare General Enrollment Period: https://t.co/x6QgO6yImM",2020-05-08 04:03:02
Reminder: I'm holding a Telephone Town Hall today at 4:30 p.m. PT for constituents in San Mateo County to discuss #COVID19. I'll be joined by State Senator Jerry Hill and @SMCHealth Deputy Chief Srija Srinivasan. Sign up and listen here: https://t.co/JsNupwLdS2 https://t.co/EfyTTaznLS,2020-05-07 19:51:42
"On #NationalNursesDay, we pay tribute to the millions of nurses across our country who are leading our nation’s response to the #COVID19 pandemic. You are the greatest source of inspiration to the American people🙏.",2020-05-06 22:16:01
I'm holding a Telephone Town Hall tomorrow at 4:30 p.m. PT for constituents in San Mateo County to discuss #COVID19. I'll be joined by State Senator Jerry Hill and @SMCHealth Deputy Chief Srija Srinivasan. Sign up and listen here: https://t.co/JsNupwLdS2 https://t.co/jtr3e9ZA7Q,2020-05-06 16:34:54
"I plan to hold a hearing next week to examine the whistleblower complaint filed by Dr. Rick Bright, a former HHS top official. 1/4",2020-05-05 21:30:57
"There’s still so much we don’t know about #COVID19 and the short- and long-term impacts of this novel virus on the human body and diverse populations. This information is essential for health care providers to develop effective, comprehensive treatments for all patients.",2020-05-05 18:59:18
Today we salute the millions of teachers across the U.S. who devote their lives to educating our children and the next generation of leaders. You are making a difference in countless lives each and every day. Thank you for everything you do🙏#TeacherAppreciationDay https://t.co/xj4jiDs03s,2020-05-05 18:05:44
"URGENT: Register by May 5th if you receive SSI or VA benefits, have qualifying children under the age of 17, and didn’t file a tax return in 2018 or 2019, to have $500 per child added to your $1,200 Economic Impact Payment. Register here 👇https://t.co/zxF5dHajQD",2020-05-04 20:52:34
"I'm holding a Telephone Town Hall today at 3:30 p.m. PT for my constituents in Santa Cruz County. I'll be joined by @Bruce_McPherson and Dr. David Ghilarducci, Santa Cruz County EMS Medical Director. Sign up and listen here: https://t.co/JsNupwLdS2 https://t.co/mrlpCmqfAH",2020-04-30 18:32:57
On #WorkersMemorialDay we pay tribute to those who've been injured or lost their lives in the workplace. As our frontline workers continue their fight against #COVID19 we’re reminded how much more needs to be done to ensure everyone is guaranteed safe &amp; healthy working conditions https://t.co/JiQCE5h37L,2020-04-28 21:03:55
Today the @SBAgov began accepting applications again for the #PaycheckProtectionProgram with $310 billion in new funding approved by Congress last week. Find a lender 👇https://t.co/JjaJvaZTqd,2020-04-27 19:05:24
"On the 105th Anniversary of the #ArmenianGenocide, we pause to remember the 1.5 million Armenians and hundreds of thousands of Assyrians, Greeks, Syriacs, Arameans, Maronites, and other Christians who were taken from us at the hands of the Ottoman Empire, including my ancestors. https://t.co/LBgBrdJWpp",2020-04-24 22:11:37
"As the holy month of Ramadan begins, I wish all Muslims in my Congressional District and around the world a #RamadanMubarak. May your faith be a source of hope during this highly challenging time.",2020-04-23 21:49:49
Proud to work with my Biodefense Caucus co-chair @SusanWBrooks to give the Strategic National Stockpile additional flexibility and stretch taxpayer dollars further to respond to the current pandemic and be prepared for the next. https://t.co/s3G0xu7Qte,2020-04-23 21:30:22
"I'm holding a Telephone Town Hall today at 5:40 p.m. PT with Special Guest Dr. David Relman of Stanford University to discuss #COVID19. 

Sign up and listen👇https://t.co/JsNupwLdS2",2020-04-23 15:24:33
On the 50th anniversary of #EarthDay we celebrate the vision of its founders and the collective environmental conscience of those who have followed. The best way to honor their vision is to recommit ourselves to confront  climate change to save the only home we have: planet Earth,2020-04-22 20:05:12
Never Again. On this April 21st we mark #HolocaustRemembranceDay in unity with those who lost their loved ones in the horrors of the Holocaust. We reaffirm our commitment to religious freedom and the fight against tyranny for the future of humanity.,2020-04-22 01:02:02
The Trump Administration is not being transparent about how it's responding to states’ requests for #COVID supplies. I’ve requested daily reports w/ an itemized accounting of #PPE and medical supplies and a list of where supplies are being sent. Read more: https://t.co/5dQV7xypb3,2020-04-20 22:33:29
"People with Medicaid need easy access to their medications during the #COVID19 emergency. That's why I introduced the MAIL Act, which will increase mail-order pharmacy options and allow people to have a 90-day supply of medications. https://t.co/dpfzmkvUai",2020-04-20 20:21:39
"REMINDER: I'm holding a Telephone Town Hall today with Santa Clara County Executive Dr. Jeff Smith to discuss #COVID19. 

Sign up and listen👉https://t.co/JsNupwLdS2 https://t.co/LkYOT7G4N8",2020-04-17 20:40:49
"The Friendship Line for all Bay Area Seniors is now open, 24 hours a day, 7 days a week for seniors who just want to chat and connect with a fellow Bay Area resident.  Call 1-800-971-0016. The Friendship  Line staff are looking forward to connecting.",2020-04-16 21:13:08
Tomorrow I'll be holding a Telephone Town Hall Meeting to update my constituents on what Congress is doing to respond to #COVID19 and answer your questions. Sign up here👉https://t.co/JsNupwLdS2 https://t.co/kC1T27fuaY,2020-04-16 15:34:53
"Pleased to announce that my constituents who receive SSI and who do not need to file taxes will now receive their $1,200 Economic Impact Payments (or stimulus checks) automatically, with no need to file a tax return or fill out a form. You should receive the payments by early May",2020-04-15 21:54:56
"Important reminder for all non-profits, colleges, and universities in CA-18! https://t.co/oG57tPEIY2",2020-04-15 17:26:50
"We’re in the middle of a global health pandemic that requires, above all, international cooperation to defeat. The last thing the U.S. should do is relinquish its leadership role on the world stage by going it alone, and defund the World Health Organization.",2020-04-15 15:36:39
"The IRS is launching a new website this week. If you didn’t file an income tax return for 2018 or 2019, you can use this website to apply for the cash assistance that Congress provided by direct deposit: 👇https://t.co/iumoeOqzea",2020-04-15 00:36:48
"This public health crisis underscores a simple truth: where you live shouldn’t determine your access to the internet. Our students, workers, and families need Congress to expand high-speed broadband access immediately! #FamiliesFirst",2020-04-14 18:31:46
"I’m sharing important updates about #COVID19 and the economic relief effort in my weekly E-Newsletter. Sign up today to get these updates!  
https://t.co/Ii3hB4epI0",2020-04-13 18:41:05
"On this Easter Sunday...

“With a good conscience our only sure reward, with history the final judge of our deeds; let us go forth to lead the land we love, asking His blessing and His help, but knowing that here on earth God’s work must truly be our own.”- President Kennedy",2020-04-12 19:03:17
"Racism and xenophobia in any form are unacceptable. Now, more than ever, every community must unite against the common enemy that is #COVIDー19. I’m proud of our Asian community and stand with them during these challenging times, and always will. https://t.co/vEeQVb48R0",2020-04-10 23:42:33
California is leading the way. Let’s keep up the fight against #COVID19 and #StayHomeSaveLives https://t.co/uD9o0AFcbC,2020-04-10 20:05:44
"Today I introduced the Healthcare Broadband Expansion During COVID-19 Act w/ @repdonyoung to provide $2 billion to expand telehealth at public and nonprofit healthcare facilities, including mobile clinics and temporary facilities deployed to respond to the #COVID19 pandemic",2020-04-10 18:52:04
"April is #SexualAssaultAwarenessMonth, and I’m proud to join my colleagues to request dedicated funding for sexual and domestic assault programs during #COVID19. If you or a loved one needs support, call 1-800-656-HOPE. https://t.co/1h0hosrAZL",2020-04-10 15:56:46
"To all the nurses and healthcare workers around the world, thank you from the bottom of my heart for your unparalleled dedication and selflessness. You’re doing God’s work and we are unendingly grateful to you, and for you. #WorldHealthDay2020",2020-04-07 19:51:37
Every American regardless of age and employment status should have access to health insurance during this public health emergency. @CMSGov should immediately extend the Medicare General Enrollment Period and offer a special enrollment period on https://t.co/HwseAC2E8o #GetCovered https://t.co/QJaBKt06st,2020-04-07 17:30:46
"If you’re feeling anxious or depressed during these uncertain times and need to talk to someone, you can call the Lifeline crisis line @800273TALK for support at 800-273-8255 or visit 👇
https://t.co/DpKayQR68D",2020-04-04 03:44:25
HAPPENING NOW: I'm holding a Telephone Town Hall Meeting to update my constituents on what Congress is doing to respond to #COVID19 and answer your questions. You can listen online and ask questions 👇 https://t.co/JsNupwLdS2 https://t.co/yEyLH7IGl5,2020-04-03 22:02:47
Tomorrow I'll be holding a Telephone Town Hall Meeting to update my constituents on what Congress is doing to respond to #COVID19 and answer your questions. Sign up here 👉https://t.co/JsNupwLdS2 https://t.co/lWOwZ2OFsO,2020-04-02 21:30:09
"In Sept 2019, I wrote to the @US_FDA asking them to move quickly to address the potential cancer risk of #Zantac (also known by its generic name ranitidine). Zantac is a highly common drug with 15 million prescriptions written annually, including for infants and pregnant women.",2020-04-01 20:42:44
The scammers are out in full force using fear and confusion around the #coronavirus to victimize our older adults and persons with disabilities. Don’t give your Medicare number to anyone over the phone or at your door. Learn more: https://t.co/blAw6Vnsmi,2020-04-01 18:40:06
"Today is Census Day. While we’re at home, take a few minutes to #GetCounted. You can log onto https://t.co/XiyWK93E6m to complete your form online. It took me a few minutes to do. #CensusDay",2020-04-01 15:00:29
Do you have federal student loans? Unable to make your payments? Good news: the #CARESAct passed by Congress allows borrowers w/ federal student loans to defer payments for six months and waives all interest. Contact your lender for more info or visit 👇 https://t.co/rQj2uBHjmg,2020-03-31 21:47:03
Today is #EqualPayDay which marks how far into the year a woman must work on average to earn as much as a man earned the previous year. https://t.co/lQjCGsIwLj,2020-03-31 18:51:36
".@sccounty has created a safe, online system for donating personal protective equipment. The County needs eye protection, disinfecting wipes, medical gowns, and unopened N-95 and surgical masks. To donate, visit: https://t.co/CXOAprEbwD",2020-03-31 01:02:07
"Today is #NationalDoctorsDay and every doctor has my unending gratitude, especially during these times of crisis. 

You are angels of mercy to every American.",2020-03-30 22:48:29
"Tonight I'll be holding a Telephone Town Hall Meeting to update my constituents on what Congress is doing to respond to #COVID2019 and answer your questions. Sign up 👇👇
https://t.co/JsNupwLdS2",2020-03-26 14:28:28
The best thing Americans can do to fight coronavirus: #StayHomeSaveLives https://t.co/CcSijjwwG2,2020-03-25 20:37:19
"BRAVA to @129RQW @GavinNewsom and @USNationalGuard for stepping up to help feed the most vulnerable during #COVID19 🙏

https://t.co/mLTLMSrMPz",2020-03-25 04:00:16
"Tomorrow I'm co-hosting a Telephone Town Hall Meeting w/ @RepZoeLofgren @RepJimmyPanetta @RepRoKhanna &amp; @HealthySCC about #COVIDー19 in Santa Clara County 

I hope you'll join us tomorrow at 1:00 p.m. PT

📞855-962-1194 https://t.co/LrAeYz4dRZ",2020-03-24 03:02:44
"If you are overseas during these uncertain times, you should register under the @StateDept’s Smart Traveler Enrollment Program so that you can receive the latest updates from the nearest U.S. Embassy or Consulate: https://t.co/pCFqIFqOzQ",2020-03-23 17:54:51
"Today is the 10th anniversary of the Affordable Care Act. As we confront the coronavirus outbreak, 20 million more Americans have health coverage thanks to the ACA. We need to #ProtectOurCare and keep making progress towards affordable, quality health care for all. #ACA10",2020-03-23 17:06:38
The President must immediately use the powers of the Defense Production Act to produce and coordinate distribution of protective personal equipment for our nation’s health care workers. We can’t wait any longer. Hospitals are running out of supplies. How can this be in America???,2020-03-22 23:18:11
"THANK YOU to all the health care workers and first responders who are working 24/7 to care for so many of us. I'm fighting to make sure you have the protective equipment you need to stay safe and healthy. You have my lasting gratitude for your courage, strength, and dedication🙏",2020-03-22 21:00:15
I urge CMS to urgently give California the flexibility to care for all #MediCal patients during #COVID19 👇👇👇 https://t.co/VE0C8N5PVL,2020-03-20 21:03:19
"🚨🚨There's a severe blood shortage across the U.S. Healthy individuals need to roll-up a sleeve and give blood now. It's safe and allowed under the shelter in place order.

Find #BloodDrives near you: https://t.co/9cpJ8V5zS5 https://t.co/Zau8EmvzTG",2020-03-20 17:40:20
Today I urged the President and VP to protect data privacy in our #COVID_19 response. Sensitive location and health data collected to #FlattenTheCurve should only be used for public health. Thanks @RepDelBene &amp; @RonWyden for joining me https://t.co/Zus471Pz0V,2020-03-19 22:13:29
"My thanks to the 3,000 constituents who joined my Telephone Town Hall yesterday to discuss what Congress is doing to respond to the #coronavirus. 

REMINDER: if you haven't already, you can sign up for today's Telephone Town Hall below 👇👇👇

https://t.co/JsNupwLdS2",2020-03-19 19:29:11
Proud to join @GerryConnolly in urging the President to require mandatory teleworking for all eligible federal workers to #FlattenTheCurve and protect the public from #COVID19 https://t.co/E5pmJc1htd,2020-03-18 16:00:26
"This week on Wednesday, March 18th and on Thursday, March 19th I will be holding Telephone Town Hall Meetings to update my constituents on what Congress is doing to respond to the novel #coronavirus and answer your questions ☎️☎️",2020-03-17 22:09:41
"The House is meeting the coronavirus crisis head on by providing access to free testing for all Americans and expanding paid leave, unemployment insurance, nutrition assistance, and federal funds for Medicaid. #FamiliesFirst https://t.co/h0SozvPfaR",2020-03-14 05:37:17
