tweet,dates
Happy #MothersDay to my wife Erica and all the moms in #NY22! https://t.co/E4yCQ0CGGl,2020-05-10 16:48:03
"#NY22 Families: Check out this free, online Junior Ranger booklet about America's first transcontinental railroad, made possible by @NatlParkService, @GoParks, and @UnionPacific. 

#NationalTrainDay #FindYourPark https://t.co/aU8YBDf4Fh",2020-05-09 20:00:00
"Why did we have to rely on China for emergency medical supplies during this crisis? 

Our bipartisan Made in America Emergency Preparedness Act will help ensure this never happens again, and it has the endorsement of the @ProbSolveCaucus.  https://t.co/MPIdTKJVbp",2020-05-09 18:00:00
"During these stressful times, we must prioritize our mental health &amp; check in with our loved ones. We are physically apart, but nobody has to go through this crisis alone. If you need help, call @samhsagov's National Helpline at 1-800-662-HELP (4357). #MentalHealthAwarenessMonth https://t.co/KUL9AeufGA",2020-05-09 14:00:01
Giving a special #TeacherAppreciationWeek shout out to my wife – Erica is a biology professor at @MVCC_UticaRome. Thank you for all the great work you do for your students and our community! https://t.co/rqXSlXErwV,2020-05-08 21:48:58
"Our small businesses are the backbone of our local economy, &amp; many of them are struggling right now. During National #SmallBusinessWeek, say thank you to our small business men &amp; women. I’ll keep working to support them so they can stay afloat until we get through this crisis. https://t.co/yLLVNfrd2d",2020-05-08 19:27:45
"This is not the send-off our graduates imagined, but we are just as proud of their incredible accomplishments. 

To the Class of 2020, congratulations on a job well done. We can’t wait to see where you go next! https://t.co/xHH0Dl4KKh",2020-05-08 16:13:52
Good to hear from many of the non-profit organizations in Broome County this week. It’s important to me to hear directly from our community members so we know how we can help. I’ll keep working for more relief for our non-profits and small businesses. https://t.co/tLETucemo4,2020-05-08 14:02:39
"Proud to join @RepJohnKatko &amp; other NYers to support the Individuals with Disabilities Education Act (IDEA). As #NY22 schools work through the #COVID19 pandemic, Congress must get federal aid to our schools &amp; maintain educational opportunities for our most vulnerable students. https://t.co/0Xy5V5bXVi",2020-05-07 18:24:16
"Without aid from Washington for our state &amp; local govts, we're going to see higher local taxes, cuts in services, &amp; layoffs for our teachers, police officers, &amp; first responders. These jobs are critical for our economies. I’m urging congressional leaders to help us preserve them. https://t.co/st0AgQz7iE",2020-05-07 15:50:16
"Happy 13th birthday, Anthony Jr.! Your mom and I are so proud to be your parents and we can’t wait to see all the great things you accomplish this year. https://t.co/qHNLVRoeEY",2020-05-07 13:46:00
"We’ve received more than 200 thank you notes for #NY22 essential workers so far! Thanks to everyone who has helped us show our appreciation for frontline workers. 

We are still accepting thank you notes, cards, and drawings. Send yours in on our website. https://t.co/HgXXI5VaGA",2020-05-06 18:46:07
"Our nurses are on the front lines of this virus, saving lives, supporting families, &amp; staying w/ patients who are forced to fight #COVID19 alone. I'll never stop fighting to get you the resources you need. Thank you for your service. #NationalNursesDay #NursesWeek #ThankYouNurses https://t.co/WgDKBdDUmz",2020-05-06 13:50:23
"All #NY22 middle and high school students are eligible to enter the 2020 Congressional Art Competition! Get started here ⬇️ 
https://t.co/1MRYNargpA",2020-05-05 20:57:55
Our teachers are going above and beyond to care for our students and support our communities. Thank you to every teacher and education professional for the vital work you do. I’ll keep fighting for the resources and federal support you deserve. #TeacherAppreciationWeek https://t.co/mF46dRSNmJ,2020-05-05 16:25:52
"Americans do not turn our backs on each other in our time of need.

I’m leading a bipartisan group of elected officials in #NY22 to urge Speaker Pelosi &amp; Leader McConnell to include desperately needed state &amp; local aid in the next coronavirus relief bill. https://t.co/PobR0gX3VW",2020-05-05 13:58:53
"States declaring bankruptcy means less cops on the beat, less firefighters at the firehouse, &amp; less resources for our teachers. 

#COVID19 has already devastated our communities, Washington politics will make it worse. We need aid for state &amp; local govts. 
https://t.co/1K9M8hP3oR",2020-05-04 21:48:39
