tweet,dates
"Wishing a happy #MothersDay to my mother Lilly, Karmen and all the incredible mothers out there who guide us, push us and inspire us to keep going. 

In times of trial and moments of triumph - they are there. Take time today to thank the mothers in your life. https://t.co/FPAPEkKfa1",2020-05-10 15:41:43
"Marylanders need more than just assurances, they need action. 

I joined @ABC7News to discuss ways to address MD’s unemployment system, health disparities and what Congress must do to protect state budgets for education and first responders from harmful, shortsighted cuts. https://t.co/ahe1zWcx00",2020-05-08 20:35:00
"To confront a global pandemic, our allies and partners are more important than ever. This week FEMA received a shipment PPE from Turkey to aid our doctors and nurses in this fight. On behalf of Marylanders, they have our gratitude.

https://t.co/Jg7ZxqBgg9",2020-05-08 19:45:00
"This year, my office will be accepting applications and submissions for the Congressional Art Competition digitally. Interested students should submit by Tuesday, May 26th. For more information, visit my website.

Looking forward to celebrating your work.

https://t.co/8PymyfeO0S",2020-05-08 18:45:19
"Ahmaud Arbery was killed while on a run. It took a national outcry to get an arrest. But an arrest alone isn’t justice

My heart breaks for his family grieving the senseless murder of this young man. We need an immediate, thorough and transparent investigation #JusticeForAhmaud https://t.co/qgHgVc30Qh",2020-05-08 13:47:03
"Tonight at 7:00 join @FBCG Pastor @johnkjenkins, @LeaderHoyer and I for a discussion on how the coronavirus is impacting our communities and the help available for families in need.

Tune in at Tune in at https://t.co/JK1Ppzjrf7 https://t.co/3OqmK3R1jo",2020-05-07 21:00:00
"Looking forward to answering Prince George’s County residents’ questions during tonight’s TeleTownhall with @CEXAlsobrooks at 6:30 PM. You can tune in at CTV Channels 70 and 76 (Verizon Fios 41 and 42). Or watch live at https://t.co/MY3xLqeCse

Talk to you soon https://t.co/MNdn6NaIJp",2020-05-07 19:22:14
"Joining @ABC7News shortly to discuss the ongoing response to the coronavirus outbreak in Maryland - how we can defeat this virus and help families in need during this difficult time.

Watch.",2020-05-07 16:23:45
"Trump has no strategy to secure and distribute PPE. The result has been chaos.

I have a plan to bring order to this process, cut out the middlemen, stop the needless bidding wars and get medical supplies to where they are needed most. We must do better. https://t.co/jH8kecXrNZ",2020-05-06 23:00:00
"Nurses deserve our thanks every day. Their bravery, determination and compassion confronting #COVID19 has been exceptional

For the start of #NationalNursesWeek, I delivered @DCSweetPotato cakes to health care workers on the frontlines. A small show of thanks for all that they do https://t.co/fUUo4RiTOb",2020-05-06 21:00:00
"MDers can only file for unemployment on certain days. Phone lines are jammed. Too many families haven't received benefits after waiting for weeks. Let's ask them if things are fixed

Gov Hogan's words are no comfort to families who have no $$$ to pay for food, rent or other bills https://t.co/hKRKpiKJOM",2020-05-06 20:18:29
"Bills are due but too many MD families haven't been able to apply for unemployment, and even more haven't received their benefits. Without assistance, MDers are getting closer to financial disaster.
 
Governor Hogan is failing working families when they need help the most. https://t.co/jkoDcpWlgO",2020-05-06 15:59:21
"Educators have risen to the challenge posed by #COVID19 to ensure our kids keep learning. 

On #TeacherAppreciationDay, we not only thank the teachers in our communities who always put our kids first, but also work to support them now and in the future. https://t.co/g3PT3EhLjh",2020-05-05 17:20:00
"Today in 1961, the 13 original #FreedomRiders set out to stand up for equality and against injustice.

This crisis’ impact on communities of color has shown how far we still have left to go to address inequities in our country. We need to be bold and decisive in our actions. https://t.co/LEPHjbnXUd",2020-05-04 20:30:00
"A big congratulations to @baltimoresun for this well deserved win. The public benefits from tireless reporters like @lukebroadwater and his colleagues rooting out corruption at all levels of government.

The truth matters. Good governance matters. Local journalism matters. https://t.co/pTGzVgCjB5",2020-05-04 19:41:26
"Governors are doing what Trump refuses to do. We can't care for the sick or test our communities if states are competing against each other for key supplies.

The federal gov’t must act as the sole payer/distributor, now and for future public health crises. Lives depend on it. https://t.co/lXmcTje9PY",2020-05-04 17:52:48
"The census ensures communities get health care, education and other resources. 56% of our district has completed the survey. We can do better.

Take some time today to fill out the census at https://t.co/yNGNbIL0ab. It only takes a couple minutes, but makes a world of difference https://t.co/V9I9skAHIk",2020-05-01 19:49:28
"Thanks to Trump, it’s the Wild Wild West for testing supplies and PPE. States outbidding states. Hospitals against hospitals. Everyone loses.

Today, @SenWarren and I introduced legislation to nationalize the medical supply chain. Lives depend on us fixing this broken system. https://t.co/43usobS2pY",2020-05-01 19:08:25
"Despite all the fanfare - MD still hasn't expanded testing capacity and there are a lot of questions about these 500,000 ""tests""

MD needs to test 10K people every day. We're not even close. Governor Hogan needs a real strategy to guarantee every MDer that needs a test, gets one. https://t.co/M8e5uJxvvp",2020-04-30 19:32:44
"Joining @MiddayWYPR soon to discuss racial health disparities in the #COVID19 outbreak, how we got here and what we can do to address these alarming trends.

Tune in.",2020-04-30 16:02:16
"April is the Month of the Military Child - recognizing the sacrifices made by #MilKids as their parents keep us safe

With troops ordered to stay in place, schools closed and military spouses facing unemployment we must do more to keep these families afloat. https://t.co/ztwpbQCycv",2020-04-29 21:29:37
"Aggressive testing is the key to beating #COVID19 and safely getting this country back to work. To do that, Maryland needs federal help.

I led a letter with members of the Maryland delegation requesting President Trump to open federal labs to expand our state’s testing effort. https://t.co/bTPT4rSUqP",2020-04-28 21:41:01
"The Trump Administration has let states fend for themselves, now McConnell proposes to bankrupt them. Inaction is cruel, it's reckless and it would only deepen the economic toll on working families.

This funding is essential for Maryland and every community in this country. https://t.co/u3UdBVHgmm",2020-04-28 15:22:29
"Throughout the #COVID19 outbreak, I’ve worked to connect small businesses and nonprofits with aid and resources from @SBAgov.

We can't allow anyone to be left behind. We need to get money to the businesses that need it the most - to keep their doors open and people employed. https://t.co/eWzVEFeWQY",2020-04-27 22:30:00
"Black Americans are dying disproportionately from #COVID19 due to decades of racial inequalities including the lack of health care, social services, job opportunities, transit options and food security.

We can address this, but we need a comprehensive plan and action now. https://t.co/Q6SFWi893n",2020-04-27 20:52:25
