tweet,dates
Wishing all of our #OH16 moms a happy and safe Mother's Day today! Thank you for all you do. https://t.co/t2X5sJNgww,2020-05-10 17:14:32
"America's military relies on the love and support of our military spouses. Today on #MilitarySpouseAppreciationDay, I want to take the opportunity to thank all of #OH16's  military spouses for your commitment to supporting your service member and our nation. https://t.co/T6bXoKpFcE",2020-05-08 23:09:42
Proud to announce that my office will still be hosting the #CongressionalArtCompetition in #OH16 this year despite the ongoing pandemic. High school students can submit their artwork now - May 31 for a chance to win. Learn more about the competition here: https://t.co/sMk4KwLGFk,2020-05-08 22:04:57
Rebuilding America will be a long and bumpy road as we fight the dual threats of COVID-19 &amp; economic crisis. We need to reassess what we have learned to ensure public health while getting Americans back to work. My op-ed for @TheHillOpinion here: https://t.co/cmoHo7AbMT,2020-05-08 18:03:49
"Enjoyed sharing one of my kids' favorite books with @akronlibrary today for story time! Reading to children is one of the most important things we can do to encourage early learning, especially during this time when schools are closed. Thanks @akronlibrary for all you do! https://t.co/t2yyod0r5S",2020-05-08 14:56:58
Honored to be named to the House Republican China Task Force to combat the threat posed by the Chinese Communist Party. China is one of the biggest existential threats facing our nation today. We must hold them accountable: https://t.co/2JKYsemg8m,2020-05-07 22:12:51
"Today is #TeacherAppreciationDay, and I want to give a huge thank you to all of the teachers in #OH16 who have worked their hardest to find ways to keep our children engaged and learning while we are all at home. Your efforts are making a difference in our kids' lives every day! https://t.co/wkcyZcRmHS",2020-05-05 19:56:23
"The House of Representatives must return to Washington and continue the work of the people to combat this virus and ensure the security of our economy and our nation. Solid thinking on how to do this from @GOPLeader, @RodneyDavis &amp; @TomColeOK04 here: https://t.co/Zmz8H7vGwp",2020-05-05 16:58:43
Two C-130H Hercules aircraft from the 910th Airlift Wing will fly over medical facilities in #NortheastOhio tomorrow morning in a special tribute to all of our health care workers who are on the front lines of this pandemic. Learn more here: https://t.co/dX2obleGIs,2020-05-03 21:01:27
"Hard work being done on @realDonaldTrump's bipartisan task force to safely reopen the American economy and allow us to return to the restaurants, bars, community events, and sports that we all know and love. Much work to be done, but we are making progress every day. https://t.co/h7j3GdGvWI",2020-05-02 18:17:22
