tweet,dates
"Today and every day, we honor the mothers who guide us, inspire us and push us forward. Wishing a happy #MothersDay to all of the mothers in #NY19. https://t.co/KaGMKqbwKK",2020-05-10 14:54:56
"Responding to the 2020 Census is one of the most effective ways you can help our community get the critical resources and funding it needs to prepare for future crises.

There's still time to respond:

✉️By mail

📞By phone

💻Online at https://t.co/cZab5cAQq5",2020-05-09 21:17:23
"This #MentalHealthMonth, I’m lifting the work of our community to provide mental health support &amp; counseling. The Hudson Valley Center for Veteran Reintegration launched a Peer to Peer Hotline for the veterans community at 1-877-494-5199. More info: https://t.co/5Z4O086s8E",2020-05-09 16:56:57
#NY19 HIGH SCHOOL STUDENTS: The Congressional Art Competition is happening right now through June 1. Submit your artwork to NY19.Art@mail.house.gov for the chance to have your piece hang in the U.S. Capitol next year. Details: https://t.co/Dw5hPxpacg,2020-05-09 14:10:35
"I joined the @Ulster_Chamber to discuss how #NY19 small businesses are responding to #COVID19 &amp; what federal resources are available during this difficult time. On @HouseSmallBiz, I’m working to make sure our upstate NY biz have the tools they need to get through this pandemic. https://t.co/22498LWwxV",2020-05-08 22:07:07
#WWII in Europe ended 75 years ago today. I am forever grateful for our veterans who fought and defended our freedom abroad.  Your bravery and sacrifices will not be forgotten. #VEDay75,2020-05-08 21:11:21
The #NY19 Congressional Art Competition is happening now – read more about the competition rules and submit an image of your artwork by June 1. https://t.co/Dw5hPxpacg,2020-05-08 19:59:09
"Did you know that the #2020Census is available online? Fill out the form in under 10 minutes to #GetCounted and ensure #NY19 can access resources for hospitals 🏥, schools 📒, and infrastructure 🚅. https://t.co/Vfeib7f1Nq",2020-05-08 16:13:53
"Yesterday, I held my eighth telephone town hall to answer questions and connect with the #NY19 community about how we’re responding to the #COVID19 pandemic. Thank you to our panelists and everyone who dialed in with questions. Find the full audio here: https://t.co/A5fP9wpTe3",2020-05-08 13:57:07
Veterans sacrificed for our nation and it is our duty to ensure they have the tools needed to respond to the #COVID19 crisis. I met with my Veterans Advisory Committee this afternoon to discuss their experiences during this health emergency &amp; veteran-specific resources.,2020-05-08 01:22:10
