tweet,dates
"Talofa, today we welcome a $400,000 HHS/NHRS grant to expand virus testing. File photo with Health Dir Motusa Nua https://t.co/M3DNfmVdhw https://t.co/kQHHIcqElm",2020-05-08 23:04:20
"Talofa, good news today on SBA PPP loan access for American Samoa small businesses https://t.co/0YGX9SF4K3",2020-05-07 00:35:26
"Talofa, and thank you to HUD &amp; Sec Dr. Ben Carson for a CARES Act grant today, details here https://t.co/mVPJ9HFdn8",2020-05-07 00:33:49
Talofa! Did you know our press releases are also translated and posted in the Samoan language? Take a look! https://t.co/WoU72WuBjg,2020-05-07 00:31:53
"Talofa, some pandemic help on the way for student Veterans to keep going after their education dreams https://t.co/wVDrDHOnJG",2020-04-30 20:15:09
"Talofa, our Veterans forum this week adds to House history, the first such bipartisan remote forum in the House https://t.co/ulp3lSPXtA",2020-04-30 15:32:04
"Talofa, I appreciate this perspective from Assistant Secretary Douglas Domenech. Let’s continue standing together to help our people in this pandemic and it’s economic realities  https://t.co/BmJo4XLaUI",2020-04-29 02:03:43
"Talofa, here’s a progress report on stimulus checks for the territories, and I appreciate this briefing from the IRS https://t.co/MXdBaGU4hX",2020-04-23 23:13:08
"Talofa! Another CARES Act grant, this one over $2.2 million for our justice system and law enforcement, thank you to US Justice Dept https://t.co/IWrh941jDl",2020-04-23 23:09:15
Talofa and Happy Flag Day in American Samoa! It was 120 years ago today that our forefathers led our islands into the American family!,2020-04-17 19:06:12
Talofa! This Education Dept grant through the CARES Act will help our community college plus direct assistance for our students during the coronavirus interruptions. Thank you Secretary DeVos https://t.co/rc1s7oyuhQ,2020-04-14 21:26:03
"Talofa, we’re thankful for these hospital funds https://t.co/YgiBPqjyVn",2020-04-14 21:23:19
"Talofa, more much-needed COVID-19 aid for our islands, a $745k grant via HRSA. Thank you Administrator Thomas Engels &amp; HHS Secretary Alex Azar https://t.co/QdAAqQZqvy",2020-04-08 21:30:52
"Talofa, CDC &amp; Director Dr Robert Redfield is sending $740,000 to our health care system for COVID-19 response due to the CARES Act. Thank you every day to medical professionals everywhere https://t.co/Tz4n3753sY",2020-04-06 22:46:04
"Talofa, US Labor Secretary Scalia has announced an important step in getting unemployment relief to people in need. Here’s how it works for American Samoa https://t.co/or5SzcJ3r3",2020-04-06 21:39:27
"Right now, the worldwide effort against coronavirus is uppermost in all our minds, as it should be, but the Census is moving forward and still very important. Be counted for American Samoa! https://t.co/Z0DPUcCaVW",2020-04-02 12:55:46
"Talofa, the first federal funding in American Samoa from the new CARES Act, grants announced this week by HUD, thank you Secretary Dr Ben Carson https://t.co/uhmBe7nQLO https://t.co/z5UHE0WXhi",2020-04-02 12:52:52
"All of us noted Guam’s Governor Lou Leon Guerrero's gracious effort, truly the Pacific Way, to thank POTUS for his attention to the territories. Thank you for leading in expressing our gratitude.",2020-04-01 15:45:07
"We appreciate our doctors and all our health professionals. Thank you for your readiness, work, preparation and CARE! https://t.co/XZZCa9WAdX",2020-03-30 15:42:16
Talofa today I spoke on the House floor in support of the historic $2 trillion CARES Act with resources for American Samoa and important diagnostic testing https://t.co/tWNSa7k0ng,2020-03-27 19:22:00
"Talofa...we're all in this together! I will do my best to keep you informed. 
https://t.co/ZK0xu5oB5Z",2020-03-16 20:55:55
Talofa...blessed indeed that American Samoa has no cases at this time. President &amp; CDC advising to think of others and help by staying home during critical 15-day period. God bless! https://t.co/P52Wdvlj6H,2020-03-16 20:13:27
"No one is more deserving. American Samoans so enjoyed cheering him on all through an amazing career. Congratulations, Troy!",2020-02-02 01:11:17
"Congratulations to football great Troy Polamalu, elected to the pro football Hall of Fame in the NFL’s 100th year! He still has a heart for American Samoa and has made us proud on and off the field...",2020-02-02 01:09:46
"Thank you Vice President @Mike_Pence, a great event last night! https://t.co/j0YVSfuyyM",2020-01-28 20:41:21
"Talofa, We're happy to support another great group of excellent nominees to the service academies! https://t.co/ya2kUrG5Im",2020-01-22 20:43:40
"Talofa, great news nationally for our Veterans and economic opportunity https://t.co/7dD78eCSYg",2020-01-10 20:37:18
"Talofa, and a special thank you to each one of our law enforcement officers on this National Law Enforcement Appreciation Day! https://t.co/dFAR8LXPip",2020-01-09 19:43:57
Some great work in American Samoa! https://t.co/ciZQH6OqLL,2019-12-19 16:18:58
"We’re shocked and saddened by the tragic news out of New Zealand. Our hearts go out to the families of those missing. New Zealand is our neighbor and friend in the Pacific, and it a beautiful place full of wonderful people. Our prayers are with them today.",2019-12-09 18:52:08
"Talofa, On National Pearl Harbor Remembrance Day, thankful for all who served, the many acts of courage, and American Samoa's ties to this history, including Tali Coleman https://t.co/97zOQm0kAj https://t.co/qWCASSDQov",2019-12-07 19:07:56
Talofa! So happy to cosponsor a special effort to support Veterans' mental health with service dog training opportunity. Read up on the PAWS for Veterans Therapy Act! Thank you @RepSteveStivers https://t.co/vVqJkSk116,2019-11-21 21:20:51
"Talofa! This week, Congress passed government funds including added month of American Samoa's Medicaid 100% match rate in place because of Storm Gita. Working for long term policy https://t.co/WBH5pcpI7p",2019-11-21 21:15:07
"Talofa! Thank you to all our Veterans on this Veterans Day, and happy birthday this same weekend to our Marines  https://t.co/GTrLiAoTeW",2019-11-11 19:02:37
"I was saddened to hear early yesterday morning that Congressman Elijah Cummings had passed away. It was a privilege to know him, and I know he will be deeply missed. Congressman Cummings was dedicated to the causes of civil rights, equality and justice.
https://t.co/id3vsHWIQJ",2019-10-18 20:13:44
"Talofa. October is Domestic Violence Awareness Month, and we all have a role. We're welcoming over $1.25 million in 4 grants related to these efforts.
https://t.co/h5sgJfj2rO",2019-10-18 20:12:02
"Talofa! We're welcoming some Veterans' bills this week that passed the House and came through our Committee, including a couple I cosponsored. Each of these efforts specifically helps some of our nation's Veterans. https://t.co/UbJKDJIguQ",2019-10-18 20:09:24
Talofa! Good news for American Samoa. The Senate passed a funding CR that includes an extension of the Storm Gita Medicaid match assistance. Details here: https://t.co/8jHgRVv10n,2019-09-26 23:16:06
"Talofa! Palau, Marshall Islands, &amp; Federated States of Micronesia are great friends and important Pacific partnerships https://t.co/MFrdP2fkxx",2019-09-26 23:13:23
"Talofa! The Small Business Committee passed our bill that reauthorizes the Small Business Development Centers program for 4 years with other improvements. Appreciate our SBDC, Dir. Jason Betham &amp; team, pictured here with small business owner Nate Ilaoa https://t.co/bB8hlHP8JL",2019-09-25 21:19:07
"Talofa! Discussing issues today with our women Veterans, and the importance of addressing military sexual assault. Pictured here with Tammy Jones, National Vice President at Paralyzed Veterans of America. #WomenVetsTaskForce https://t.co/tTUA1bmj0b",2019-09-25 20:15:58
"Talofa! Happy birthday to the US Air Force, celebrating 72 years https://t.co/yLuEdijyjZ",2019-09-18 18:42:15
"Talofa, We will never forget September 11th, the precious lives lost, and the heroism of our firefighters, police and Flight 93
https://t.co/W1ziD86wkA https://t.co/6aTLvMfCqz",2019-09-11 20:15:10
Talofa! A bipartisan effort made a difference for some our friends from our Pacific allies https://t.co/vaYf7cj3Hi,2019-09-09 18:08:40
