tweet,dates
"As stated in the poem entitled ‘What Rules the World’ by William Ross Wallace, published in 1865…

“The hand that rocks the cradle is the hand that rules the world.” 

Loving and nurturing mothers are truly a gift of God. Happy Mother’s Day! https://t.co/NjU01TMItr",2020-05-10 11:30:20
Thank you military spouses! Our service member’s mission protecting our nation would be impossible without you. #MilitarySpouseAppreciationDay https://t.co/2lToyTN5qQ,2020-05-08 11:30:23
"Citizens recently lined the streets and came to the Braves stadium to pay their respects for Smyrna Officer Christopher Ewing, who died in April in the line of duty. May we all continue to pray for his family during these difficult times. 

https://t.co/i6hfKiCajS",2020-05-07 19:50:48
“Prayer is today as powerful a force in our Nation as it has ever been. We as a Nation should never forget this source of strength.” – President Ronald Reagan #NationalDayOfPrayer https://t.co/Bo1QZe2fm7,2020-05-07 15:42:56
A huge THANK YOU to all of the nurses who are working tirelessly on the frontlines each day! America appreciates you! #NursesAppreciationWeek https://t.co/wjdtSGbGyP,2020-05-06 18:01:18
"Thank you to all our great teachers, including parents who have doubled as teachers during these difficult times, for your role in shaping the minds of our kids - our future. #TeacherAppreciationDay #InItTogether #WeGotThis https://t.co/ItgoIywDrd",2020-05-05 11:30:25
Weekly Newsletter: https://t.co/7HJBRHc4WM https://t.co/S19Wa53xx0,2020-05-04 11:13:10
"Pleased to see @USTreasury, in response to our request, reach a deal with Visa, MetaBank, and Fiserv to help individuals in un/under banked households receive #EconomicImpactPayments using a prepaid card. 

https://t.co/wf5xp4vL3p https://t.co/s7Rra8gOhf",2020-05-01 14:59:45
The U.S. Air Force Thunderbirds and the U.S. Navy Blue Angels will do a joint flyover tomorrow over Georgia. The flyover is a salute to frontline COVID-19 workers. #USA #InItTogether https://t.co/i4blMKYgti,2020-05-01 13:31:13
.@US_FDA has put out this info on how we can protect ourselves and others as we start to get out and about more.  #GetAmericaBackToWork https://t.co/Ex9J5AkzDC,2020-04-30 11:12:59
"Regardless of when the medical community deems it okay for people to return to work, Dems will delay so they can say they were the ‘responsible’ party and listened to the medical community; but, in reality they ignored COVID-19, blasted @realDonaldTrump’s initial travel bans...",2020-04-28 18:37:22
"Our men and women in uniform routinely go above and beyond the call of duty for our country. Here’s just one example of what the Georgia National Guard has been doing to help out during COVID-19.
 
https://t.co/Zls1wFyVub",2020-04-28 11:23:34
Weekly Newsletter: https://t.co/sJdkQ0vBwH https://t.co/vWty8Eur2X,2020-04-27 11:18:40
#GetAmericaBackToWork https://t.co/poBKMM0HVz,2020-04-24 18:50:51
The popular #PayCheckProtectionProgram is one step closer to saving more businesses and jobs. All that remains now is @realDonaldTrump’s signature. #GetAmericaBackToWork https://t.co/pflVAsddQu,2020-04-23 22:32:21
"Thank you, @USTreasury for announcing that prepaid debit cards will be an option for Americans to receive their #EconomicImpactPayments even faster. When I wrote you earlier this month suggesting this, I knew this could help millions of Americans... https://t.co/2wyCv2Xnun",2020-04-22 16:49:43
Discussing @GovKemp’s decision to reopen Georgia for business on @FoxBusiness. #GetAmericaBackToWork https://t.co/pxQuc3Atc5,2020-04-22 15:59:35
"Breaking: “The IRS today issued a special alert...act by this Wednesday, April 22, if they didn't file a tax return in 2018 or 2019, and have dependents...to receive the full amount of their Economic Impact Payment.” Click below for more information. 

https://t.co/VGWllbfJNR",2020-04-21 18:01:55
"The Atlanta Committee for Progress has partnered with @partnersforhome and @mercyatlanta to help the homeless community - providing housing, meals, and clean clothing. You can help! To donate, please contact Johnathan Adelman at Jonathan@atlprogress.com",2020-04-21 11:39:40
Thank you @GovKemp. It’s time to #GetGeorgiaBackToWork https://t.co/bEnbETUpYg,2020-04-20 21:24:22
Weekly Newsletter: https://t.co/LNVFMN3KAa https://t.co/ePLUY38njb,2020-04-20 11:14:59
Some #GoodNews! Individuals and Businesses across Georgia have come together to fight COVID-19. #InItTogether https://t.co/3nmbdFOwH5,2020-04-18 11:30:14
"Congrats to the @AF_Academy Class of 2020! Ga-11 graduates Payton of Cartersville, Nicholas of Woodstock, and Juanita of Marietta received service academy nominations from my office in '16, and I could not be more proud. Click below to watch.

https://t.co/g3XUj8aXKu https://t.co/qAc7w8o22s",2020-04-17 18:00:31
".@WellstarHealth, a not-for-profit health care system in Georgia, is asking for your help during the COVID-19 pandemic. If you have things like PPE, food, or you’d like to make a financial contribution, please click on the link below. #InItTogether
https://t.co/WFHt0gu21a",2020-04-17 11:29:05
Democrats need to stop blocking additional funding for the #PayCheckProtectionProgram. Millions of jobs have been saved due to this program and it’s vital that we allocate more money so we can save more businesses and jobs. #GetAmericaBackToWork,2020-04-16 15:41:19
https://t.co/sJUQ7vyeKv,2020-04-16 11:23:11
"Reminder for Georgians: Federal and State tax return filing deadline has been extended to July 15, 2020.
https://t.co/AIX9bpdbfO",2020-04-15 11:26:10
"The @IRStaxpros has launched its portal for non-tax filers to submit their direct deposit information to receive the Economic Impact Payment. Click below for more information. 

https://t.co/OBUep5MKQa",2020-04-14 16:58:08
Weekly Newsletter: https://t.co/H0ejExiZDY https://t.co/p5zyWEghMZ,2020-04-13 11:24:18
https://t.co/mBbhJhFgcO,2020-04-12 11:30:16
Have a blessed Good Friday! https://t.co/UGb4A9cYdC,2020-04-10 16:00:31
".@smithsonian and the @librarycongress have put together some excellent resources to benefit our nation’s students. #InItTogether

Smithsonian Institution: https://t.co/HUVtXKfVo7 

Library of Congress: https://t.co/XWgfAgtqqI https://t.co/jgG0tn19lC",2020-04-09 21:30:02
https://t.co/JJMy0zONMR,2020-04-09 16:45:10
".@MUSTMinistries in Marietta is in need of food items for their Food Rapid Response Program. Their requests for food have almost tripled during the COVID-19 pandemic. If you can help, please click on the link below to get more info. #InItTogether.

https://t.co/AwYxUCqvBk",2020-04-09 11:30:20
https://t.co/IcddoZ1Ilq,2020-04-08 19:38:08
"Be sure to COMPLETE your 2020 Census today! It takes about 10 minutes, and only ONE is required per household. https://t.co/ji2G3f1yct",2020-04-07 11:30:21
