tweet,dates
"I recently joined @ABC13News to discuss the COVID-19 pandemic and the resources that are available to help individuals and small businesses. As our Nation gets back to work, we can ensure that the American people have the tools they need to triumph over this evolving crisis. https://t.co/Bc8Bm6kb7H",2020-05-10 16:04:49
"Our amazing mothers wear several hats - among them teacher, counselor, coach, and friend. To my wife, Elizabeth, and all the moms across the District, I wish you all a very Happy Mother’s Day. https://t.co/pWzT1xaAAq",2020-05-10 12:48:13
https://t.co/GkKMYe72Qj,2020-05-09 13:00:48
"Kudos to 8-year-old Noah Ryman of Woodstock and Shenandoah Memorial Hospital (SMH). Noah donated his piggy bank savings to the hospital with a note saying, “For the sick people that need it.” SMH personnel began matching the donation and raised $3,000. https://t.co/2UGh9eqSZc",2020-05-08 20:19:23
"Combating the rise in domestic violence during the pandemic has never been as important as it is right now. That’s why I teamed up with @RepLucyMcBath to introduce the POWER Act, which ensures that victims of abuse have continued access to resources during this ongoing crisis. https://t.co/GCO4lEgx2z",2020-05-08 16:43:48
"75 years ago, the United States declared victory in Europe over Nazi Germany and the region’s Axis Powers. Let’s never forget the lives lost and honor the heroes who fought to liberate the world from oppression. https://t.co/kvgeWFIiwT",2020-05-08 13:01:26
"If you have questions regarding your Emergency Relief Check authorized through the CARES Act, I encourage you to visit the IRS's FAQ page below. https://t.co/2IvVKZQXGl",2020-05-07 20:18:05
"Telemedicine is the future of health care in rural areas where needed services &amp; providers can be difficult to find. We must ensure this resource remains available moving forward, &amp; to do so Congress must work together to promote rural access to broadband. https://t.co/TsWEuNTTYg",2020-05-07 17:37:29
It was a pleasure to join the @BotetourtChambr on a video-call yesterday to participate in their Community Conversations series. I enjoyed hearing from small business owners and answering questions regarding the federal resources that are available to them in this difficult time. https://t.co/JIjJuNRtKk,2020-05-07 15:15:33
"On this National Day of Prayer, we lift up all those affected by COVID-19, whether physically, financially, or emotionally.
 
""Come to me, all you who are weary and burdened, and I will give you rest."" ~ Matthew 11:28 https://t.co/KgodmG0btH",2020-05-07 12:54:05
Our First Amendment guarantees Americans the right to exercise their religion free from government interference. I am pleased that the U.S. Justice Department agrees. We can encourage safe health practices while upholding our constitutional liberties. https://t.co/99v0J8Mcqr,2020-05-06 19:24:22
"Last week, I contacted @SBAgov urging the agency to streamline EIDL applications for agriculture businesses which were initially ineligible for this lifeline. I’m pleased to see that the SBA has opened a portal specifically for those in the Ag industry. https://t.co/gmZeuS0IW1",2020-05-06 17:17:20
"Today marks the beginning of Nurses Appreciation Week. The stories shared by nurses over the past two months highlight their unwavering commitment to their patients and exemplify the critical role they play in our health care system. Nurses, thank you for all you do. https://t.co/c3s5A2CzYe",2020-05-06 14:41:59
"This Military Appreciation Month, we honor the sacrifice and patriotism of those who wear our Nation’s uniform. Thank you to all of our servicemen and women who put country above self each and every day. We are truly the land of the free because of the brave. https://t.co/hTWl9kmV87",2020-05-05 21:09:57
"Yesterday, I urged Secretary Bernhardt to reopen @ShenandoahNPS. Adhering to social-distancing guidelines in an open-air space of this size would certainly be manageable, and reopening the park would go a long way in keeping folks both mentally and physically healthy. https://t.co/iy0W44dpMf",2020-05-05 19:13:01
"Recently, I introduced the POWER Act with @RepLucyMcBath. This bill temporarily suspends non-federal match requirements for domestic violence services grants, which will ensure victims continue to have the resources they need amidst this pandemic. https://t.co/eAGBap0LYP",2020-05-04 18:29:45
https://t.co/7JW9fv0RPC,2020-05-04 14:33:48
Supplemental Security Income and Department of Veterans Affairs beneficiaries with dependents must register their information with the IRS to receive an additional Emergency Relief Check. The submission deadline has been extended to May 5.  https://t.co/sVU1dqlc7u,2020-05-03 17:21:52
"May is Mental Health Awareness Month. As COVID-19 continues to put a strain on our daily lives, please know that there are resources available if you need help. @samhsagov’s emergency hotline is available 24/7 and can be reached at 1-800-662-HELP (4357). https://t.co/OkszzGc9XM",2020-05-02 17:59:09
"As a founding member of Staunton’s own The Statler Brothers, Harold Reid was both an icon in our area and throughout the country. His memory and music will never be forgotten, and this week I memorialized his life in the Congressional Record. https://t.co/XtpqCO3mDb",2020-05-02 14:11:07
"Today, I introduced the Use Your Endowment Act. This legislation ensures that colleges and universities with multibillion-dollar endowments can no longer take advantage of coronavirus relief funding at the expense of America’s small businesses &amp; taxpayers. https://t.co/fTAZ8WcaOm",2020-05-01 19:07:55
"The FCC has extended its Keep Americans Connected Pledge until June 30. 700 broadband companies have signed the pledge promising to waive late fees, not terminate services, &amp; open Wi-Fi hot spots. As Americans work from home, this initiative is vital. https://t.co/oRCjZBxVw8",2020-05-01 13:57:52
