tweet,dates
"Chairman Xi’s super-hot, totally-real Canadian girlfriend found the cure! https://t.co/0SpNn7Y2mt",2020-03-30 17:01:32
"This tweet is simply drunk partisanship. Gen. Soleimani has killed hundreds and hundreds of Americans, and was actively plotting more. This commander-in-chief — any C-in-C. — has an obligation to defend America by killing this bastard. https://t.co/eQmiCgegxS",2020-01-03 03:28:21
https://t.co/aJqYFuRXkK https://t.co/9hSwbbQ3YP,2019-10-15 23:59:31
.@KingJames — you’re parroting communist propaganda. China is running torture camps and you know it. #GoogleUyghurs https://t.co/BExRpi02EB,2019-10-15 03:00:43
"""Congratulations to the University of Nebraska on being the first school in the nation with home stadiums in both the Big Ten and the Pac-12.""-@SenSasse https://t.co/59R0kUbrEM",2019-09-07 20:23:08
"""Earmarks are a crummy way to govern and they have no business in Congress...This is an important fight and I’m glad that my Republican colleagues agreed with my rules change to make the earmark ban permanent."" https://t.co/BluMqZI83i",2019-05-23 16:48:42
"Today’s news that the Administration is dropping steel tariffs on Canada and Mexico is great for America, great for our allies, and certainly great for Nebraska’s agriculture industry.

https://t.co/vTChQzIrCi https://t.co/daHveDfLe0",2019-05-17 19:51:45
Statement from Senator Ben Sasse on the tragic death of Coby Mach. https://t.co/vtzdx9tplW,2019-04-13 04:16:54
"""Condemning infanticide should be a unanimous vote. It's a basic human rights issue.""

Full video here: https://t.co/IOh5KJpzpg https://t.co/xdob0EUVKx",2019-02-26 13:11:36
"""Despite opposition and setbacks, despite some strange rhetoric about this bill over the course of the last week, I am hopeful in the long term."" 

Full video here: https://t.co/yY4fUuiFRs https://t.co/zdlrcdAn0g",2019-02-26 00:35:49
"A lot of Senators spend a lot of time telling people how they fight for the little guy. Well, here’s the chance for them to prove it. 

We’re going to have a vote on the Born-Alive Abortion Survivors Protection Act on Monday, February 25.
https://t.co/GQkTavKOSo",2019-02-14 23:06:51
Op-Ed in @USATODAY: Don't Let Infanticide Be A Partisan Issue. https://t.co/puPAC9f8KK https://t.co/ARmeZTzZLu,2019-02-12 15:34:25
One foot in front of another – this kid’s got grit and heart. Noah is an inspiring athlete and a great Nebraskan. I’m honored he’s my guest at tonight’s #SOTU. Full video here: https://t.co/wUQcCt0fZQ https://t.co/y6DejV6Z77,2019-02-05 21:14:39
"In this country, all of us are created equal. If that equality means anything, surely it means that infanticide is wrong. Frankly, this shouldn’t be hard. https://t.co/9MyPVGpw7p",2019-02-05 00:55:14
"Thousands of Americans come to DC for the #MarchForLife. This should fill us with hope. Our cause is pro-woman, pro-baby, pro-science, and pro-human dignity. We’re pro-truth, and truth is winning. https://t.co/kl4EnFNf4m",2019-01-18 21:22:17
Statement on reports about withdrawal from Syria: https://t.co/F1Ebt9vFJm,2018-12-19 20:25:19
"President George H.W. Bush served the American people with honor, diligence, and integrity — from his Naval service to the Oval Office. His family knows well the sacrifices required of public service and they have the gratitude of our entire country.

https://t.co/yQx91EfuWy https://t.co/nZaLbXEPoB",2018-12-01 12:56:21
"Like always, Nebraska answered the call. This time it was to ensure that a Vietnam Vet wasn’t buried alone. Hundreds joined together to remember &amp; celebrate Stanley C. Stoltz, who along with thousands of Nebraskans, answered our country’s call to service. We are forever grateful. https://t.co/6iSODCdkbi",2018-11-28 00:57:16
"The greatest things in life are not on the battlefield, but the battlefield makes it possible for the greatest things in life to exist. The framework for ordered liberty happens because people like this and people like you all are willing to sacrifice.

Thanks for serving, 394th. https://t.co/t7YpTBoQVr",2018-11-11 01:46:31
Senator Sasse and Brett Kavanaugh: The Constitution Tilts Toward Liberty https://t.co/TU0iKfisLJ,2018-09-07 19:51:03
"We can and we should do better than this. It's predictable now that every confirmation hearing is going to be an overblown, politicized circus. And it's because we've accepted a bad new theory about how our three branches of government should work.

https://t.co/c9xPsb09bT",2018-09-04 20:54:27
"FINALLY, it is again a college football Saturday in Nebraska.

Scott Frost is back. Our swag is back. And, soon, a sea of red — 90,000 strong — will be too. #GBR https://t.co/62x23makuJ",2018-09-01 18:35:34
"To honor John McCain’s legacy, the Senate should do something that would make both parties uncomfortable. https://t.co/BA6q7Scqwm",2018-08-29 21:49:41
https://t.co/zioCmS6nx2,2018-08-26 01:09:32
"Sasse: Putin Leaves Helsinki With A Win

https://t.co/mG4XHalB2O",2018-07-17 01:14:41
"The U.S. intelligence community knows that the Russian government attacked the U.S. This is not a Republican or a Democrat view -- it is simply the reality. All patriotic Americans should understand that Putin is not America's friend, and he is not the President's buddy... https://t.co/GfgtDKKtSF",2018-07-13 17:26:13
"What protests at the Supreme Court - not the White House and not Congress - tell us about our break down in basic civics.

https://t.co/UI7bnt5M6h",2018-07-10 11:50:46
"Full statement on Brett Kavanaugh’s nomination to the Supreme Court.

https://t.co/eisDH7Grj4 https://t.co/ME0DStDdGx",2018-07-10 01:49:23
"Full statement on Kennedy retirement and upcoming Supreme Court confirmation debate: 

https://t.co/EsKJy5QWtv https://t.co/enJDf6BQ5a",2018-06-27 18:42:50
"Charles Krauthammer and @prattprattpratt on real strength. 

Read here: https://t.co/uWJRJrlqkk",2018-06-22 23:37:01
Charles Krauthammer’s thoughtful voice and powerful work to elevate discourse in America will be missed. https://t.co/q72B4UCSae,2018-06-22 01:20:26
"My thoughts on the child separation policy.

Read here: https://t.co/rZo4dFEszM",2018-06-18 13:32:11
Full statement on G-7 trade talks: https://t.co/g4aPiNVuYB,2018-06-09 21:13:06
"#OnThisDay more than 70 years ago, Allied troops stormed the shores of France during World War II. Today, we honor the 160,000 troops who fought their way onto the beaches and we tell the story of one Nebraskan whose work made it possible. #DDay https://t.co/izniPgV3ak",2018-06-06 12:17:00
"About those new tariffs: Europe, Canada &amp; Mexico aren't China. You don’t treat allies the same way you treat opponents. Blanket protectionism is a big part of why we had a Great Depression. ""Make America Great Again"" shouldn’t mean ""Make America 1929 Again.""",2018-05-31 15:30:07
"Today, we remember the story of a special Nebraskan monument to our fallen heroes. May this Sea of Red be a tribute to your courage &amp; service forever. Happy #MemorialDay, and Go Big Red. #gbr https://t.co/kUS4jI1DgT",2018-05-28 15:45:33
"Kim Jong Un is a murderous despot and habitual liar. The President made the right call to cancel this summit. If North Korea wants diplomacy, it should know that half-measures and spin about its nuclear program won’t cut it.",2018-05-24 14:47:39
"Barbara Bush lived an extraordinary life of devotion, love, and laughter. She was a blessing to the First Family and the nation. Melissa and I lift up the entire Bush family in our prayers during this time.",2018-04-18 01:03:14
It is good news that today the President directed Larry Kudlow and Ambassador Lighthizer to negotiate U.S. entry into TPP: https://t.co/sfzI3eyDOM https://t.co/B75Bsdsm3x,2018-04-12 16:47:29
"Thank you, @NDSS, for bringing the voices of Macy, Clay, and Alijah to Capitol Hill. These kids have a lot to teach us. #BWW2018 https://t.co/ls4RaU0gx5",2018-04-11 22:41:28
"Facebook is a really big and powerful platform. Their decisions on how to police speech will have far-reaching consequences. That’s why I asked Mark Zuckerberg in today's hearing to define “hate speech.”

It is a hard question and an important conversation. https://t.co/YbIXbeReq6",2018-04-11 00:18:00
"Dr. Martin Luther King, Jr. persevered, even unto death, in asserting the god-given rights of all Americans.

Read the full text of his final speech, here - it will give you chills: https://t.co/JdDshdEvrc
 
May we never lose sight of his message. #MLK50 https://t.co/46jQBD8h26",2018-04-04 16:12:00
"He single-handedly saved millions from starvation, but most people haven’t heard of him. Today we honor Norman Borlaug, the ag pioneer who was born #OnThisDay in 1914. https://t.co/Ak098MErhg",2018-03-25 11:33:00
"Lots of folks in politics &amp; the media are misconstruing trade. When we talk about trade, we should remember these six big ideas. https://t.co/0Q4HxqKzPt",2018-03-23 00:35:00
"Total dysfunction. DC is about to add 1.3 TRILLION $ to your debt like it’s no big deal - and meanwhile both of our crazy uncles are fistfighting in the backyard. Happy Thanksgiving, America. https://t.co/qFfqdtJKkE",2018-03-22 10:57:07
"Thinking of these four kids, and so many others, on World Down Syndrome Awareness Day: https://t.co/VGqsYrWivj

Dignity matters. Love matters. To Lucas, Kyle, James, Grant – and to us all. #WDSD18 https://t.co/aG6xiOAeVy",2018-03-21 16:37:28
Full text of the letter @SenJohnMcCain and I sent seeking a coordinated NATO response to Russia. https://t.co/K0DCtwM2ZP https://t.co/LOL7gkjQGX,2018-03-15 18:36:11
"Let’s get this straight: Equifax put millions of Americans at risk, got a no-bid contract from the feds, and at least one employee turned a personal profit from trading on the misfortune of the victims? 

Someone needs to answer for this. 

https://t.co/Rz3vsJF9Qa",2018-03-14 16:30:37
Here's how steel tariffs will actually kill steel jobs. https://t.co/NzKSGpc2Ek,2018-03-08 17:46:03
Op-ed with @NEFarmBureau: We need to drop the talk of unnecessary and painful trade wars and work to protect NAFTA. Nebraskans have won with NAFTA and scrapping the agreement would be a disastrously bad idea.​  https://t.co/dIdBlOTkjC,2018-03-08 16:17:09
"We’ve tried tariffs like these a bunch of times over the last two centuries. Every time, American families have suffered. This trade policy will be disastrous. https://t.co/x1KeV9d2y9",2018-03-02 03:12:00
"Trade is great for America. It's great for American families. Trade creates jobs &amp; lowers prices for American families. 

Trade wars do the opposite. No trade war has ever worked. We don't want to make America 1930 again. https://t.co/fK7oy7GcVz",2018-03-02 01:06:22
"#OnThisDay 151 years ago, Nebraska officially became a state. Today we celebrate the pioneers, caretakers of the land, statesmen, and volunteers who have made our state so great. https://t.co/LsjdesXjRa",2018-03-01 13:33:00
"#OnThisDay in 1980, we beat the USSR in a hockey match that is still one of sports history’s greatest upsets: the Miracle on Ice. https://t.co/ULRH4S5DtV",2018-02-22 14:19:03
"Sports don’t just build character; they reveal it. Kudos to Rachel Mulligan, whose cross country skiing earned medals in the 500m freestyle race &amp; 1km freestyle race in the @SpecialOlympics Winter World Games in Austria. Thanks for making Nebraska proud! @SONebraska #SOHillDay https://t.co/cyVdmnRyp2",2018-02-14 01:38:02
"Today we remember the ""Buffalo Soldiers"" who served at Nebraska’s Ft Robinson nearly 100 years before the Civil Rights Act. These volunteers suffered indignities from their colleagues, commanding officers, and even from the very citizens they worked to protect. #BlackHistoryMonth https://t.co/bS3s76rUw6",2018-02-11 01:07:03
Honored to have @NEStatePatrol’s John Lewis as my #SOTU guest tonight. This hero went above &amp; beyond to serve his neighbor after hurricanes ravaged the Florida Keys. America needs more neighbors like him. https://t.co/nYV9qHWHK7,2018-01-31 00:01:04
"Tomorrow, hundreds of thousands will travel to Washington, D.C. from across the country to #MarchForLife. The crowd will fill city blocks. But the real movement is even bigger. #WhyWeMarch https://t.co/wCkAMIWoHf",2018-01-18 19:38:01
The #NEBreakfast is back. Check out the 2018 dates and learn more about this 75-year-old tradition here: https://t.co/iZi9NNF1Uy https://t.co/2phIRUD12w,2018-01-14 01:26:02
"#OnThisDay in 1888, a blizzard tore through the Great Plains, killing about 300 people, many of them children. But the real story wasn’t the great power of the storm, it was the great stories of resilience and heroism - especially of the schoolteachers. https://t.co/4UXYjy2VQO",2018-01-12 14:14:11
This is national security 101: Washington should be hunting down terrorists who fund global violence with domestic drug money. https://t.co/XGUMbrWGIK,2018-01-11 16:02:59
It’s not helpful to call the press the enemy of the American people. Here’s why. #1a https://t.co/dhiVY5ndqZ,2017-12-31 23:24:03
What this terrifying statistic tells us: we are failing to teach the First Amendment to the next generation. https://t.co/TBHz8WIf6Q,2017-12-26 16:31:02
Merry Christmas! Today we remember a Christmas miracle that happened #OnThisDay in North Platte in 1941. https://t.co/AevghkcYms,2017-12-25 13:22:04
"The First Amendment is the beating heart of the American experiment, and you don’t get to separate the five freedoms that are in there. https://t.co/Y6OTkHOk2v",2017-12-23 15:08:02
"#OnThisDay in 1891, a group of boys at a YMCA played the first-ever game of basketball. But the story is bigger than the sport - it's about inventor James Naismith &amp; his heart for service. What he teaches us: https://t.co/axOqfvJ6if",2017-12-21 13:46:05
"#OnThisDay in 1777, Washington led his army into a winter encampment at Valley Forge. Why we should remember their bleak Christmas today: https://t.co/VdCRiaFgU4",2017-12-19 14:11:04
"CONFIRMED. The end of a long process in the Senate is just the beginning of a new chapter in Steve Grasz’s distinguished record of public service for Nebraska &amp; the nation. https://t.co/lyLino6A4G 

https://t.co/8grn7v4A7a",2017-12-12 22:27:07
https://t.co/U78lv7qK9f,2017-12-12 13:32:05
https://t.co/I45M15Yq4y,2017-12-07 17:05:06
"#OnThisDay in 1775, we had a plan to turn stolen British guns back on the redcoats &amp; break the Siege of Boston. The only problem? They were 300 miles away, at Fort Ticonderoga. Watch the incredible story: https://t.co/a1kwLVKeE6",2017-12-05 13:45:01
Today we give thanks that our country was based on the premise of religious liberty. Happy Thanksgiving. https://t.co/x3aEaFDWvR,2017-11-23 12:56:05
"#OnThisDay in 1863, President Lincoln spoke timeless truths on a Civil War battlefield to unite a tired &amp; divided nation around our founding beliefs. Why we need to re-read the Gettysburg Address today: https://t.co/XxfDB23X4d https://t.co/JYXzlVbknM",2017-11-19 19:08:27
“The Day of Two Noons” happened #OnThisDay in 1883 – and it’s an incredible lesson in how businesses can drive national innovation. https://t.co/kfLptWUYzq,2017-11-18 19:14:11
The ABA isn't a neutral vetter of judges but a liberal organization that has publicly &amp; consistently advocated for left-of-center positions. https://t.co/ZTMrJVEAjw,2017-11-16 23:57:06
One way our office can serve veterans: helping them receive the service medals they have earned. Colin’s story: https://t.co/o2JhIzEKsR https://t.co/izxHB1iib5,2017-11-12 23:55:36
"We owe our veterans an enduring debt of gratitude, today and every day. #VeteransDay https://t.co/UXfHtKc2ds",2017-11-11 14:46:20
Their stories help us understand the cost of freedom. Meet the #veterans of the NE Wounded Warriors Writing Workshop: https://t.co/neYi3A2c0a #VeteransDay https://t.co/kYDEDA8D2J,2017-11-10 15:55:37
"Whether it’s helping our neighbors after a natural disaster or defending American interests, Nebraskans know that we can depend on the men &amp; women of @NENationalGuard to be there for us in our times of need. Thank you for your service. https://t.co/Yx7dGfWLED",2017-11-08 22:38:58
"The ABA purports to be a neutral arbiter, but is frankly twisting its ratings process to drive a political agenda. Here's how: https://t.co/kyQgSNHOOT",2017-11-02 23:24:04
"#OnThisDay 53 years ago, Reagan gave his famous “A Time for Choosing” speech. It still has much to say to us today. https://t.co/4DaIpLUfUO",2017-10-27 14:17:22
"Now that we’ve got your attention with Dr Pepper, let’s not forget the real substance from today’s hearing. https://t.co/rvSmohvnnh",2017-10-18 19:57:23
"Nebraskans have no patience for improper treatment of our veterans, nor for attempts to cover it up. https://t.co/Zkt8ZjtqqC",2017-10-18 00:01:02
"We celebrate the fall of ISIS in Raqqa &amp; the liberation of the oppressed, but this is no time to let off of the gas. https://t.co/REBjJcXVWf https://t.co/5Xl7lAA5bF",2017-10-17 17:32:49
Russia is a clear adversary in cyberspace and we can’t afford these self-inflicted injuries. https://t.co/tKA0uQyeig https://t.co/82VCTw9vmu,2017-10-05 17:51:34
"So, post-hack, Equifax gets $$$ in a no-bid IRS contract &amp; potentially profits selling ID protection to hack victims? We deserve answers. https://t.co/IjIvyM4hIk",2017-10-04 23:11:02
"The Gilmores didn’t plan to adopt. But when the opportunity found them, they jumped in: https://t.co/pV5A80JWCP #AdoptionAngels https://t.co/0gPm1dbaNT",2017-09-30 00:30:05
We are an economic &amp; military superpower &amp; trade is an effective weapon. Full statement on new North Korea sanctions:https://t.co/mvrVXZv6MU https://t.co/DhRooapyu9,2017-09-21 18:04:24
ISIS has lost ground in #Syria but we need a strategy to make sure that we don’t let off the gas. https://t.co/VKXCkh2yk5 https://t.co/gU8OEKvfbS,2017-09-19 18:18:04
Encouraged this year’s #NDAA includes these modest steps toward a serious cyber doctrine &amp; an agile talent pipeline. https://t.co/6m10q5Qwfw,2017-09-18 23:36:24
"In our constitutional system, the government is limited &amp; the people's rights are limitless. Happy #ConstitutionDay! https://t.co/ElVrmuv9EL",2017-09-18 00:17:05
#NeverForget https://t.co/icW1AZTSRd,2017-09-11 16:30:50
We should fund emergency hurricane relief. We shouldn't spend other $ pretending it's emergency hurricane relief. https://t.co/N7D022fHct https://t.co/a3btdSfKwq,2017-09-07 15:48:02
The Pelosi-Schumer-Trump deal is bad.,2017-09-06 18:37:34
What makes Husker football great? The same things that make Nebraska great. #GameDay #GBR #Huskers https://t.co/NaqBKEtZrZ https://t.co/2CbLJy0x7e,2017-09-02 14:42:04
We need to have a “one cheer for politics” view of the world. Here’s what I mean by that: https://t.co/3m41YlisqR,2017-08-31 00:25:07
"Why the #MarchOnWashington, held #OnThisDay in 1963, remains one of the greatest triumphs of the First Amendment: https://t.co/Qf8UYFAGFt https://t.co/l5m6a2D64v",2017-08-28 15:06:59
#OnThisDay in 1814 the British torched DC—but 2 patriots saved vital American artifacts from destruction. The story: https://t.co/Ye2s2zdQMU https://t.co/JADt3fWdKP,2017-08-24 15:29:13
Eclipses are time capsules. Yesterday's #SolarEclipse2017 highlighted the incredible economic disruption &amp; innovation of the last century. https://t.co/FRdKk6s2Bu,2017-08-22 23:37:06
"As thousands gather @HomesteadNM &amp; across Nebraska to watch tomorrow’s historic eclipse, a quick reminder to keep those bright eyes safe: https://t.co/nRbvewBQNu",2017-08-20 23:09:05
"#OnThisDay in 1889, Americans raised $100,000 for the pedestal of the Statue of Liberty. Here's what that great story says about America: https://t.co/qsS29kpeEq",2017-08-11 14:07:28
"A word of humble advice to our President: if you’re thinking of making a recess appointment to push out the Atty General, forget about it. https://t.co/7P896qJJzX",2017-07-27 19:02:17
"We still have a long, long way to go – both in health policy and in honesty. Full statement: https://t.co/FwXE0lHgI3 https://t.co/Wyvt4GAySv",2017-07-26 20:23:31
Statement on August State Work Period Delay: https://t.co/cJnqhtxJTK https://t.co/oLxXQKjzWs,2017-07-11 18:25:53
Happy Independence Day to the most exceptional nation in the history of the world. https://t.co/vr9Reb8P2C,2017-07-04 12:07:04
Real fatherhood isn't anything like a greeting card. We all screw up. Here's to all the dads out there who show up &amp; try again. #FathersDay https://t.co/KtbcLJFzOy,2017-06-18 01:16:06
"#OnThisDay in 2014, twin tornadoes ripped thru Pilger NE. Today we mourn the victims &amp; remember the volunteers who helped the town rebuild. https://t.co/A2iWze2LOC",2017-06-16 16:07:03
We celebrate the flag because it represents the American creed. Why we're thinking of @prattprattpratt on #FlagDay: https://t.co/cbbhQAxjgc https://t.co/CpCSMQA7CV,2017-06-14 12:07:02
