tweet,dates
"Today and every day, we honor the mothers who guide us, inspire us and push us forward. A good mother is priceless. Take time today to honor the mothers in your life. https://t.co/Y5qmguAq3g",2020-05-10 12:00:00
"We need prayer and action. Let us pray for our country during this time of uncertainty and stress. 

He regards the prayer of the destitute and does not despise their prayer. Psalms 102:17 https://t.co/A8hTcyiQwt",2020-05-07 16:24:56
To be a Negro in this country and to be relatively conscious is to be in a rage almost all the time. —James Baldwin https://t.co/inHwZXjkOX,2020-05-06 23:02:27
The influence of a good teacher can never be erased. Share with me some of your favorite moments with a teacher. #TeacherAppreciationWeek https://t.co/YvwblZF5Do,2020-05-05 15:30:00
"As we honor the #FreedomRiders, we must recommit ourselves to their fight for justice and equality for all, especially as we face a global crisis. https://t.co/bDUtEFeB2m",2020-05-04 19:20:00
Read this important information for SSI and VA Recipients. https://t.co/fHS7SpbWCa,2020-05-04 18:25:26
#BreakTheStigma https://t.co/ShkqHCsgwn,2020-05-04 13:15:00
#BreakTheStigma https://t.co/BCEAtfANis,2020-05-04 12:00:01
"The latest $484 billion emergency relief package provides additional funding to small businesses, health care facilities, and expands COVID-19 testing. https://t.co/cwaFagMduE",2020-04-29 18:13:01
https://t.co/6PEoq1d0Fx,2020-04-27 15:24:32
"93 years ago today, one of the most influential female leaders in our world was born. Happy Birthday to Mrs. Coretta Scott King! 

""When God calls you to a great task, He provides you with the strength to accomplish what He has called you to do."" https://t.co/3IRmIAZ5cN",2020-04-27 13:49:41
My prayers are with my friend @RepMaxineWaters  and her family during this difficult time. https://t.co/nBA2h768m4,2020-04-24 00:04:15
MS-02 COVID-19 Cases https://t.co/HicfSHF336,2020-04-23 21:38:59
Please review this important information. https://t.co/7gGESEa4wL,2020-04-23 16:51:33
My office has been flooded with calls from frustrated constituents who have not been able to access the MDES phone number. There are serious discrepancies between what is being publicized and reality. Mississippi must make the improvements as soon as possible.,2020-04-23 01:35:39
"Today, I joined @RepBobbyRush in calling on @EPA to secure equal rights to clean air protections, because COVID-19 and climate change prove that #CleanAirMatters.",2020-04-22 18:50:18
Please be advised. https://t.co/Cleg4dQ9oG,2020-04-22 17:19:43
https://t.co/sBG02nw42K,2020-04-22 16:45:19
Blaming and holding the President accountable are 2 different things. https://t.co/103VQYnN3I,2020-04-22 16:05:03
"An old African proverb says, ""two men in a burning house must not stop to argue."" Let us continue to work together without blaming and bickering.",2020-04-22 15:49:48
https://t.co/wmVLPI9pXY,2020-04-20 14:21:43
Do you have any questions about unemployment? https://t.co/A3H3FPdiCb,2020-04-18 15:17:11
"Subscribe to my YouTube Channel:  
https://t.co/ad8dCkqxiK https://t.co/68HMIse2Ac",2020-04-18 13:50:00
".@HouseDemocrats are putting #FamiliesFirst, with the truth &amp; facts as our guide, as we pick up the pieces of the emergency response system that the Trump Administration dismantled. https://t.co/XKSpsyx4b2",2020-04-18 13:30:00
Proud to deliver the Weekly Democratic Address. https://t.co/ZP1Yi2Ij1d,2020-04-17 19:40:41
"-More disaster loans
-Support for rural and underserved communities
-Access to SBA programs for farmers
Any #COVID19 relief bill must include these fixes if we want to help small businesses weather this crisis. https://t.co/UYwnv2F78d",2020-04-15 15:25:12
I hope that everyone enjoys a blessed and joyful Easter! https://t.co/W9RlF7umNN,2020-04-12 15:18:23
Act Now to Slow the Spread of COVID-19 https://t.co/jy17rVxNc7,2020-04-10 17:43:07
https://t.co/dRzwmPdKMh,2020-04-10 16:08:51
Please stay safe and practice social distancing! #COVID19 https://t.co/YY35Fae5QP,2020-04-09 21:00:44
"I'm sending well wishes of good health to Blues Singer Bobby Rush. Get well soon, Bobby!  https://t.co/neKTlpFjSU via @clarionledger",2020-04-09 17:34:56
"The Congressional Black Caucus will host a telephone town hall today at noon with Black national leaders on the impact of the #coronavirus on Black people, accessing resources from the CARES Act, and the next steps in terms of legislation. Join us! https://t.co/HNzJshjf1p",2020-04-09 15:03:41
You've got to raise hell to get what you want. #UnmaskCOVID19 #NAACP #BET,2020-04-09 01:32:23
This is unacceptable. https://t.co/GN9b5ylh8S,2020-04-08 22:27:37
"In Mississippi, African-Americans make up 72% of deaths and 56% of the states’s COVID-19 cases. https://t.co/incoTDjG9e",2020-04-08 22:09:11
"Tonight at 7 P.M. CST/ 8 P.M. EST we will have a candid conversation on the health, mental and economic tolls with this crisis that has had on the African-American community. Don't miss it! 

RSVP: https://t.co/v5s8hbKv7p #COVID19 https://t.co/qGEwjtJZD1",2020-04-08 14:08:05
"Earl Graves, Sr. passed away yesterday at the age of 85. He founded the Black Enterprise Magazine in 1970 as a resource for business and investing advice for African-Americans. Mr. Graves educated, inspired and uplifted people. Today, my thoughts and prayers are with his family. https://t.co/8zEfD52OwD",2020-04-07 19:11:42
Let's send an insurmountable amount of gratitude to all healthcare workers and first responders around the world. We appreciate you! https://t.co/QTVBP1PVKB,2020-04-07 18:45:52
Unnecessary.  https://t.co/cBxAbmbHhP via @HuffPostPol,2020-04-06 18:39:19
Continue to practice social distancing. https://t.co/cl2SaQjjqT,2020-04-06 16:49:16
✊🏽 https://t.co/IRVuLKcRkk,2020-04-04 20:05:16
"On this day 52 years ago, the world lost a leader, pioneer and champion for justice https://t.co/lV32en8MB6",2020-04-04 15:53:26
"Social Security recipients who are not typically required to file a tax return do not need to take an action, and will receive their payment directly to their bank account. https://t.co/3uzPYBstc6",2020-04-02 18:46:09
Don’t bring coronavirus to your home. https://t.co/2zmT2Xkawv https://t.co/rxbNlZGhOv,2020-04-02 15:55:12
Reeves finalizing plans for statewide shelter-in-place order after grim plea from a top doctor https://t.co/RoQmMBA7LV via @MSTODAYnews,2020-04-01 18:10:26
"Today is Census Day. You can respond in one of three ways: 
• Online at https://t.co/yt5QLN3Jhn;
• By phone at 844-330-2020;
• Or by mail by returning the questionnaire in the envelope you may have received in your home mailbox from the 2020 Census. https://t.co/buYLG1XxZA",2020-04-01 16:05:02
Do you have questions about COVID-19 Stimulus Bill? Please refer to the COVID-19 Stimulus Report. https://t.co/FP4B3mU1cA,2020-03-31 20:43:51
"I honor one of my inspirations, Fannie Lou Hamer. I had the chance to work with her on voting drives and her campaign for Congress. She ran for the congressional district I am privileged to represent. Undoubtedly, there can be no celebration of WHM without including her. #WHM https://t.co/v7zi8tErJN",2020-03-31 19:36:21
Continue to stay safe! https://t.co/oC9KajVPzV,2020-03-31 17:05:56
"I was saddened to learn of the passing of Rev. Joseph Lowery. He was the ""Dean"" of the Civil Rights Movement. Lowery was a part of pivotal moments in the nation's history. He spent a lifetime in the struggle for freedom. My thoughts and prayers are with his family and friends. https://t.co/jQ6BzpoVtH",2020-03-28 16:43:21
"Happy Birthday, @SpeakerPelosi!",2020-03-27 02:04:38
Please be advised of your federal and state resources. https://t.co/pwxr9qyGA2,2020-03-26 16:31:48
https://t.co/jxCAlyeUTa,2020-03-23 20:41:01
