tweet,dates
"In this difficult moment, do not allow Trump and his friends to divide us up.

Let us stand with Asian Americans who are fighting racism and xenophobia—even as they care for the sick.

Now is the time to act with unprecedented compassion and solidarity. https://t.co/0u8iXOYOoH",2020-05-20 18:48:34
"If we can bail out large corporations, we can ensure everyone in this country has the income to support themselves and afford basic necessities during this crisis. One $1,200 check ain't enough.",2020-05-20 13:35:40
"The CEO of @kroger got paid $21.1 million a year as its workers struggle to get by on $26,000.

Kroger got a 30% boost in sales in March, but is ending $2-an-hour hazard pay.

Disgusting. It can damn well afford to pay grocery workers a dignified wage as they risk their lives. https://t.co/nTd0bYLMFy",2020-05-19 20:57:21
"Pompeo told Congress the Saudis were ""protecting"" civilians as they bombed Yemen.

Trump issued a fake ""emergency"" to keep selling bombs.

A Raytheon lobbyist became Secretary of Defense.

Thousands of Yemenis died, Raytheon profits went up.

Trump is now covering up this crime. https://t.co/2WMZgODk0O",2020-05-19 19:12:13
"It is a scandal that we have a president of the United States who does not understand the function of government.
 
We should have national policies to deal with this pandemic based on science—not theories retweeted by Trump. https://t.co/m2IQcfpvMx",2020-05-19 17:56:19
"We should ask ourselves, is health care a benefit that somehow we lose when we lose our jobs?

Or is it simply a human right that all of us deserve? https://t.co/M0xna6jNX5",2020-05-19 12:00:01
"Racist redlining denied wealth to generations of Black Americans.
 
Today, the fossil fuel industry dumps its pollution on communities of color.
 
This comment from Trump’s Energy Secretary is disgusting. https://t.co/3fGcp4874g",2020-05-18 20:47:55
"Since Day One, this president has thought he’s above the law, above criticism, and can get away with anything—including a fake ""emergency"" to sell bombs to Saudi Arabia.

It is becoming clear he fired an Inspector General for investigating such misconduct. https://t.co/WCzXYbdnT9",2020-05-18 18:19:32
I happen to believe we should go in the direction of a paycheck security process which says to every worker in America: you will continue to receive your paycheck and benefits during this crisis. https://t.co/vVEf7KOqOs,2020-05-18 14:03:46
"Why did Trump veto our bill to end the horrific U.S. role in Saudi Arabia's bombings of Yemeni children?

Because we have a president who puts Raytheon's profits ahead of human life.

It's time to rein in this corrupt White House and stop this war. https://t.co/r4fSsduqQJ",2020-05-17 19:00:00
