tweet,dates
"Wishing a Happy Mother’s Day to all mothers, grandmothers, stepmothers, godmothers, and mother figures in Minnesota’s Fourth District and everywhere! https://t.co/fCBufaj42M",2020-05-10 14:02:00
"Minnesota has a great response rate to the #2020Census so far, but some communities are harder to reach. Help spread the word – take the pledge to participate, and share with your friends, family, &amp; neighbors: https://t.co/0Y0Weu2KF7 https://t.co/6nsejktpOM",2020-05-09 23:55:00
"Funds from the #CARESAct weren’t distributed for six weeks, and in the meantime, the death toll &amp; jobless rates in Navajo Nation soared. These delays are unacceptable &amp; negligent of the federal government’s trust &amp; treaty obligations to tribal nations. https://t.co/TCcXIWBiEc",2020-05-09 19:24:00
"Solve a Civil War Mystery, quiz your geography skills, or learn about Apollo 11 – the @Smithsonian’s “Fun Stuff for Kids and Teens” makes these &amp; many other at-home games &amp; activities related to art, history, science, &amp; nature available online at https://t.co/kyauA70XNl",2020-05-09 14:43:00
Sending my thoughts &amp; wishes for healing to St. Paul School Board Chair Xiong &amp; her father this evening. https://t.co/KN3kvnbn3z,2020-05-09 01:56:31
"My constituent Bob Holmstrom flew secret night missions as part of the OSS, delivering supplies to resistance forces during World War II. I am honored to know this hero, who’s now the last remaining member of his flight crew. #PortraitsOfValor #VEDay75 https://t.co/Fd60KhS0NY https://t.co/OLs5ZislKe",2020-05-08 21:32:15
"This morning’s devastating unemployment report is a profound reminder that in the absence of leadership from the president, Republicans must join Democrats in charting a comprehensive path forward for our health &amp; our economy.

Read my full statement: https://t.co/jOLsAUu8fD",2020-05-08 15:26:08
"I commend @SenatorPappas &amp; Rep. @KaohlyVangHer for leading this effort to ban child marriage in MN to protect girls &amp; their futures. In Congress, I'm working to #EndChildMarriage around the globe, &amp; I’m proud that MN is advancing this here at home. https://t.co/iwsb54BisY",2020-05-07 20:21:00
I was glad to speak with members of the @BGAlliance yesterday about the need for federal investments in water infrastructure for communities across Minnesota. American-made products like steel are vital as we rebuild from this crisis and create green jobs and a stronger future.,2020-05-07 18:08:19
"The Choctaw people sent $170 ($5,000 today) to Ireland in 1847 amidst the potato famine that killed hundreds of thousands. Now, the Irish people are returning the favor – raising funds to help Native American tribes combat #COVID19. 
https://t.co/O9uwuyqvgr",2020-05-07 15:04:26
".@AFGENational members keep our country moving forward. This Public Service Recognition Week, I’m proud to stand with them. #PSRW #ProudToBeAFGE https://t.co/ZvhRIPTvAh",2020-05-07 14:10:00
"In the midst of a generational public health crisis, the Trump admin is still urging SCOTUS to strike down the ACA. Even as millions of Americans lose coverage, @realDonaldTrump would rather upend our health system just to score cheap political points. https://t.co/MxTwnS3jUQ",2020-05-06 22:34:00
"Native American communities are especially vulnerable to #COVID19, and the federal government has a responsibility to meet their needs. 
 
@AppropsDems Chairwoman @NitaLowey &amp; I outline urgent priorities for Indian Country in the next federal aid bill ⬇ https://t.co/ZJ2Ke8nWsn",2020-05-06 21:33:04
"Actions speak louder than words. This #NationalNursesDay, we need to do more than just thank our nurses – we need to make sure these amazing individuals have the resources they need to save lives and protect themselves in the workplace, especially during #COVID19. https://t.co/9eN7KI6ZSB",2020-05-06 19:33:00
"The administration’s plan to reopen national parks puts rangers &amp; other NPS workers at risk of serious illness. These decisions must be based on science &amp; expert analysis, not on Pres. Trump’s desire to benefit politically. 
https://t.co/52qjuZqBnH",2020-05-06 18:40:28
"Celebrate Asian/Pacific American Heritage Month with @geneluenyang, the first Asian American Ambassador for Young People’s Literature at the @LibraryCongress! Learn more about his campaign “Reading Without Walls” here: https://t.co/2A8vYu03ov #APAHM",2020-05-06 15:34:00
"Tomorrow, the @mnnationalguard will conduct flyovers throughout MN to recognize &amp; thank frontline &amp; essential workers. The flyovers will also help crewmembers maintain flight proficiencies. 
 
In MN-04, the flight path includes St. Paul, Stillwater, White Bear Lake, &amp; Woodbury.⬇ https://t.co/1EdztqekT9",2020-05-05 22:07:00
It is critical that emergency #COVID19 aid reaches the most qualified global health organizations &amp; agencies so they have resources to save lives – but restrictions from the Trump admin’s #GlobalGagRule are making that impossible. We implore Sec. Pompeo to take immediate action. https://t.co/OloWaL7BXR,2020-05-05 19:29:39
I’ve signed on to a House resolution to raise awareness &amp; stand with Native American women &amp; girls in response to the alarming rates of violence they face. We must end the #SilentCrisis of missing &amp; murdered indigenous women. #MMIW https://t.co/6ENNjJ6SjY,2020-05-05 18:44:34
"It’s #TeacherAppreciationWeek! Teachers deserve our thanks &amp; support every day – and even more so right now, when so many are stepping up in the face of unprecedented challenges to continue educating students even while adapting to this new reality themselves. #SendTeachersLove https://t.co/jGsDSbsldK",2020-05-05 14:44:00
Interior-Environment @AppropsDems saved @EPA’s Environmental Justice program from the Trump admin’s attempt to cut it – and now some of this critical funding will be distributed to underserved communities to help them fight #COVID19. https://t.co/rz8wL9e9co,2020-05-05 13:52:00
