tweet,dates
"The Strategic Petroleum Reserve is a critical national security asset. Leasing empty space allows producers a place to store excess production and ensure that the United States always has a ready supply of oil.

https://t.co/fA4CBqNVHe",2020-05-10 17:30:00
"""My soul yearns and pines for the courts of the Lord.
My heart and flesh cry out for the living God.”

– Psalm 84:3",2020-05-10 14:00:00
"We’ve got to pay our fire, police &amp; sanitation workers. If they can’t be funded, our #smallbiz won’t be protected when they reopen &amp; will be impossible to remain afloat. That’s why @SenatorMenendez and I’s SMART Fund is absolutely necessary.

https://t.co/86twbCpOVY",2020-05-09 20:00:00
"The IF, AND, THEN, BUT analysis encourages consideration of both the positive and negative consequences of actions – both intended and unintended – not only on ourselves, but others.

My column: https://t.co/xjIqmYwbqq",2020-05-09 17:30:00
"Such an incredible and thoughtful act of service by the Who Dat Nation Facebook group to donate 250 lunches to the hard-working staff at St. Tammany Parish Hospital. Geaux Saints!

https://t.co/8JBUObJu8i",2020-05-09 14:00:01
"LA House Speaker @SchexnayderClay &amp; Economic Recovery Task Force endorsed my bill to help our state, municipalities. LA could lose 40+% of its tax revenue. We're want to ensure our state recovers &amp; continues to provide essential services. Read resolution: https://t.co/CeTdk3k1Ln",2020-05-08 19:28:28
"Imagine we put all this money into keeping a restaurant open, but we don’t have sanitation workers and garbage builds up in front of the restaurant and rats are running around the garbage, no one is going to eat at that restaurant.

https://t.co/LKqiEPckB6",2020-05-08 18:47:55
"Today we celebrate the 75th anniversary of V-E Day — a day when the Allied Powers claimed victory over tyranny and brought an end to WWII in Europe. 

We remember the courageous men and women who fought to defend our liberties and ensure our freedom for generations to come. https://t.co/Q7ABDubRJm",2020-05-08 17:20:13
"Louisiana will lose 42% of its tax revenue because of coronavirus. This will result in mass layoffs of police, fire, sanitation workers &amp; teachers without support from the federal govt. We need these services if we are to fully reopen the economy.

Story: https://t.co/fsk5fsqxBh https://t.co/HlvhwarG28",2020-05-08 16:17:52
"Louisiana health care workers have been handling one of the worst coronavirus outbreaks in the country. Congress passed the CARES Act to provide them with resources to help them handle the epidemic. I thank them all for risking their health to save lives.

https://t.co/NnGAenFZ6w",2020-05-08 15:09:05
"The COVID-19 pandemic has devastated many parts of Louisiana’s economy, including fisheries. This is funding that will help our fisheries address their losses and make it through these challenging times. More needs to be done, but this is a great start.

https://t.co/HY2UDjBUDW",2020-05-07 21:54:12
"May is National Military Appreciation Month. We salute all of the men and women who wake up each day to serve and protect the red, white and blue – especially for all of those who have made the ultimate sacrifice. Thank you. https://t.co/fjWQVsyDjf",2020-05-07 19:14:43
"I’ll be participating in a virtual town hall with Nexstar Louisiana tonight at 7 p.m. CT. Be sure to tune in, and we’ll be happy to answer any of your #COVIDー19 questions. https://t.co/lYsT9SPte6",2020-05-07 18:23:54
"I had the opportunity today to receive an update from our nation’s public health officials on the status of ongoing research into antibody testing for #COVIDー19 at our @GOPHELP hearing. 

My full questioning below 👇 https://t.co/wo3lkNSbhI",2020-05-07 16:25:24
