tweet,dates
The House #Coronavirus Select Committee has launched a new website so you can stay on top of the work we do in the coming weeks and months ⬇️ https://t.co/94C3aAQHP9,2020-05-08 22:41:05
Today's sobering jobs report highlights the scale of the economic challenge our nation faces. We must continue to take bold actions to help Americans who've lost their jobs and are struggling to make ends meet. #FamiliesFirst https://t.co/isP7ThcGYd,2020-05-08 14:53:20
I'm proud to join @RepCheri &amp; the #IL Congressional Delegation in requesting @DeptofDefense extend our National Guard COVID-19 response efforts. The National Guard has been instrumental in combating COVID-19 &amp; we cannot lose their support now https://t.co/qGSpfN9Pvd,2020-05-07 19:59:16
"Attorney General Barr is using the Justice Department as @realDonaldTrump's personal political tool.

It's a disgusting abuse of the rule of law. https://t.co/ykbll7ts25",2020-05-07 19:38:48
I am proud to join this letter to defend access to essential reproductive healthcare. https://t.co/9KZOqnTQvf,2020-05-07 15:59:06
"There it is: they want to “terminate” health care coverage...even in the midst of a deadly pandemic.

It’s been their goal along, but we’ll continue to fight them tooth and nail to #ProtectOurCare. https://t.co/ZkLnA2TFxy",2020-05-06 21:32:17
"Trump may have abandoned his responsibility to lead in the midst of this pandemic, but our local governments are on the front lines. Why won’t @senatemajldr put #FamiliesFirst and let Congress make sure communities nationwide have the resources they need to keep up the fight?",2020-05-06 19:15:21
"In times of crisis, true heroes rise to help those in need.
 
Happy #NationalNursesWeek to the dedicated Americans protecting our communities.
 
Thank you. 🏥",2020-05-06 18:19:10
We are LIVE now! Join us: https://t.co/36gjbYytHj https://t.co/bF1r0vZTf5,2020-05-05 23:06:00
Proud to join this letter with 114 of my colleagues calling for an immediate humanitarian exemption to Trump’s misguided Global Gag Rule &amp; defunding of @UNFPA. https://t.co/b2x9q7eJCr,2020-05-05 20:55:04
Reminder: Join @aarpillinois and me for a telephone townhall tonight at 6PM CT. #COVID19 https://t.co/bF1r0vZTf5,2020-05-05 17:30:44
"I am looking forward to working with my colleagues on the coronavirus select committee to prevent waste, fraud, and abuse of COVID-19 relief funds.

https://t.co/W6XSfmnI2b",2020-05-05 14:57:40
Thank you to all the teachers who are doing incredible work under extraordinary circumstances. #TeacherAppreciationWeek https://t.co/ZssZGpeOuT,2020-05-05 14:30:41
"Join my teletownhall with @aarpillinois tomorrow evening at 6PM CT where we’ll discuss the latest about the #COVID19 crisis.

It will stream live on my Facebook page ➡️ https://t.co/0VAlf8CMnr https://t.co/WgLX1NW4FX",2020-05-05 01:02:40
"Reminder: This month, face masks are required when out in public in Illinois...breathing like Darth Vader is optional.

#MayThe4thBeWithYou https://t.co/bkhDD573B2",2020-05-04 14:06:02
"All due respect @GOPLeader, but a pandemic is an outbreak of a dangerous disease affecting a high proportion of the population - like the current one we're facing that has already killed more Americans than the Vietnam War.

Comparing it to litigation is offensive. https://t.co/JbN9v5KZX3",2020-05-02 23:05:10
"Don’t forget to tune into tomorrow’s Science Saturday discussion on COVID-19. Stream on Facebook Live at 1 PM.
https://t.co/UCM8R9on0e https://t.co/53YVrYwE2R",2020-05-01 18:23:04
"There’s still time to complete the 2020 Census and #ShapeYourFuture! 

You can respond to the #2020Census at https://t.co/U2IwyoK8IJ, by phone, or by mail to help our community access resources

Census data is protected by law and CANNOT be shared with law enforcement. https://t.co/rp53efrktU",2020-05-01 18:04:54
"Today is #MayDay2020, and it's a great chance to say thank you to all of the essential workers - health care workers, first responders, grocery store workers, truck drivers, and many others - who are keeping our district and our country running.",2020-05-01 17:21:31
