tweet,dates
"My dear mother, Lucy, passed away in Jan of 2018. This is the last photo I have of us. I miss her terribly, and I wish she were here today so I could tell her how much I appreciate all she sacrificed for me. And, to all mothers out there, #HappyMothersDay -thanks for all you do. https://t.co/1j7YnJ7kR9",2020-05-10 13:51:50
Poor attempt at a humorous “apology” after getting caught spreading fake news. https://t.co/Q0LWDm9gTm,2020-05-08 22:23:38
Spoke with members of the Canfield Rotary Club earlier today. Was scheduled to speak in-person for their Civics Day this week which was scheduled long ago. https://t.co/manGGTS4t7,2020-05-08 16:59:55
On with @FrantzRadio this morning just after 930. @1420TheAnswer,2020-05-08 12:54:50
"What’s outrageous, @RepJerryNadler , is that he was even prosecuted in the first place. Storm clouds are brewing for those who pushed the Russian Collusion delusion. https://t.co/pFBVsbrzHM",2020-05-07 22:03:31
"The #NationalDayOfPrayer is an important reminder of the critical role that faith has played in our nation’s history. Meeting in-person to pray is not possible for many right now, but that doesn’t lessen the importance of prayer. Please join me in praying for our nation.",2020-05-07 14:56:10
"Nurses have been working day in and day out to combat this coronavirus and save lives. They are true heroes, thank you for all that you do today and every day! https://t.co/u0gqIblnED",2020-05-07 00:33:57
"Thank you @EPA for awarding a significant federal investment to the Lawrence Economic Development Corp. to begin cleaning up/transforming an important tract of land along the Ohio River w/ a Brownfields Assessment Coalition Grant. 

A win for the Ironton/Coal Gove communities.",2020-05-06 13:24:14
"Today is #NationalTeachersDay. Teachers play a critical role in our communities, and their work to improve their students’ lives - both educationally and emotionally - is commendable. Make sure to thank the teachers and other educators that serve your children and our community.",2020-05-06 02:30:47
Held a tele-townhall with members of the Youngstown Warren Regional Chamber this afternoon. @ywchamber https://t.co/bUH50y0Kjn,2020-05-05 20:18:11
"The House should be back in session, but @SpeakerPelosi has decided to keep it closed until further notice. There are important things that need to get done and we can do them safely with the plan the @GOPLeader has released. Let's get back to work NOW! 
https://t.co/KoOzheOGSI",2020-05-04 22:29:34
"Firefighters are constantly putting their lives on the line to keep our communities safe. Thank you for all you do, your work does not go unnoticed! https://t.co/WiYB0BEImh",2020-05-04 17:52:15
"The 910th Airlift Wing out of Youngstown is saluting healthcare workers by doing a flyover this morning. Check out the article below for more information on when and where you can see them! 

https://t.co/NMVaXPbI4S",2020-05-04 14:06:06
"But to you who are listening I say: Love your enemies, do good to those who hate you, bless those who curse you, pray for those who mistreat you.

Luke 6:27-28",2020-05-03 14:11:45
Glad to see that funds for Ohio’s rural healthcare providers are being distributed from the CARES Act. These funds are going to bring some much-needed relief for Eastern and Southeastern Ohio. https://t.co/rwOvlZsEiX,2020-05-01 22:12:03
"If this can happen to the incoming National Security Advisor, what can they do to the rest of us?  

Corruption like this has no place in the United States, and it cannot go unanswered – or unpunished.

https://t.co/NJNUzvXLfK",2020-04-30 16:34:55
"East Liverpool revitalization is subject of new PBS Western Reserve documentary @PBS_WR - premieres tomorrow evening, narrated by @regis Regis Philbin: https://t.co/IHdK6ED4Nk @TheBizJournal",2020-04-30 14:58:24
Tune in to our bipartisan talk on seniors and the #coronavirus. https://t.co/MqgwOLzTsD,2020-04-29 17:14:19
"House Democrats have decided not to call the House back into session next week.

If we are going to ask truck drivers, grocery store employees, gas station attendants, doctors &amp; nurses, and other folks to show up to their jobs, the House needs to get back to work too.",2020-04-28 18:28:08
"Thank you @Xfinity for extending your pledge to waive late fees, provide unlimited data and open access to hot spots, and free internet for many in Ohio. For more information visit: 
https://t.co/RTLjVfMeRL",2020-04-28 18:10:36
"🚨IMPORTANT UPDATE 🚨

Now that the #PaycheckProtectionProgram has the funding it needs, the @SBAgov is now processing loan applications for this program.

More info below⬇️⬇️

https://t.co/C6Q7XuInAN",2020-04-27 16:09:12
"I know what it is to be in need, and I know what it is to have plenty. I have learned the secret of being content in any and every situation, whether well fed or hungry, whether living in plenty or in want. I can do all this through [Christ] who gives me strength.

Phil. 4:12-13",2020-04-26 15:29:32
"In and around Scioto County, 10 “Blessing Boxes” were built and filled with food, hygiene necessities, and other items that folks may need. It's so heartwarming to see the churches and members of the community provide aid during these unusual times. 
https://t.co/b2Th603RSc",2020-04-25 23:20:21
On the Dan Rivers show on @570wkbn just after 930.,2020-04-24 13:25:11
Congrats to Athens’ Joe Burrow for being selected #1 in the @NFL Draft by the @Bengals. Looking forward to some great AFC North battles this fall. It’s not everyday someone from your area gets picked first overall.,2020-04-24 00:58:57
"I'm in Washington to vote to support America’s small businesses by funding the #PaycheckProtectionProgram and also to increase aid for rural hospitals that are being hit hard right now. 

We should have gotten this done days ago, but I'm glad we are going to provide relief today. https://t.co/1JHnnX3oJs",2020-04-23 19:02:31
"I’m headed back to Washington to finally vote to replenish the #PPP program. It’s been out of money for too long because Democrats chose to block funding for this program to push their political agendas. 

Americans need help now, and we must deliver for them.",2020-04-22 17:29:45
Calling into @TomRoten show just after 8am @800_WVHU,2020-04-22 11:54:24
"Today the @ProbSolveCaucus released its “Back to Work” Checklist, a set of guiding principles that can be incorporated into the plans to reopen America’s economy after the global #coronavirus crisis subsides. Read about it below⬇️⬇️ https://t.co/UzOyoyIczj",2020-04-20 21:13:35
"""Protecting U.S. Energy Industry, American Workers""
My op-ed in the Wheeling Intelligencer @IntelligencerWV 

https://t.co/fLBEEhhjFw",2020-04-19 18:12:35
"The Lord is my shepherd; I shall not want. He maketh me to lie down in green pastures: he leadeth me beside the still waters. He restoreth my soul: he leadeth me in the paths of righteousness for his name's sake. 

Psalms 23:1-3",2020-04-19 14:09:45
"The Muskingum County Sheriff’s Office went above and beyond this week. Officers partnered with 13 local nursing homes and safely brought care packages to residents. Inspiring stories like this during this difficult time proves that we are #InThisTogether 
https://t.co/GuIMRv5LwU",2020-04-18 15:29:47
"This plan laid out by @realDonaldTrump and White House Task Force to start the re-opening of America looks very sensible to me. It’s a balancing act, but we’ve got to be looking forward to the next phase – and it doing on a state by state, region by region basis is wise. https://t.co/pQHBEdWA7A",2020-04-17 19:19:53
Held a call with local mayors and city managers/administrators yesterday afternoon to discuss the federal response to the coronavirus and to answer some of their questions. https://t.co/9vhaXc424g,2020-04-16 15:34:09
This could have all been avoided if @SenSchumer and @SpeakerPelosi prioritized American small businesses and families over their own political agendas. https://t.co/FOeCg2BNVi,2020-04-16 14:56:48
"With the growth of the #coronavirus, there has been an increase in phone scams. If you have received a suspicious message, you can find information on the legitimacy of the message and details on reporting illegal activity from the @FCC below:
 
https://t.co/3IUbywX66U",2020-04-15 17:23:28
"The @WHO was wrong about #Covid_19 from the beginning. They bought China’s blatant lies. This cost the world precious time and many people their lives. It’s important that we hold this organization accountable, and freezing their funding, for now, is an appropriate step.",2020-04-15 13:41:27
They are taking “don’t let a crisis go to waste” to new levels. Stop holding out for tax$ for unrelated pet projects. Help our small businesses and workers and replenish the Paycheck Protection Program! https://t.co/gdBjpTPF7t,2020-04-14 15:26:30
"The @FCC is now accepting applications for the $200M COVID-19 Telehealth Program included in the #CARESAct to help health care providers provide connected care services to patients at their homes or mobile locations. The portal for applications is open: 
https://t.co/Gv4B5tmfIv",2020-04-13 17:07:58
God bless you and your family - LeeAnn and I wish you all a very Happy Easter.,2020-04-12 13:01:56
"I'm glad that the National Day of Prayer in Salem is still going to take place this year, even if that means it’ll look a little different. These are unusual times, but faith communities should still be able to find ways to safely come together in prayer.
https://t.co/6a6y64SBpV",2020-04-12 00:04:37
"Priorities of @SenFeinstein - YES on coronavirus funds for Iran. NO, along with her Democratic Senate colleagues, on replenishing the Paycheck Protection Program w/ additional funds for American small businesses and employees. https://t.co/xn0APIiiTx",2020-04-11 02:44:17
"Along w/ many of my Rep+Dem colleagues I am strongly urging @HHSGov to prioritize rural hospitals disproportionally affected by COVID-19 through #CARESAct funding that reimburses eligible health care providers for HC related expenses/lost revenues

Letter: https://t.co/YflmHduMIl",2020-04-10 17:21:16
Yesterday I hosted a district-wide telephone town hall focused on the coronavirus and our collective response. I’m glad I had the opportunity to answer questions and provide some clarity during these tough times. https://t.co/jab8Jy3YY7,2020-04-09 21:36:04
"With billions of dollars being distributed to businesses through the #PaycheckProtectionProgram,  this program needs more funds NOW. 

But instead of solving the problem, Dems are taking their “don’t let a crisis go to waste” mantra to a new level. 

https://t.co/KCRyyuRdAj",2020-04-09 16:48:59
"After being told that only an act of Congress could stop new prisoners from coming to #Elkton federal prison, I spoke directly to the regional dir. of the Bureau of Prisons. As a result, effective yesterday, there is indefinite suspension on new inmates being transferred there",2020-04-08 19:07:28
"Today marks the beginning of #Passover. Even though this holiday will look different this year, I hope the families in the Jewish community have a safe and memorable holiday. https://t.co/eRhxu5PLXw",2020-04-08 17:46:47
"List of additional Ohio #CARESAct Supplemental Funding Awards, includes locations in E/SE OH: https://t.co/Bxqs3sHtK2",2020-04-08 15:22:33
On @570wkbn at the top of the hour on the Dan Rivers Show. Listen live on  @iHeartRadio app or at https://t.co/H6UaLUDdFT,2020-04-08 13:55:32
"With the #COVID19 outbreak at the Federal Correction Institution in Elkton, I’m working w/ the Federal Bureau of Prisons, @GovMikeDeWine, prison leadership, county officials, and the @OHNationalGuard to keep everyone safe. Read more about it below⬇️⬇️
https://t.co/E9ERm6rKdz",2020-04-07 15:55:47
"The coronavirus crisis has starkly illustrated the lack of high-speed broadband in sections of E/SE Ohio. “The Serving Rural America Act, if enacted, would greatly help the hard-working people I represent. Proud to introduce w/ @RobWittman of VA. Link: https://t.co/Yj29URhQQF",2020-04-06 18:25:03
"Create in me a pure heart, O God, and renew a steadfast spirit within me. Do not cast me from your presence or take your Holy Spirit from me. Restore to me the joy of your salvation and grant me a willing spirit, to sustain me.

Psalms 51:10-12",2020-04-05 14:09:41
"It is great to see our community come together and provide a healthy and safe way to make walks more fun! We are #InThisTogetherOhio 

https://t.co/ZRgRzO1SoE",2020-04-03 20:07:55
"#ICYMI: 
https://t.co/uhlIHjB3QL",2020-04-02 18:57:34
"This month 16 lineworkers from rural electric co-ops in Ohio traveled to Guatemala to help bring electricity to homes/churches/schools in remote villages. They unexpectedly found themselves stranded due to the rapid coronavirus outbreak. @NRECANews 

More: https://t.co/MySXycnVqJ",2020-04-02 13:54:16
"It’s #CensusDay2020. Make sure to fill out your questionnaire when it comes in the mail! Your participation has a direct impact on local funding from the federal government.

If you have questions regarding the census, check out their website: https://t.co/Rz1GFbvjBT https://t.co/p8Xi8gUFQd",2020-04-01 17:04:27
Sole Choice @SoleChoiceInc in Scioto County is supplying pieces for masks for New Balance to assist in the fight against the Coronavirus! https://t.co/rh6OUkefpZ @PDTNews,2020-04-01 13:20:39
"Wishing a speedy recovery to @ChrisCuomo - I've been on his show @CuomoPrimeTime and he's always been fair, despite our political differences. Get well soon, Chris. We are all in this coronavirus fight together.",2020-03-31 18:01:52
"In the CARES Act, @HUDgov received money to be disbursed ASAP to help local communities fight coronavirus. Grants were disbursed through specific programs, including Community Development Block Grants-flexible funding to states and local governments-Steubenville awarded $365,667!",2020-03-31 13:57:00
Thank you @AjitPaiFCC for working to ensure health care providers can purchase necessary devices (as part of the #CARESAct) for providing #telehealth services - reducing exposure risk for both patients and providers. Chairman Pai continues to lead the way on telehealth. https://t.co/JoW1rnVUy2,2020-03-30 20:35:16
"With the challenges that #coronavirus is presenting to Americans everywhere, the need for telehealth has drastically increased. To learn more about what telehealth is and how it can be of assistance to your community, check this resource out⬇️⬇️

https://t.co/rBX9dHLkya",2020-03-30 15:34:17
"When I am afraid, I put my trust in you. In God, whose word I praise - in God I trust and am not afraid.

Psalm 56:3-4a",2020-03-29 13:46:57
"Yesterday, @realDonaldTrump signed the CARES Act into law. This stimulus package provides aid to hospitals, small businesses, and families that are suffering due to the #coronavirus. It’s not a perfect bill, but politics were put aside to get this done.",2020-03-28 22:03:39
"🚨BIG NEWS🚨

The #CARESAct passed the House and is on the way to @realDonaldTrump’s desk to be signed. 

This is a game-changer for businesses, hospitals, and families struggling due to #COVID19. 

I can confidently say, hang in there. Help is on the way! https://t.co/uBysN65N2p",2020-03-27 18:05:32
"The coronavirus has been a nuclear bomb to our economy. 

Workers are hurting. 
Small businesses are hurting. 
Thousands of Americans are sick.

Americans are pitching in to help and I will vote yes on the #CARESAct to provide real relief NOW!

https://t.co/yEmpeGrrFp",2020-03-27 16:20:41
"I'm in DC today to vote on the #CARESAct that will aid small businesses, provide direct payments to families, and supply aid to hospitals and medical professionals. It quickly gets help to the Americans that need it the most.",2020-03-27 14:52:56
Thank you @OHNationalGuard - Ohio appreciates you! https://t.co/hlCim1HLfs,2020-03-26 15:13:57
8am hour - will be speaking with @TomRoten on @800_WVHU and then Rex Coombs Morning Show on WDPN in Alliance.,2020-03-26 11:44:38
"In spite of all the negativity and concerns around the Coronavirus, there is some good news to report: If the ethane cracker in Belmont Co moves forward, significant revenue will flow to schools and local govt services. @TheTimesLeader 

https://t.co/BmgaRmDXv7",2020-03-25 18:37:12
Ran out to Third Street Deli in Marietta to grab carryout lunch today. Very glad to support local businesses that are just trying to get by during this national crisis. I encourage anyone who can to carry out from a local eatery! https://t.co/tvKaF6K6JB,2020-03-25 18:04:05
"🚨BIG NEWS🚨

B/c of emergency coronavirus funding bill that @realDonaldTrump signed into law, health centers in Ironton, Zanesville, Youngstown, Barnesville, Portsmouth, and Lisbon now have hundreds of thousands of dollars to fight the #coronavirus.
https://t.co/hOQjNLnfmB",2020-03-24 22:31:41
"I’ve been to the Kennedy Center for the Performing Arts. It’s a nice place.
 
However, the Kennedy Center should NOT be getting any money in a #coronavirus emergency bill designed to help businesses and families. https://t.co/aTecoeFsaw",2020-03-24 16:37:47
"We need to hold China accountable for mismanaging the #COVID19 outbreak, which is why I am an original cosponsor of this bill. https://t.co/2dcu4XYzu0",2020-03-24 16:25:43
"Lives and livelihoods hang in the balance because of #COVIDー19 and instead of fighting for Americans, @SpeakerPelosi is literally tearing the country apart. 

But don't worry, she's had plenty of practice doing that. https://t.co/tmWOP2mUex",2020-03-23 22:02:56
