tweet,dates
"This morning, with now 80,000 dead Americans, trump is pimping his failing golf club.

In two days the Supreme Court will finally hear the trump tax returns cases. It’s good timing. https://t.co/6HN8sSGzHD",2020-05-10 17:29:40
"Happy Mother’s Day to my wife, my daughters-in-law, and every family celebrating their great mothers! I hope all the Moms out there have a terrific day today! https://t.co/tkVlL8u5GO",2020-05-10 16:46:13
"""A country that turned out eight combat aircraft every hour at the peak of World War II could not even produce enough 75-cent masks or simple cotton nasal swabs for testing in this pandemic.""

This is the failure of the worst executive leadership on earth.
https://t.co/kvm4aLFk7h",2020-05-10 14:25:02
Look at that: slowly but very surely we continue to move in the right direction in our fight. #JerseyStrong 💪🏼 https://t.co/QDiYiiOC5u,2020-05-09 22:47:10
Blaming these outbreaks not on companies forcing their staff into service without protection but employees themselves for being careless at home isn’t just insulting to brave workers — its disgusting. https://t.co/N9E8c1VFcc,2020-05-09 21:34:47
Trump’s attacks on voting aren’t funny because taken to their logical conclusion his endless lies about voter “fraud” threaten the legitimacy of every election and democracy in America. https://t.co/BxxtYw2tdG,2020-05-09 19:37:23
"Mindless demagoguery and childlike tantrums won’t do a damn thing to stop this virus. Carping that 😷 restrict freedom and #stayathome orders are tyranny won’t either.
https://t.co/rUeHLl3I9h",2020-05-09 19:29:43
This is a lovely column. Barry Carter isn’t just a great reporter but a storyteller for Jersey communities and a poet for our neighbors. This is a big loss for #NJ which needs to hear the voices @BarryCarterSL amplifies. https://t.co/Xi3rJkQrlE,2020-05-09 18:41:58
The Trump Depression is worsening. And trump and republicans are declaring victory and refusing to enact more help for suffering Americans. https://t.co/dkyrl1FgH1,2020-05-09 18:06:10
Dr. Bright was fired for trying to sound the alarm on the incompetence and corruption of trump’s government that is killing thousands of Americans. Dr. Bright should be reinstated immediately. https://t.co/t8m8Wd3RLS,2020-05-09 16:11:08
"Trump’s ghoulish coverup of CDC guidelines seems almost designed to make the pandemic worse and kill even more Americans. Tonight, 78,000 are dead because of trump’s catastrophic failures.
https://t.co/5PiEXhZUD3",2020-05-09 00:15:34
"New Jersey hospitals are quite literally in the eye of the storm. The awarding today of $1.7B to 53 hospitals statewide (+ $167M to four in #NJ09) shows that the fed government understands #NJ’s special burden now.

Hospitals are keeping us alive and we need to keep them alive. https://t.co/hGevzyBLU3",2020-05-08 22:17:38
"Dr. Bright should be reinstated now. He is a vaccine expert removed for refusing to promote a possibly dangerous drug.

Scientists+doctors must be dictating our response, not political cronies &amp; partisan hacks. Science and only science is our way through.
https://t.co/wCI80N6WtP",2020-05-08 20:54:21
