tweet,dates
Recognizing the National Day of Prayer https://t.co/KZBYTWkXVG,2020-05-07 14:20:17
Posey Announces 2020 Congressional Art Competition Winners https://t.co/SZsX6gdeLR,2020-04-30 14:20:40
Bipartisan initiative to protect Florida Citrus https://t.co/mSWa6ZDtHT,2020-04-27 01:00:34
Thank you Mr. President https://t.co/XOL8mVMKrn,2020-04-24 00:04:35
Congress Approves Additional Coronavirus Relief for Small Business and Employees   https://t.co/CgyYzqdB2x...,2020-04-23 22:35:20
Bipartisan initiative to help patients with kidney disease https://t.co/fbh7dHG917,2020-04-21 20:49:27
great video by my friend and colleague @RepDanCrenshaw https://t.co/NMapXQKMC7,2020-04-20 14:02:33
https://t.co/Z7Fe51ErgY,2020-04-15 01:30:11
"House &amp; Senate Approve Coronavirus Relief Bill
https://t.co/QvtQaoI3Fi",2020-03-27 17:46:18
House &amp; Senate Approve Coronavirus Relief:  Legislation Includes Posey’s Provision to Protect NASA &amp; Defense Contractor Jobs and Pay http...,2020-03-27 17:42:55
Resources for Indian River County residents https://t.co/DtindunApD,2020-03-24 15:45:50
Resource to report fraud https://t.co/oYzuR6fF4Y,2020-03-23 19:26:23
"Reemployment Assistance benefits, formerly known as unemployment compensation, can be filed online at https://t.co/wVaY5qPnqI. If you have never filed in Florida before, use the ""File a New Claim"" link to start your application and create a profile.",2020-03-20 18:41:16
President Trump Gives Taxpayers Option to Extend Tax Filings to July 15 - Ways and Means Republicans https://t.co/BErCwExUOK,2020-03-20 17:33:01
Good to know on housing https://t.co/UaTVKnhg7X,2020-03-20 17:32:02
"Coronavirus prep: Publix, Target, Dollar General offer 'senior shopping hours' https://t.co/bnjTsd3roG via @Florida_Today",2020-03-20 16:20:49
Governor DeSantis' request for Disaster Declaration was approved by US SBA. Resources for small business owners: https://t.co/XgKrR9V5pR,2020-03-19 18:23:51
Thoughts from the last nights conference call https://t.co/PxTTVvXQXZ,2020-03-18 13:40:48
Coronavirus Update from Rep. Posey https://t.co/KFvvfBOo0j,2020-03-16 20:53:31
"Reps. Posey, Ryan, Introduce Legislation to Protect Against Contaminated Pharmaceuticals  https://t.co/PEjq12YAR6...",2020-02-26 16:49:54
"This morning - honoring fallen Borinqueneer PVT Irvin Simmons by presenting Congressional Gold Medal Repica to his brother Bobby Simmons, also a veteran of Korean War https://t.co/H1gtvTb32e",2020-02-15 17:55:49
Rep. Posey to Honor Borinqueneer with Gold Medal Presentation   https://t.co/yzyDrbcTxt,2020-02-10 16:48:15
Rep. Posey’s Statement on the State of the Union Address  https://t.co/nh73Oc2xmw,2020-02-05 04:33:33
Taking with Spectrum Channel 13 News after the State of the Union tonight https://t.co/LOmXTy3VRP,2020-02-05 04:22:19
Talking with Samantha Manning of Channel 9 after the State of the Union https://t.co/jM00fMpICt,2020-02-05 03:58:59
Posey Supports Legislation to Take Action on PFAS Contamination https://t.co/9XX0u7Wt0w,2020-01-10 18:42:40
https://t.co/KoPuiXD9oF,2020-01-07 02:36:34
https://t.co/7bAJoJUE0s,2020-01-07 02:36:19
