tweet,dates
"(1/2) While we are unsure of #COVID19’s exact origins, it is clear that China’s gross negligence and deception has led to the deaths of hundreds of thousands around the world. We must hold them accountable.",2020-05-08 20:11:15
"On May 13, @uscensusbureau will resume distributing the 2020 census questionnaire to households across Missouri who do not receive mail at their physical address. Make sure you’re counted and respond to the #2020Census",2020-05-08 17:15:04
"Veterans, today is the last day to claim your dependents or submit your non-filer form. If you’re unsure which group you fall into, please check out this form below⬇️⬇️. 

Non-filer form: https://t.co/o7HHXy9Unp https://t.co/U5zCzOOjdR",2020-05-05 14:13:51
The #PaycheckProtectionProgram has been a life sustaining resource for small businesses and workers. Republicans are committed to maintaining this vital lifeline so we can rebuild our economy. Learn more in this week’s #ShortReport: https://t.co/N8l2cXQaFJ,2020-05-01 21:10:51
"Thanks to the #CARESact, Springfield Branson National and Joplin Regional have received over $9M and $1M in grants respectively. 

These grants will provide crucial support to airport workers, preserving countless #MO07 jobs.",2020-04-27 19:31:18
The National Transportation Safety Board will be hosting a virtual board meeting tomorrow at 9:30am EDT to discuss the probable cause of the fatal duck boat sinking on Table Rock Lake. This hearing will be open to the public and can be viewed here: https://t.co/cmYr7dYE2Q,2020-04-27 16:19:07
"In a rare display of solidarity, scientists around the world are working together to find a cure for #COVID19. Find out more in this week’s #ShortReport: https://t.co/wEydppuF7T",2020-04-24 18:58:18
"If you haven’t done so already, be sure to respond to the #2020Census as soon as possible. #MissouriCounts https://t.co/MSTsHeXIAH",2020-04-24 14:26:52
"After two weeks of unnecessary delays, the Paycheck Protection Program and Health Care Enhancement Act is finally on its way to @realDonaldTrump’s desk: 

✅$310B for PPP
✅ $75B for hospitals 
✅ $25B to expand COVID testing 

Help is on the way!",2020-04-23 22:27:07
"4.4 million Americans lost their jobs last week because Dems put their political agendas first &amp; let the #PPP run out of money. 

Many of these lay-offs could’ve been avoided if Dems had been as concerned w/ the well-being of American workers as they were w/ losing their leverage https://t.co/gnaVWiCVtd",2020-04-23 14:36:04
