tweet,dates
"Today on the 75th anniversary of VE Day, we honor and remember the heroes who fought in WWII. Sir Winston Churchill was instrumental in this victory and I’m proud that Missouri is home to the @ChurchillMuseum. https://t.co/ng7UJ1LSdJ",2020-05-08 20:22:27
"The coronavirus pandemic has put Missouri through a trying few months and our faith remains as important as ever. 

Today on National Day of Prayer, we pray for the families who have been affected by the virus and for the healing of our country. https://t.co/Qf4N7TqG03",2020-05-07 21:17:02
TUNE IN tonight at 8:00pm for a live virtual town hall with the entire Missouri Congressional delegation. I’m looking forward to answering questions about coronavirus and addressing its effects on the Third District. https://t.co/ynxXo7fzYj,2020-05-07 20:27:06
"Instead of holding China accountable for its role in this pandemic, Democrats are using Congress' time &amp; resources for yet another witch hunt &amp; attack on @realDonaldTrump. I look forward serving on the Coronavirus Oversight Committee to hold my Democratic colleagues accountable. https://t.co/5jsLvMVDHM",2020-05-07 17:41:13
"Nurses have gone above and beyond the call of duty to get Missouri safely through the COVID-19 crisis and have risked their own health on the frontlines caring for others. On this #NationalNursesDay, we cannot thank you enough for everything you do. https://t.co/HpflI9gL4N",2020-05-06 17:28:10
"With schools closing and many parents homeschooling children who have been at home for months, National Teacher Appreciation Day takes on a whole new meaning this year. To all the Missouri teachers who have dedicated their lives to educating our children, THANK YOU! https://t.co/A3mAZE0kBT",2020-05-05 21:04:37
"Don’t forget! I’ll be doing a tele-town hall TOMORROW at 5:00pm to give an update on coronavirus and take your questions. 

To be added to our call list, please sign up here by noon tomorrow: https://t.co/sitK7fQQig",2020-05-04 20:47:35
"While the last few months have been trying as we've stayed home to slow the spread of COVID-19 , MO is on the path to safely reopening. PPP is back up &amp; running, testing has become more available, &amp; we're getting closer &amp; closer to a safe return to normal.https://t.co/x1uk8mAy7l",2020-05-01 19:40:57
"Please join me this TUESDAY, May 5th at 5:00pm for another tele-town hall on the coronavirus. Looking forward to hearing from the Third District and answering your questions. 

To sign up for our call list, please click here: https://t.co/sitK7fzeTG",2020-04-30 18:18:33
"The first round of PPP supported 769,000 jobs in MO. The 2nd round passed last week is expected to support 696,000 more. More information on PPP can be found here: https://t.co/b7I3H5AbP0 https://t.co/hsgi8P4FJk",2020-04-28 20:03:01
