tweet,dates
"Whether you’re a @Browns or @Bengals fan, Ohio is always ready for football. Tonight, @NFL releases their 2020 schedule &amp; they're working so fans can get full refunds for canceled games or games fans cannot attend. Read more here: https://t.co/LNGZH7q9h8",2020-05-07 17:01:34
Thank you to @RepBeatty @RepTimRyan @RepMikeTurner @RepAGonzalez @RepMarciaFudge @RepSteveStivers @RepBillJohnson @RepBalderson @RepDaveJoyce for joining @RepMarcyKaptur &amp; me to fight for loan relief for hospitals hurt by #COVID19 https://t.co/wlns6P4OFY,2020-05-05 16:48:58
Ohio has gotten tremendous federal assistance thanks to @realDonaldTrump &amp; @WhiteHouse during the coronavirus crisis! @fema’s Project Air Bridge and Strategic National Stockpile is delivering millions of assorted PPE keeping us prepared!,2020-05-01 16:06:21
".@LindseyGrahamSC is right. We cannot forget China’s role in the spread of #COVID19, read my op-ed at @RichlandSource for more - https://t.co/wxXMuFUECs https://t.co/boTEN43kgV",2020-04-28 17:53:34
"THREE of which were created by the CARES Act specifically for coronavirus oversight. @SpeakerPelosi's goal isn't oversight, it is extracting political capital out of a public health crisis. https://t.co/3SU1iSmxjB",2020-04-23 20:47:10
How many jobs were lost while Nancy Pelosi slowed down important relief for Americans trying to leverage this crisis for political gain 𝗳𝗼𝗿 𝘁𝗵𝗲 𝘀𝗲𝗰𝗼𝗻𝗱 𝘁𝗶𝗺𝗲? https://t.co/nylmnMgHY3,2020-04-22 19:01:04
"From transit workers to utility workers and more, the T&amp;I Committee thanks you for your work as our nation battles #COVID19. The essential job you do keeps our country moving and brings us one step closer to overcoming this global pandemic. #ToThoseWhoKeepUsMoving https://t.co/WKybwpCbWf",2020-04-21 17:09:00
"As our nation battles the coronavirus pandemic, essential workers continue to show up and keep America moving. A special thanks to the men and women of @uscg who continue to serve our nation and keep America secure. #ToThoseWhoKeepUsMoving https://t.co/ghmE5f65Ul",2020-04-21 17:00:00
Thanks to the housing industry &amp; @NAHBhome for hosting a safety stand down today emphasizing importance of essential industries practicing COVID-19 safety precautions like keeping workers six feet apart &amp; keeping equipment sanitized on the job site  #NAHB #safetystanddown,2020-04-16 20:25:08
"This could have been avoided but Schumer and Pelosi are blocking a simple, clean funding bill to replenish the #PaycheckProtectionProgram, a lifeline for small businesses in these dire times. https://t.co/2ZzoMnNcwF",2020-04-16 14:50:10
"I wish you &amp; your family a safe, happy, &amp; healthy Easter. While we celebrate at home this year, we can use technology to connect w loved ones. Thank you to the health care workers on the front lines keeping us safe during this difficult time. https://t.co/JEjZlMWX9j",2020-04-12 12:26:18
"The entire world is working together to fight #COVID19! Our friends in Taiwan are donating 10 million masks &amp; other supplies to other nations, including 50,000 masks coming to Ohio! https://t.co/zfXOS42p1r",2020-04-10 16:45:54
CARES Act was passed to help prevent lay-off of employees. @kencen took taxpayer $ and tried to hang their employees out to dry. The public deserves answers or the funding should be returned. https://t.co/1VmR1tdRpm,2020-04-08 12:20:18
It sure looks like Kennedy Center leadership took taxpayer $$ &amp; left their employees holding the bag. Public deserves answers to the questionable decisions made to furlough employees after receiving funding to prevent that. https://t.co/IKhoBFiOnb,2020-04-08 12:12:44
