tweet,dates
"The @CDCgov says contact tracing, is a “core disease control measure” &amp; “key strategy for preventing further spread of COVID-19.”

The COVID-19 TRACE Act would allow for mobile testing &amp; door-to-door outreach to ensure we can SAFELY get back to normal. https://t.co/YlYhCQA5rR",2020-05-09 21:34:19
"The tragic murder of #AhmaudArbery proves that lynchings are not a bygone relic of the past. 

@senatemajldr and @senjudiciary must pass the Emmett Till Antilynching Act NOW. https://t.co/Gbv2DC4o0H",2020-05-09 19:57:34
"Rep. Underwood is right. That is why I encourage all members to support my bill, the COVID-19 TRACE Act, which would create a $100 BILLION grant program for local organizations to hire, train, and pay individuals to operate mobile testing units and conduct contact tracing. https://t.co/AbhvrGcAwe",2020-05-09 18:36:46
"You tired of all this winning yet, @RepJoeKennedy? https://t.co/Hq7GIVSLbw",2020-05-08 18:24:22
"You know what else happened yesterday? The murderers who LYNCHED #AhmaudAubrey were finally arrested—three months later. 

But to this President, the “justice” that occurred yesterday was the politically motivated dismissal of charges against a man who pleaded guilty—TWICE. https://t.co/FUk5ZZBlwj",2020-05-08 18:23:08
"Thank you, @ASlavitt.

The COVID-19 TRACE Act would provide $100 BILLION in grants for local organizations to hire, train, and pay individuals to run mobile testing units and conduct much needed contact tracing. I encourage more of my colleagues to cosponsor this legislation. https://t.co/JFULBO8Y8s",2020-05-08 17:02:17
"As @jimmykimmel said, Mike Pence pretending to help during a crisis is the perfect metaphor for the failures of this administration in handling this pandemic. https://t.co/fB4XbG3u6R",2020-05-08 14:04:05
"#AGBarr: “People sometimes plead to things that turn out not to be crimes.”

I hope the Attorney General will continue to apply this logic to the countless inmates in federal custody who have pleaded guilty to crimes they did not commit. https://t.co/0HJonWO3XL",2020-05-08 13:39:28
"This thread shows why we need mobile testing and door-to-door outreach if we are going to be able to test a significant portion of the population.

My bill, the COVID-19 TRACE Act creates a $100 billion grant program to ramp up mobile testing and contact tracing. https://t.co/CWLMbu3KQO",2020-05-08 13:28:03
https://t.co/zcrvOPZAZi https://t.co/MCCBOWe4WP,2020-05-08 01:22:41
"I applaud @bp_America for their efforts to bring more PPE to the frontline workers who desperately need it. 

I encourage more companies to follow their example and help ensure we defeat this dreaded disease. #InThisTogether https://t.co/gxnGMFGH5H",2020-05-07 22:39:06
"How many black men are perishing in prison for offenses that pale in comparison to the admitted crimes of Mike Flynn? 

This is a gross miscarriage of justice. https://t.co/X1uQiFSzys",2020-05-07 20:52:16
"“...the Healthcare President continues to deliver for America.” 
— @KellyannePolls https://t.co/iCtYtbgU74 https://t.co/Wop5KytBqG",2020-05-07 13:37:11
"#IdaBWells called lynching a color-line murder and a national crime that requires a national remedy.

Lynchings are not a bygone relic of the past. @senatemajldr &amp; @senjudiciary must pass the Emmett Till Antilynching Act &amp; finally outlaw this heinous act. #JusticeForAhmaudArbery https://t.co/Fk8vsfpBeq",2020-05-06 21:38:44
"Unfortunately, the Emmett Till Antilynching Act still has yet to be passed by the Senate. 

The killing of #AhmaudArbery shows us that the spirit of lynching is alive and well in this country. @senatemajldr and @senjudiciary must pass this bill now. https://t.co/J6kkIAqxPp",2020-05-06 21:27:51
"Critics of the Emmett Till Antilynching Act said lynchings were a thing of past. #AhmaudArbery’s murder proves otherwise. 

If @senatemajldr &amp; @senjudiciary have time to jam through unqualified judges, they have time pass this bill. Your inaction only emboldens these terrorists. https://t.co/oBjGvR50W9",2020-05-06 16:06:37
"What happened to #AhmaudArbery is a MODERN DAY LYNCHING. This February, the House overwhelmingly passed the Emmett Till Antilynching Act, which would make lynching a federal crime.

@senatemajldr, you said if we needed a bill like this you‘d support it. The time to act is now. https://t.co/xemCzz3tUn",2020-05-06 15:13:36
