tweet,dates
We’re still having the Congressional Art Competition. Details are available at https://t.co/xUWiGQADi5 https://t.co/iaHVCzl6CP,2020-05-09 11:45:22
"During this pandemic, the Administration should be prioritizing providing much needed resources and relief for students and schools. Instead, it's taking action to make schools less safe.  https://t.co/2owzDSvZWU",2020-05-08 17:48:02
Our states and municipalities are going to need an enormous amount of testing and contact tracing. As a member of the Appropriations Committee I’m committed to ensuring we have the resources necessary to keep our citizens safe. https://t.co/0vEohOojBi,2020-05-07 22:55:15
"I hope everyone's paying attention. Remember, #MichaelFlynn LIED repeatedly, and pled guilty. These are the people this President defends. It's easier to see the pattern than it is to ignore it. https://t.co/UFLjkK1UMX",2020-05-07 19:39:50
"Where are the Black Republicans today? Will @SenatorTimScott condemn this injustice, @SecretaryCarson are you pro life now? Or was Audre Lorde right when she said ”The Master’s tool will never dismantle the Master’s house” https://t.co/e8NtDhOkCh",2020-05-07 18:01:27
"Our justice system, our society and our values routinely fail black people. There are countless examples that prove, again and again, that in society’s eyes, our lives are worth less, that we are second-class citizens. https://t.co/RIpM0rkop0",2020-05-07 17:10:15
"Today is #NationalNursesDay part of #NursesWeek2020 leading up to the 200th Birthday of Florence Nightingale,  the founder of modern nursing. 

I know I owe a lot to the nurses who took care of me when I went through surgery and chemotherapy...",2020-05-06 19:06:04
"SHOCKER: The Trump Admin seems to be putting the priorities of Big Business over the American People.🤯

Their own report says to expect the death rate from coronavirus to double to 3,000 per day by June. https://t.co/QmqxtoCMKk 

Yet they are going ahead with plans to reopen...",2020-05-06 13:29:58
"Back in March, I expressed concern that the Office of Federal Contract Compliance Programs had issued affirmative action exemptions for COVID-19 related contractors.
Today, Chairs @BobbyScott, @RepAdamSmith, @RepBonamici and I delivered a letter to OFCCP to get answers as to why! https://t.co/RxcCjICiYx",2020-05-04 19:54:28
There’s no place for an elected official who hurls homophobic slurs or cast aspersions on colleagues parents. It’s disgusting and the people of Trenton deserve better.,2020-05-03 22:35:37
"If you haven't taken the Census, take a few minutes to understand its importance, and then take a few more to get your response in today. #2020Census https://t.co/3RMcKS8ufD",2020-05-03 21:13:40
"Tome un momento para este mensaje sobre el Censo de mi Representante de Servicios Constituyente, Thelma. https://t.co/QNEWAGvRJP",2020-05-03 18:50:05
"The #2020Census decides where the federal government sends billions of resources. It's more important than ever that we are all counted. Take it online on ANY device, on your phone, or by mailing back the form you received. Take a few seconds this weekend to take the census. https://t.co/jrZvUj2wvk",2020-05-02 17:42:50
"The past few weeks have demonstrated to many of us how important our teachers are and how tough their job is. Teachers around the country have pivoted to teaching remotely to ensure our children get the education they deserve. 

Thank you. 

#TeacherAppreciationMonth https://t.co/xoIgtbBy6U",2020-05-01 22:42:52
"The White House has blocked my subcommittee's request for Dr. Fauci to appear next week. This is yet another move to block any and all oversight of the president as he conducts business that impacts millions of American lives. 
https://t.co/ayv2g6prEM",2020-05-01 22:31:19
