tweet,dates
Happy Mother's Day! https://t.co/5flewpSCIp,2020-05-10 13:00:01
"My office is still accepting Congressional Art Competition submissions online through May 15th, 2020. More information on the rules for eligibility and submission can be found here:
https://t.co/MsBqyQ4urB https://t.co/1XLHIUef6M",2020-05-09 15:44:00
"75 years ago, Nazi Germany surrendered to the Allied forces, effectively ending WWII in Europe. Today’s anniversary marks the end of one of our world’s darkest chapters, thanks to the bravery &amp; sacrifice of allied soldiers &amp; fueled by the commitment to justice &amp; freedom for all. https://t.co/44V4IPUYWi",2020-05-08 15:23:11
"They say when you join the military, your family does too. Thank you to all of the military spouses and families for your sacrifices and contributions to our great nation. We are here for you. Please don’t hesitate to contact my office if you ever need help with a federal agency. https://t.co/oc4luhuZHh",2020-05-08 13:36:00
Telehealth is becoming an increasingly important tool for our health care system. Great to see federal funding helping our community expand these capabilities! https://t.co/KN36wiSd3d,2020-05-07 20:11:33
BIG: HHS just announced that 10 health centers across Ohio’s 2nd Congressional District will receive $4.9 million in funding for testing. It is important that we continue to beef up testing capacities as our state starts to reopen. https://t.co/tUgJDeMz1D,2020-05-07 19:03:43
"Recently, there has been an uptick in IRS-related scams from people trying to access Economic Impact Payments. It’s important to know what to look for if a potential scammer contacts you. https://t.co/MPU5wIO39n",2020-05-07 16:41:00
"During these challenging times, teachers are stepping up to meet the needs of unprecedented educational settings, and parents and guardians are also helping to fill these roles. Join me in celebrating the incredible work our nation’s educators do for us all. #SendTeachersLove",2020-05-07 14:52:52
"If you believe, please join me in praying for the health, wellbeing, and strength of our nation as we continue to face unprecedented challenges. May God bless us all and God bless America. https://t.co/hxOeXjhDGz",2020-05-07 14:08:16
Chairman Schiff needs to release the transcripts from the House Intelligence Committee's investigation into foreign meddling without any further delay. https://t.co/CCPrAXaTCQ,2020-05-07 00:59:51
"Testing is critical to beating this coronavirus, and I'm pleased to see that the United States has made a lot of progress with testing. We need to continue the good work to make tests fast, accessible, and widely available. https://t.co/0jPqZ1xh3Y",2020-05-06 20:49:12
"Now more than ever, we need to show appreciation and thank our nation’s nurses for their tireless fight to keep our loved ones safe and healthy. They are heroes in this battle. Please join me in celebrating #NationalNursesWeek and honoring their work. https://t.co/C5ijNGWUMs",2020-05-06 16:26:41
Proud to see our Cincinnati medical community playing a leading role in this effort! We will get better together! https://t.co/QlGaKhkZ93,2020-05-05 23:57:55
This is very useful information from @hcollaborative for anyone seeking medical attention ⬇️ https://t.co/5fIV5wxCwT,2020-05-05 19:41:57
"As American employees get back to work, Congress should too. I joined Bill Cunningham yesterday to discuss the Democrats’ delay in bringing the House back in session, Ohio’s plan to reopen, and more. Listen to the full episode below.
https://t.co/VxuOYzI0Hl",2020-05-05 17:39:27
This is great news for folks in Brown county! ⬇️ https://t.co/8CeeO3PPVq,2020-05-05 17:06:58
REMINDER: Today is the last day for SSI recipients who did not file a tax return in 2018 or 2019 and who have qualifying dependents to provide information to receive their full Economic Impact Payments. Be sure to file now! https://t.co/yDIwdFKJDD,2020-05-05 17:01:42
This is welcomed news. We all must continue to take care of ourselves and that includes routine preventative care and cancer screenings. https://t.co/PsQ0clCje4,2020-05-05 15:18:55
Millions of small businesses across the country have received loans through the #PaycheckProtectionProgram to help support them through these challenging times. https://t.co/Ed3ayDUJYH,2020-05-04 19:01:25
"If you’ve recovered from COVID-19, please consider donating your plasma to help treat current coronavirus patients. Last night, I spoke with @WLWT about the progress we’ve seen with plasma treatments.  https://t.co/0zcHgHtSlU",2020-05-01 18:23:31
"📺ICYMI: I gave an update on a variety of #COVID__19-related issues to @Local12: 
https://t.co/LQ5Yf9M5o3",2020-04-30 20:28:03
"Thank you, @MarioDB! 

If you've recovered from #COVID__19, please consider donating your plasma. It could help save lives.

More info➡️ https://t.co/VPq4YGYd4g https://t.co/dZVuXXw5v3",2020-04-30 18:36:47
"“The idea was to give him more soldiers in his body to fight this war,” said Dr. Diaz, who is part of the team treating Dr. Laroche at Palm Beach Gardens Medical Center in South Florida."" 
https://t.co/BXfamQvQ5u",2020-04-29 15:52:07
"The first round of #PaycheckProtectionProgram funding provided billions of dollars to over 60,000 Ohio small businesses. Yesterday, the program reopened to continue providing resources to small businesses across the nation. Visit https://t.co/aSWfxHWj6r for more information. https://t.co/EodFvfdRqA",2020-04-28 19:07:02
I’m pleased to see Ohio moving in the right direction by reopening some businesses &amp; letting people get back to work safely &amp; efficiently. I’m also thankful that many non-emergency medical procedures will resume. 1/2,2020-04-27 22:24:52
"Economic Impact Payments continue to hit bank accounts, and many people have already received their payment. Individuals who haven’t yet can check the status of their payment on the IRS’s updated online tool. https://t.co/IFeN0kBLxo",2020-04-27 19:02:14
