tweet,dates
Pleased to join with more than 155 of my colleagues in sending a letter that calls on House Democratic leadership to ensure that any future #coronavirus relief packages reject Republican efforts to diminish access to comprehensive reproductive health care. https://t.co/CDOA19zSKY,2020-05-08 16:17:23
(1/2) The @TheJusticeDept is acting outrageously with respect to Flynn’s #obstructionofjustice plea. Also being ignored is how #Flynn admitted to lying about being a paid agent of the Turkish govt and false filings under the FARA Act (all while an advisor to the Trump transition),2020-05-07 22:40:00
https://t.co/FTdJCPpxNX,2020-05-07 17:59:50
"Thank you to all who joined us last night for our fourth #Coronavirus Telephone Town Hall. If you’re having issues with any federal programs to address this pandemic, call my office or email me at BradSherman.cares2020@mail.house.gov 
https://t.co/Y4EPcdMAm0",2020-05-06 16:33:06
Starting Now! https://t.co/NH19XUWVXa,2020-05-06 02:00:08
Starting in 1 hour at 7:00 PM Pacific! https://t.co/NH19XUWVXa,2020-05-06 01:00:13
"I guess they think the problem has been solved.
 https://t.co/rXCIm4aeS9",2020-05-05 23:18:16
"Please join us tonight for our fourth #Coronavirus Telephone Town Hall from 7-8:30 PM Pacific. We will also be joined by @AsmChristySmith who will discuss local response efforts. 

There's still time to RSVP or Submit a question at https://t.co/1snLNRj3hZ https://t.co/M0xJrJftwl",2020-05-05 18:33:51
The FHFA announced that Fannie Mae &amp; Freddie Mac have launched online databases for renters to know if they're covered by federal eviction protections provided by the #CARESAct. @RepMaxineWaters Rep. Lacy Clay &amp; I have called on FHFA to publicize this info.https://t.co/ksIvdwbyKn,2020-05-04 22:57:00
"Join me this Tuesday May 5th for our fourth #Coronavirus Telephone Town Hall from 7-8:30 PM Pacific. We will be joined by Dr. Lynn Goldman, Dean of @GWpublichealth who will discuss the latest developments on the virus. 

To RSVP or Submit a question, visit https://t.co/1snLNRj3hZ https://t.co/6sgceQitym",2020-05-03 18:32:39
"This unprecedented public health crisis has made it even more clear how valuable workers are to all our communities. Today on #MayDay, and every day, I stand in solidarity with workers and will continue to fight for the pay, rights and working conditions workers deserve.",2020-05-01 20:07:40
"CDC director says possible 2nd wave of the #coronavirus could be worse.

When might a 2nd wave hit? November. 

We must expand #VoteByMail through November so that Americans won't be forced to choose between their health and exercising their constitutional right to vote.",2020-04-30 22:14:18
"72 years ago, the State of Israel was established. Minutes later, the US became the first nation to recognize Israel. Today we celebrate #YomHaatzmaut and not only express our solidarity, but also celebrate our shared values and partnerships with Israel in science, tech &amp; more.",2020-04-29 16:16:30
"Please join me on Tuesday May 5th for our fourth #Coronavirus Telephone Town Hall from 7:00-8:30 PM Pacific. 

To RSVP or Submit a Question, visit https://t.co/1snLNRj3hZ https://t.co/Rn9Mp3xIJ4",2020-04-28 16:36:33
https://t.co/qusQhqoUFD,2020-04-28 01:06:17
"An important op-ed by @ScottGottliebMD, who I had the pleasure of speaking with last week. Developing a #COVID19 vaccine is a matter of national security, and we need to prepare mass manufacturing to be ready if a vaccine works. https://t.co/RynBw0mexi",2020-04-27 22:56:34
(1/2) Pleased to confirm that the Government Accountability Office has agreed to include the San Fernando Valley in its study on airport noise. Our voices were heard (over the plane noise) by the GAO -- the Valley is 1 of only 7 areas to be studied nation-wide. #FixItNow.,2020-04-27 21:52:29
"Thank you @Amb_AlThani, @TamimBinHamad and @QatConsulateLA for generously donating $5 million, the largest donation the Mayor’s fund in Los Angeles has received, to help Angelenos in need during the #COVID19 crisis. 

https://t.co/q400eAC3ub",2020-04-26 18:11:43
https://t.co/04YvhaUgv9,2020-04-26 17:12:06
"We need everyone wearing masks. We need to research. And we need the public health measures described in this article. 
https://t.co/D3noFt9S7t",2020-04-25 14:40:32
https://t.co/pHsNZTx9gs,2020-04-25 02:31:26
I had a great conversation today with former FDA commissioner @ScottGottliebMD. We discussed the importance of #COVID19 research and preparing now to mass produce therapies and vaccines once developed. I look forward to his WSJ article.,2020-04-24 22:56:21
"I would like to thank @ANCA_DC for leading a nation-wide effort to fund 1.5 million meals, through donations to Feeding America, to help Americans in need during the #COVID19 crisis. Your contributions and efforts will always be remembered and appreciated.",2020-04-24 20:13:52
"Today, we mark the 105th anniversary of the #ArmenianGenocide. I have long advocated for the official recognition of the Armenian Genocide, and was pleased to join my colleagues in introducing and passing H.Res. 296, the #ArmenianGenocideResolution last October. https://t.co/j3wHz4Wpdy",2020-04-24 19:06:03
"#RamadanMubarak to all of those celebrating the holy month of Ramadan. It has never been more important to have empathy and compassion for the most vulnerable among us. May it be a month filled with peace, family and community despite these difficult times.",2020-04-24 00:06:50
"I spoke on the House Floor today ahead of the vote on the next #coronavirus emergency funding bill: ""We need to shift from the economic to the biological and focus on defeating this disease. Everyone should wear a mask, including you, Mr. President https://t.co/pfmjqyq4oc",2020-04-23 19:35:41
"This #EarthDay, as the world faces a health &amp; economic crisis, we must join together to reaffirm our collective responsibility to be good stewards of our environment &amp; call for thoughtful, science-based leadership that puts the health &amp; well-being of our #FamiliesFirst. https://t.co/Z36J1MPFlY",2020-04-23 00:16:07
"Thank you to all who joined us last night for our 3rd #Coronavirus Town Hall. Our next Town Hall is on May 5th. If you're having issues with any federal programs to address this crisis, contact my office or email me at BradSherman.cares2020@mail.house.gov
https://t.co/ccaAqsjsKf",2020-04-22 16:40:22
"(1/2) Appeared on @ABC7 to discuss the economic impact payment checks, $1200 per adult. Denounced an ugly provision that takes the benefit away from U.S. citizens just because they are married to an undocumented immigrant. https://t.co/08uN2YSIqA",2020-04-22 03:28:28
