tweet,dates
"Glad that Alabama’s restaurants, hair salons, barbers, and other personal service businesses will be able to reopen on Monday under social distancing guidelines. It is important we safely reopen our state’s economy.",2020-05-08 16:07:19
It is time we stop the insanity and safely open up the American economy! https://t.co/hnb1cUFT6C,2020-05-08 13:49:27
"As this National Day of Prayer draws to an end, may we all heed the words written in Mark 9:29, “And he said to them, ‘This kind cannot be driven out by anything but prayer.’” https://t.co/LB1F7za9i8",2020-05-08 01:28:55
"“Coronavirus should be seen as a big threat to a small percentage of our population and a small threat to the overwhelming majority.” 

I agree with this op-ed. We can get our economy reopened while still protecting the most vulnerable. https://t.co/S1OGOjrcED",2020-05-07 20:22:51
"PPP and other federal programs have been an important cushion to Alabama's economy, saving jobs and businesses. But we must remember they are temporary measures designed to cushion the damage caused by #COVID19. We must reopen or our efforts to cushion the blow will fall flat. https://t.co/BJBw2hjAxX",2020-05-07 15:44:44
"During #NursesWeek, I hope you will join me in saying a HUGE thank you to all the nurses helping heal America. https://t.co/fZZQ0xR0GL",2020-05-07 14:29:35
"Glad to report that the @City_of_Mobile is receiving a $300,000 grant from the @EPA to help with the revitalization of Africatown! https://t.co/EQm6sApyfh",2020-05-06 17:18:49
I wrote in the @WSJ earlier this week about how @SpeakerPelosi is keeping the House out of session in order to maximize her own power and render most Americans voiceless in the legislative process. READ: https://t.co/jpbuUm8num,2020-05-06 16:27:53
Nancy Pelosi and House Democrats have again said the House won’t be called back into session until a bill is ready for a vote. What about hearings? What about markups? What about bipartisan negotiations? Pelosi wants to keep the House out of session to consolidate her own power!,2020-05-06 16:25:19
The unprecedented federal response to the COVID-19 crisis continues to yield positive results to support the American people. Here are some key points you probably haven’t heard from the mainstream media:,2020-05-06 14:35:50
"The federal government has cushioned the blow of #covid19, but we can't spend our way out of this. We must begin reopening our economy to create real value and restore lost personal liberty. The @realDonaldTrump admin has provided states a blueprint. https://t.co/6DerczXiYA",2020-05-05 23:15:49
"Data shows the measures put in place to combat #covid19 have successfully ""flattened the curve"" in most areas of the country. But with critical components of our economy receiving permanent damage, it’s time to begin reopening our economy. https://t.co/6DerczXiYA",2020-05-05 20:06:48
"I remember many of my teachers growing up, especially Miss Kay Ladd. She was my first grade teacher and the one who taught me how to read. To top that off, she had to teach a class of all first grade boys...now that’s a challenge! #ThankATeacher",2020-05-05 15:40:47
"THANK YOU to our teachers for the lasting impact you have on all of us. The COVID-19 crisis has given all parents an even greater appreciation for the hard work, dedication, and sacrifice of our nation’s teachers! #ThankATeacher https://t.co/4eqSKymCpt",2020-05-05 15:38:46
Mental health is indeed a critical public health issue. Reducing the coming impact of this health issue must be a pressing public policy priority both at the state and federal level. https://t.co/95TJUBr2au,2020-05-05 00:41:04
"Without lawmakers there to speak up for their districts and influence the legislative process, @SpeakerPelosi has made herself the sole voice and negotiator for the House, as it passes massive funding and regulatory bills. https://t.co/jpbuUlQM5M",2020-05-04 14:13:26
"By keeping the House out of session, @SpeakerPelosi has consolidated power and cut our voices out of the process. Enough is enough. It is time for the people’s representatives to have a voice in their federal government. https://t.co/jpbuUm8num",2020-05-04 13:25:54
🏖 ☀️ Glad to see people following the safety guidelines! This shows we can safely reopen our state if we all do our part! https://t.co/ZHbKrvUsCG,2020-05-01 16:40:39
I’m glad @GovernorKayIvey has reopened Alabama’s beaches as it is critically important to our coastal communities. Just remember: Everyone has a personal responsibility to help us safely reopen our economy and overcome COVID-19!,2020-05-01 14:09:21
"🏖 Important reminders as Alabama’s beaches reopen: 

▪️No large groups (defined as ten or more people) should gather on the beach. 

▪️Each group should keep 6 feet of distance between other groups. 

▪️Everyone must follow the guidance of law enforcement and lifeguards.",2020-05-01 14:07:37
"The men and women who work at the @Austal_USA shipyard in Mobile are the finest in the country. I disagree with the Navy's decision on the Guided-Missile Frigate, and I look forward to thoroughly examining the Navy’s decision making in this process.",2020-05-01 00:17:26
The men and women who work at the Austal shipyard in Mobile are the finest in the country. I disagree with the Navy's decision today to award the frigate contract to Marinette. Read my full statement here. https://t.co/LFtOvqizvf,2020-05-01 00:16:13
I agree. This entire experience should force us to ensure the ability to produce critical products domestically. https://t.co/wL4KZPO1cQ,2020-04-30 18:57:46
Glad to see Alabama and @uabmedicine leading the charge in helping find a treatment for COVID-19! https://t.co/oUq0eVMm1O,2020-04-30 18:53:48
