tweet,dates
"Happy Mother's Day to all the wonderful moms and grandmothers in #IL10!  We are grateful every day, but especially during these difficult times, thank you for your dedication, your sacrifice, and your unconditional love #MothersDay https://t.co/j2quJ4L6Oo",2020-05-10 16:25:52
"Proud to work with @SenatorDurbin on the Healthcare Workforce Resilience Act to reallocate 40,000 visas for immigrant doctors and nurses during this public health crisis. 

Today I introduced the House version of this bipartisan, common sense bill. https://t.co/H0FWleHXHI",2020-05-08 17:28:51
"The Covid-19 pandemic is making the shortage of doctors and nurses facing many cities and towns even worse. Today, I introduced bipartisan legislation to enable more immigrant health care professionals to meet the needs of our communities. https://t.co/YyNNjeA4t9",2020-05-08 17:25:11
"The video is horrifically clear: Ahmaud Arbery went for a jog and was murdered. For months, the men responsible have been walking free, when they should be in police custody and awaiting trial. As Georgia impanels a Grand Jury, we must continue to demand #JusticeforAhmaud.",2020-05-07 17:40:34
"This #TeacherAppreciationWeek, thank you to our teachers who go above and beyond to educate our next generation. These are just a few examples from across the country of ways teachers are adapting during the pandemic to help their students and communities.
https://t.co/DK6k1s6pMI",2020-05-07 15:56:50
"When our nurses tell us they still do not have adequate personal protective equipment (PPE), we should listen.

I'm focused on fixing our national medical supply chain issues, and the President should be too. https://t.co/YwppqmnJPl",2020-05-06 21:30:58
"Unbelievable. Health care workers are still facing shortages of PPE and we desperately need a national testing strategy. Now is not the time to be winding down the Coronavirus Task Force. 
https://t.co/w7xZFQZXkK",2020-05-05 19:20:39
"If you received a paper stimulus check and do not have a banking account, these five financial institutions will cash these checks even for non-customers with no-fee. https://t.co/JI2CMqgSuR",2020-05-05 14:28:00
"It's critical Dr. Fauci is able to testify in the House as we seek expert guidance to ensure we are providing the resources needed to fight COVID-19. 

A pandemic is no time for partisan politics. https://t.co/sT5PK4NTIa",2020-05-04 15:01:15
"These protesters are exposing their vile bigotry and small mindedness with hateful signs and chants. 

Comparing the current fight to bend the curve of the pandemic and save the lives of our family members and neighbors to Nazis and the Holocaust is simply repugnant. https://t.co/U8I4YlDTfM",2020-05-02 15:32:12
Going live now! https://t.co/8mBCQUNPqu,2020-05-01 17:04:36
"Thank you Isabella (age 5) from Glenview for sending in this note thanking our doctors and nurses! 

You can send in a copy of your note thanking essential workers on the frontlines of the Covid-19 pandemic here: https://t.co/aZ6Ou2tMC5 https://t.co/db4Di8NpTl",2020-05-01 01:25:40
"The funding Congress passed was meant for small businesses like these. The Administration has to do a better job ensuring our Main Street businesses are getting this aid, not large corporations. https://t.co/aAYRv3HLoM",2020-04-30 16:42:20
"I'll be going live on Friday at 12pm CT to share an update on our efforts to address the Covid-19 pandemic and answer your questions. 

📺Tune in here:
https://t.co/mI1BuFc8EM",2020-04-30 15:55:59
Today I introduced bipartisan legislation that would allow public employers like state and local governments to access the same paid leave tax credits available to private businesses. It is a  bipartisan way to help our communities during this pandemic. https://t.co/frlPzP8Oes,2020-04-28 16:21:59
