tweet,dates
"A huge thank you to @jack and @Eminem for their work and contributions to help the people of Detroit. #COVID19 has taken a tremendous toll on the city of Detroit with over 1,150 deaths reported. We will get through this together.

https://t.co/wbwHQQcf00",2020-05-10 15:21:45
"Happy Mother's Day to all the wonderful moms out there. As we move through these unprecedented times, let us take this time to thank the moms who are sacrificing so much for our well-being.",2020-05-10 15:19:46
Today 5pm EST! Register to join the conversation: https://t.co/yQol9Psxam https://t.co/dhGeTgN1wN,2020-05-08 19:53:22
"Women predominate in frontline jobs that are powering communities during this crisis. Ahead of #MothersDay, we demand leaders put women and families ahead of corporations, including ensuring women have workplace, health and other critical protections they need. #FrontlineMoms https://t.co/36ww6r4S0Y",2020-05-07 19:01:23
"I want to #ExpandSocialSecurity and put money in the hands of those who need it most during #COVID19 : seniors, communities of color, and people with disabilities - not corporations.",2020-05-07 18:27:28
"Happening now! 

60% of Detroit students do NOT have access to broadband internet during #COVID19

Find out how we plan to address this issue and many more. 

https://t.co/9i0KqihbnG https://t.co/9m0z5PoArD",2020-05-07 17:09:04
"Today is #NationalDayofPrayer, 

I pray for justice for #AhmaudAubrey killed while jogging in Georgia. 

I pray for Ahmaud’s family that they find strength &amp; healing during this tragic time.

Lastly, I pray we as a country can come together and continue fighting against injustice https://t.co/4iu72PqhLG",2020-05-07 15:16:51
"Urban areas are impacted at a disproportionate rate by the digital divide. 

Tune in today 1pm: https://t.co/eWSWrRxQHa https://t.co/64ZT0z3jS5",2020-05-07 13:20:17
On live with Stephen Henderson @wdet https://t.co/rgHruz5fOb,2020-05-07 13:14:57
"Our nation’s nurses have shown us time and time again what true dedication, compassion and hard work really mean. 

In times of crisis, true heroes rise to help those in need.
 
Happy #NationalNursesWeek to the dedicated Americans protecting our communities.
 
Thank you. 🏥 https://t.co/ZJ6B7d3LqS",2020-05-06 14:46:33
"This Thursday! (5/7)
 @GeoffreyStarks and I will be hosting a conversation with a dynamic panel discussing the digital divide &amp; its impact on  the city of Detroit and other similarly situated cities in Michigan and throughout the United States. 

Tell a friend, to tell a friend! https://t.co/bvFX1HHJ60",2020-05-05 19:07:20
"#DearBetsy, a global pandemic has turned students' lives upside-down. @BetsyDeVosED should be spending her time ensuring students have the support they need to succeed in school, not rolling back the rights of survivors.

❌Now is not the time to release the #TitleIX rule.❌ https://t.co/slkFLv5w0s",2020-05-05 17:44:49
"It’s #TeacherAppreciationWeek. This year, honoring teachers is more important than ever. 

Educators across our country are working hard to stay connected and meet the needs of their students during #COVID19. 

I want to share my deepest appreciation ❤️ #SendTeachersLove https://t.co/hGV0Fdm07J",2020-05-04 23:02:30
"Thank you @ChiefJECraigDPD, we look forward to hearing from you on tonight’s call! 

To join, register: https://t.co/jthbA5Lncx https://t.co/IDeu4G6GnH",2020-05-04 20:03:38
"59 years ago today, 13 courageous Americans started a dangerous journey through the segregated south.
 
As we honor the #FreedomRiders, we must recommit ourselves to their fight for justice and equality for all, especially as we face the uphill battle of #COVID19. https://t.co/3rKZRVKV9b",2020-05-04 14:07:40
"Today $3.8mil in grants were awarded to five Public Housing Agencies (PHA) in Wayne and Oakland County by @HUDgov as a part of the Coronavirus Aid, Relief, and Economic Security (CARES) Act. 

https://t.co/hInv2eI4Au",2020-05-01 23:08:49
Proud to work with @RepRashida and @RepAndyLevin to get answers from  the U.S. Dept. of Health and Human Services on government plans for widespread testing and protecting not only our Michigan residents but ALL Americans. https://t.co/vqWZyZnBTn,2020-05-01 20:49:04
"Approximately 18,000 youth exit foster care without a family each year, and, unfortunately, the outcomes for these young people are discouraging even in times of economic prosperity.

The Congressional Caucus on Foster Youth celebrates #NationalFosterCareMonth! We are with you!",2020-05-01 19:18:29
"Yesterday, for the second time in a matter of weeks, the behavior displayed at the Michigan State Capitol in Lansing was exactly the kind of behavior that will lead to a resurgence of #COVID19.",2020-05-01 18:09:22
