tweet,dates
"Every May, we recognize our incredible mothers. We are indebted to their sacrifice, inspired by their wisdom and emboldened by their love. This #MothersDay, let us remember to hold our loved ones extra close during this difficult time. https://t.co/g1t6KIGTsN",2020-05-10 14:00:41
"You can help the schools in our communities when their doors reopen and for the next 10 years by responding to the #2020Census now. You can answer online, by phone, or by mail. Visit https://t.co/7TlwDxanut. https://t.co/GzcZLYmZj9",2020-05-09 20:26:02
"This #NationalNursesWeek, I stand in solidarity with nurses across the nation as they demand the protections they need to do their jobs safely during the #COVID19 crisis. We need more PPE to #ProtectNurses who are on the front lines of this global fight. https://t.co/emUhggh2dn",2020-05-08 18:31:46
Nations need to collectively work together now more than ever to overcome our shared challenges and create a brighter future. That’s why I introduced this resolution highlighting the need for the World Bank to lead a global economic recovery effort. We cannot recover alone. https://t.co/sxDSSOH0yg,2020-05-08 13:45:22
"We should be strengthening #SocialSecurity, not giving a payroll tax cut to corporations. I'm proud to join @RepJohnLarson on the Emergency Social Security Benefits Improvement Act to help our seniors during the #COVID19 crisis. #ExpandSocialSecurity https://t.co/Y8xdOA3MXC",2020-05-07 17:54:50
"My staff has been working remotely to help #PA02 during #COVID19. When a Vietnam Veteran's pension suddenly stopped in the middle of this crisis, my staff worked with the Dept. of VA to restart it. If you need any federal assistance, contact my office. https://t.co/mDSgbgHW0J",2020-05-07 15:38:06
"Our nation’s nurses have shown us time and time again what true dedication, compassion and hard work really mean. 
 
This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/TPUdlXuGiS",2020-05-06 18:50:49
"The IRS made significant improvements to its ""Get My Payment"" portal. This portal can help you track your stimulus payment and update your information to receive a direct deposit. You can visit the portal here:  https://t.co/d7wAwV1mHq",2020-05-06 16:31:10
"#COVID19 has revealed the tireless dedication of our nation’s teachers. This #TeacherAppreciationWeek, we thank our teachers who are going above and beyond to serve their students. #ThankATeacher https://t.co/TNVJtFe9Gm",2020-05-06 15:15:28
"Since the start of the #COVID19 crisis, @AFSCME workers, including @afscmecouncil13, have stepped up to serve their communities on the front lines of this global fight. We are thankful for your sacrifice and commitment to help others. https://t.co/oTs1Zh5TtQ",2020-05-05 15:06:11
"Today, as we honor the #FreedomRiders and all the heroes of the civil rights movement, we must recommit ourselves to their fight for justice and equality. This #COVID19 crisis is shining a light upon the fundamental inequalities of our nation that we must work to correct. https://t.co/K6Axmietg3",2020-05-04 19:41:43
"I’m continuing to share updates regarding the ongoing #COVID19 public health crisis and some resources that you may find beneficial on my website. For any questions, don't hesitate to contact my district offices. https://t.co/HykxLccz9e",2020-05-04 16:33:07
"The CDC just added to the list of official #COVID19 symptoms. In response, Philadelphia has expanded the parameters that qualify people for a test. You can learn more below. https://t.co/CAVdgGqGjd",2020-05-03 18:46:58
"More and more Americans are facing food insecurity during #COVID19. I'll keep fighting to increase SNAP in Congress. In the meantime, my staff continues to address these shortcomings by helping to get food to those who are at higher risk or unable to travel to a food site. (1/2)",2020-05-02 18:56:13
"This Asian Pacific American Heritage Month, I stand in solidarity with my @CAPAC colleagues in denouncing xenophobia &amp; celebrating the many contributions of our vibrant #AAPI community in Philadelphia and across the nation. #APAHM2020 https://t.co/vgJT0k0pmm",2020-05-01 20:20:04
Congress must support workers and families during this pandemic. I'm proud to join @RepDanKildee in his plan to expand unemployment benefits to make sure workers with reduced hours and recent college graduates do not fall behind. #StrongUI https://t.co/ap2bMx41yJ,2020-05-01 18:44:52
"Philadelphia has been ramping up testing capacity over the past couple weeks, but we still have a long way to go. A healthy economy can only happen with healthy people.  https://t.co/2WIQklGOYh",2020-05-01 14:53:11
"Here are basic facts about the various existing and new unemployment compensation. For any questions, please feel free to contact one of my staff members in any of my four district offices. https://t.co/yloGUhUTPn",2020-04-30 19:43:14
"Just a reminder that my Philadelphia District Office is still accessible (digitally), and that my District Staff and I have been working remotely everyday to help our constituents since this crisis began. 
(THREAD)",2020-04-29 17:02:55
"On #WorkersMemorialDay, we must recommit to making workplaces safer. As we endure this pandemic, we need to protect health care workers, first responders, and other essential workers on the frontlines of the fight against #COVID19. https://t.co/nvD358R6en",2020-04-28 21:27:47
"The #Census2020 will mark the 24th time that our nation has counted its population since 1790. And 24 times, there has been an undercount of people in our country, esp. for people of color and children. This year, let’s encourage each other to #BeCounted. https://t.co/zI8mxG82xA",2020-04-28 15:25:13
"Starting at 1:45pm tomorrow (4/28), the U.S. Navy Blue Angels will be doing a joint flyover to honor the frontline #COVID19 responders and essential workers in the Philadelphia area. Look to the skies from your home to catch the flyover! https://t.co/dqHW8wStIG",2020-04-27 19:46:47
Looking for your #coronavirus stimulus check? Here is brief guidance of when to expect payments. https://t.co/5btGdH2ita,2020-04-27 17:36:39
My office is actively working from home to ensure #PA02 families are receiving the relief they need during this difficult time. You can visit my website for FAQs related to #COVID19 and contact my district offices for any help or  questions. https://t.co/HykxLccz9e,2020-04-26 18:16:13
Thank you to our heroes who are keeping us safe and healthy during #COVID19. https://t.co/mzMwue57GP,2020-04-25 19:18:13
"Over 26 million Americans have been forced out of work. Congress must act to end mass layoffs and keep workers in their jobs. I’m proud to be an original cosponsor of the Paycheck Guarantee Act, which will combat the mass unemployment caused by #COVID19. https://t.co/uOMIwVYCCm",2020-04-24 18:23:37
".@senatemajldr is saying he would rather see states go bankrupt than deliver lifesaving relief. How does this help our firefighters, police &amp; EMS fight #COVID19? Lives are at risk. Proud to have joined this effort to fight for more funding for local &amp; state gov. in the next bill. https://t.co/poq4ylaEVd",2020-04-24 15:53:40
"This #Ramadan, let us be reminded of the power of faith and community. Ramadan Mubarak to all who observe. https://t.co/oBofNkhkzB",2020-04-23 21:04:01
Many in #PA02 are concerned about the capacity of our hospitals right now. You can do your part and fill out the #2020Census so lawmakers know how much funding to set aside for critical services like hospitals and healthcare in the future. https://t.co/zI8mxG82xA,2020-04-23 16:59:48
"I'm proud to cosponsor the Protect Our Post Offices Act, which provides $25 billion to USPS to sustain its operations during #COVID19. As the third largest employer and a reliable distributor of all mail, we must provide additional funds to USPS. https://t.co/qvBmXQgo7Z",2020-04-22 19:50:54
"Happy #EarthDay! In these uncertain times, we are reminded that we are united in a common goal of a healthy future. Science brings us together as the world’s healthcare workers and researchers are working around the clock to combat this public health crisis. https://t.co/4RmrHAcuSP",2020-04-22 14:51:56
"Those receiving Social Security benefits, survivor or disability benefits (SSDI), Supplemental Security Income (SSI) and VA benefits do NOT have to take further action to receive a stimulus check. (1/2) https://t.co/XEIYlVofgx",2020-04-21 21:06:09
"Grateful for the chance to hear directly from @PennaNurses on what’s happening in our hospitals. In short, they are risking their lives to help others with very limited resources. We must do more to support these heroes. https://t.co/AFbgCp44J6",2020-04-21 20:20:55
"Today is #HolocaustRemembranceDay, a day to honor the millions of innocent lives lost in the Holocaust. Even during this public health crisis, we must #NeverForget the consequences of unchecked hatred and the need to come together as a community. #YomHaShoah https://t.co/zgcKDpY8fm",2020-04-21 19:39:18
Thank you to the child care providers who remain open so that essential workers have the option to work without worrying about leaving their child unsupervised. Our communities are able to function because of your help. https://t.co/EFVJHfiKsC,2020-04-21 16:16:50
"Small businesses employ nearly half the private workforce, but too many of these businesses are missing out on #PPPLoans. @HouseDemocrats are fighting for a comprehensive fix to small business relief programs. https://t.co/NSpS4sEhev",2020-04-20 19:45:19
"Don't miss your chance to help our community access resources for hospitals, schools, and infrastructure! Respond to the #Census2020 online, by phone or by mail. https://t.co/zI8mxG82xA",2020-04-20 16:38:20
