tweet,dates
"I would like to wish a very #HappyMothersDay to all the amazing mom’s out there. The importance of your role cannot be overstated – you deserve far more recognition than a Sunday in May. 

I hope every mother has a wonderful day being honored by those who love you! https://t.co/sovGJ3E0XI",2020-05-10 17:07:09
America should never trust or depend on the People's Republic of China ever again! This communist regime is responsible for the death of thousands. We must hold them accountable for their heinous actions. https://t.co/GyROasWRgl,2020-05-08 23:50:49
"The SCOTUS ruled that it's indeed a crime to encourage illegal aliens to come to, enter, or remain in the U.S. – violating our nation's sovereignty &amp; laws. Anti-harboring laws must be upheld, and it's a shame we can't trust the Ninth Circuit to do its job. https://t.co/5WmVGaG3XH",2020-05-08 21:23:34
"Today marks 75 yrs since the Allies formally accepted Nazi Germany’s unconditional surrender – marking the end of WWII in Europe. 

Our brave WWII veterans have forever earned a heartfelt thank you from every American. #VictoryInEuropeDay #VEDay75 #GreatestGeneration https://t.co/q148aqavJD",2020-05-08 18:46:45
https://t.co/6AUePOR1p7,2020-05-07 23:19:41
My thoughts today on #NationalDayofPrayer ⬇️ https://t.co/cVUV12U2uq,2020-05-07 22:10:05
"With more than 30M Americans currently unemployed, it would be an injustice to force our citizens to compete against foreign migrants for jobs once the economy fully opens. 

I'm urging @realDonaldTrump @POTUS to suspend all temporary guest worker programs. https://t.co/Imsp4KLD1d",2020-05-07 19:56:23
"In these perilous times, I can think of no better qualified individual to be in charge of our nat'l intel than @RepRatcliffe. John is a great friend &amp; fellow Texan, and I fully support @realDonaldTrump's decision to nominate him as the next @ODNIgov. He should be confirmed ASAP!",2020-05-07 18:47:19
".@realDonaldTrump has done a tremendous job guiding America through this pandemic while ensuring states and businesses have what they need to defeat #COVID19. Under his leadership, we will triumph over this virus and rise stronger than ever before. https://t.co/t4nyPJ1aev",2020-05-07 00:10:18
"Happy #NursesAppreciationWeek! Our brave nurses continue to work nonstop on the front lines of this pandemic to treat and heal Americans. This week, if you know, meet, or see a nurse, make sure you take a moment to thank them for their selfless service! https://t.co/CQYeUMHGvo",2020-05-06 21:54:12
"ICYMI: Yesterday, @GovAbbott expanded the list of Texas businesses that will be allowed to resume operations on Friday, May 8. I encourage all to continue to follow the social distancing and Governor's guidelines in order to safely reopen our great state! https://t.co/wLEzdvalWU",2020-05-06 17:41:49
