tweet,dates
"WNY health clinics are critical in supporting healthy communities. New federal funding for @ChcbInc @JRCHCBuffaloNY &amp; Neighborhood Health Center will help increase access to testing which is vital to reopening our economy &amp; reducing community spread.
https://t.co/CAqvd4kquA",2020-05-08 19:49:14
"The #coronavirus pandemic has caused stress and isolation for many in our community. We announced federal funding for @bestselfwny &amp; @HorizonHealth1 to continue and expand local mental health and substance abuse disorder services.
https://t.co/vufXD6sZxY",2020-05-08 17:19:35
"Good to speak with our friend @RandallHoak and the @AARPNY team about our shared priorities to support food assistance, secure state and local funding and seek additional protections for seniors in nursing homes. https://t.co/hOZa6QWua3",2020-05-08 15:33:54
Today's the day!  Drive up to the @broadwaymkt between 10am and 2pm today with you your donations for @feedmorewny https://t.co/6fs6Sa4hOY,2020-05-08 12:47:46
"NEW: @riteaid #covid19 testing sites in the Cities of Niagara Falls and Buffalo officially scheduled to open on May 11. The expansion of testing is critical to reopening our economy and allowing residents to make better informed choices for their families.
https://t.co/zEEdxcCyb7",2020-05-07 23:04:52
The GOP tax bill makes it more difficult to finance historic tax credit projects. This needs to be reversed &amp; local projects need flexibility due to #COVID19. We are fighting for this. Thanks Steve Carmina @CWM_dpc for the webinar question today. #SavingPlaces,2020-05-07 20:16:12
"The current #covid19 pandemic has placed additional stress on students in meeting educational goals. We are pleased to announce additional funding, approved in the #CARESAct, to help WNY colleges ensure the success of minority and undeserved students.
https://t.co/dNe2nlZncm",2020-05-07 19:05:25
Thanks @laurenashburn1 for the question during today’s webinar about resources for not-for-profits. I’ve spoken with @alzassociation national leadership on this as well &amp; it is a priority moving forward. Thanks for the incredible work @WNYAlz staff and volunteers do each day.,2020-05-07 17:55:38
"Tomorrow at 10am, join our Food Drive @Broadway_Mkt to help our community and your fellow neighbors in need. https://t.co/UN5Btw4g2C",2020-05-07 16:56:30
"NEW: Federal Funding for @HWMRI for multiple research studies into the molecular structure of the virus which causes #Covid19. We are proud to have WNY scientists leading the charge as we all work to save lives, end this crisis, and rebuild our community! https://t.co/fspJHan4aA https://t.co/IIAqdHO32J",2020-05-06 23:06:58
"Our @USPS employees work tirelessly to deliver essential supplies and mail to our community amidst a global health pandemic. As they support us, our next emergency package must support them with the resources required to keep operating. #heroesdelivering https://t.co/eGiQJdExpz",2020-05-06 20:00:42
This Friday from 10am-2pm join us to help our neighbors in need at the @broadwaymkt with Legislator Howard Johnson and Councilman @mitch4fillmore at our mobile food drive. https://t.co/Z7auXeAcc4,2020-05-06 18:25:25
"Household budgets have been stretched thin as a result of the ongoing #covid19 pandemic, making housing more difficult to afford. New federal funding for the Housing Choice Voucher program will help WNYs #StayAtHome in safe living conditions.
https://t.co/WasAHvS3p3",2020-05-06 17:02:54
Our military heroes are planning a local salute to WNY's frontline heroes with this flyover scheduled to take place over Erie and Niagara Counties next Tuesday https://t.co/dfBL4NSS7O,2020-05-06 16:30:29
"Time and time again, nurses show us dedication, compassion and hard work for our families and communities. This #NationalNursesDay, while they work to fight #covid19, we honor our health care professionals by working to provide the resources they need to save lives. https://t.co/n7viKdnh4N",2020-05-06 15:52:28
This #NationalTeachersDay many have a new appreciation for the work that goes into teaching our children. #ThankYouTeachers for continuing to educate students through remote learning and for putting your whole heart into what you do. @nysut https://t.co/j01Kwt6Js3,2020-05-05 21:15:21
"The current #covid19 outbreak has made one fact very clear. We need to proactively make robust investments into preparing for, monitoring, and responding to pandemics with funding for research into treatments against infectious diseases before reaching global health crisis status https://t.co/ExOEYZRx3r",2020-05-05 19:01:16
"""Expanded #COVID19 testing is critically important, particularly for residents in more dense urban areas with at-risk populations. This action on @riteaid's part is good news for Niagara Falls and Buffalo.""
https://t.co/xj71mnsyvx",2020-05-05 17:50:10
Looking for a way to give back? Stop by the mobile food drive we are hosting with Legislator Howard Johnson and Councilman @mitch4fillmore at the @broadwaymkt this Friday. Your donations will help @feedmorewny serve our neighbors in need. RT to help spread the word. https://t.co/rQ0OsY6Uu7,2020-05-05 15:27:15
"New drive-thru #coronavirus testing sites coming to the City of Niagara Falls and Buffalo's 14215 hot spot. @RiteAid confirmed the sites yesterday, following our efforts last week with @Restaino4Mayor &amp; others to push for sites in the urban centers. https://t.co/W4NuahwLYF",2020-05-05 13:46:31
"During this #covid19 outbreak, immune compromised cancer patients who require chemotherapy are especially at risk. Our letter to House leadership insists that the next emergency package should include equal access to oral chemotherapy medications that can be taken safely at home. https://t.co/TQS8bzu75k",2020-05-04 21:37:49
"Today, as we honor the #FreedomRiders and all the heroes of the civil rights movement, we must recommit ourselves to justice and equality. The #COVID19 crisis only intensifies this fight. https://t.co/kpKsmVmxH6",2020-05-04 19:31:38
"Yet another proud example of WNY fighting back against the #COVID19 crisis, this time with @bflomfgworks's engineering of a new face mask. @WKBW : https://t.co/hxbgFvx0od",2020-05-01 22:11:01
"We can save lives during #COVID19 with better access to testing. Residents of the City of Niagara Falls have little access, which is unacceptable. Our letter to @HHSGov demands change. https://t.co/1Sfra2dLs6",2020-05-01 21:01:21
"Met with local labor leaders today to discuss worker protections, state and local emergency relief, and steps to an economic recovery that supports working families. https://t.co/2aZNF6XE2P",2020-05-01 20:33:25
Join us for this opportunity to help out neighbors in need. https://t.co/om495tHY8i,2020-05-01 20:12:44
"As neighbors and allies, the U.S. and Canada must work in coordination to address the #coronavirus pandemic. Spoke today with @DCGKNasim about shared concerns and efforts to restart our interconnected economies. https://t.co/NlbybldenC",2020-05-01 19:45:24
"Safe and secure housing is challenged during a pandemic. With federal funding approved in the #CARESAct, local housing authorities can minimize the risk of COVID-19 exposure to residents. More information: https://t.co/QBJEIpO47E https://t.co/NwiTtvMIrG",2020-05-01 17:26:28
"Much like the federal government provides communities with disaster relief for hurricanes, tornadoes, and other emergencies, we have a responsibility to provide relief to state and local governments impacted by the current #COVID19 outbreak. https://t.co/ROgIjTXR7d",2020-04-30 21:01:31
"Today for Day of The Child we celebrate the joy and love children bring into our lives each day, and how we appreciate our families during our #StayAtHome time together. Thank you to our friend @HHCWNY President @CasimiroDRodri2 and the entire Council for leading this celebration https://t.co/TM1nyR0RSF",2020-04-30 16:56:45
"Our postal workers still delivering medicine, stimulus checks, census forms, absentee ballots, and mail to our community deserve our support. In a recent bipartisan letter we pushed for emergency funding for @USPS to assist in dealing with the impact of the #coronavirus outbreak. https://t.co/l8r33LBEY8",2020-04-30 14:55:08
Many thanks to Majority Leader @CPeoplesStokes for hosting today's Town Hall with @SenGillibrand and @SBAatlantic providing local small business owners with information on how to access #COVID19 federal relief and resources https://t.co/CkarchDXhN,2020-04-30 00:24:01
Looking forward to joining @dottieg716 and members of the WNY business community to discuss the impact of #COVID19 and how we can work together to build a stronger economy https://t.co/TAsFMcesLi,2020-04-29 17:15:40
