tweet,dates
"ICYMI: I’m compiling a list of every job available that we know about! Check out our new virtual job fair here → https://t.co/EPsZ9IXK0n
https://t.co/0oz1nenlFn",2020-05-09 18:30:00
"This is about more than “lake levels.” It’s a fight for the health of millions in FL. It’s a fight to prevent toxic discharges &amp; restore the Everglades. U.S. Sugar doesn’t care about that - they just want to hoard the water, consequences be damned.  
https://t.co/3u6TOauhya",2020-05-09 14:30:00
"Coronavirus has resulted in the hardest working people being asked something never before seen: don’t go to work. My goal is to turn that around &amp; find every job out there to fill w/ someone looking for work! Starting right now w/ our new virtual job fair:
https://t.co/DzeXL4gK7K",2020-05-08 17:00:01
"75 years ago, the Nazis surrendered to the Allied Powers in Europe, ending WWII. Today we honor those who answered the call to service &amp; salute their sacrifices for our freedom. These men &amp; women changed the course of history by proving that good will always triumph over evil! https://t.co/YRM0hj0wS0",2020-05-08 14:01:27
"U.S. Sugar wants your water. They've enlisted Congress to steal it for them.

Read more here ⤵️
https://t.co/GVut4TDroF",2020-05-07 12:40:35
"❗Using the coronavirus pandemic as cover, special interest groups are attempting to hijack Florida’s water for their own profit.❗

I will not let that happen! ➡️https://t.co/urAn0rn0Xs",2020-05-06 18:23:52
Today is #NationalNursesDay.  I hope we can all give a HUGE thank you to every one of the nurses out there on the front line of the coronavirus battle! Each day you put it all on the line to protect our families and community. We appreciate all that you do. https://t.co/iL9pVkTwoR,2020-05-06 16:25:53
"Veterans deserve better than a broken claims system that makes them wait more than a year to receive the pension they’ve earned. I’m working with a bipartisan group of lawmakers to fix these incessant delays and fix this broken system! Read more:
https://t.co/zMjhhExaJg",2020-05-05 19:00:00
"On this #TeacherAppreciationDay, I want to say THANK YOU to all of the dedicated men and women preparing the next generation to lead the world. Your commitment to our children during this time of distance learning does not go unnoticed! https://t.co/d1rKK5sK5d",2020-05-05 15:09:56
(1/2) The current claims process for VA Pensions and Survivors Pensions simply does not work. Veterans and their families - men and women who have sacrificed everything for our nation - are left waiting for months with little to no communication on the status of their claim.,2020-05-04 20:54:10
