tweet,dates
Helped secure $1.5M+ from the @FCC for #Baltimore’s @KennedyKrieger + #Brandywine’s @GreaterBaden to expand critical telehealth services for high risk children + adults w/ disabilities + low-income patients respectively. More: https://t.co/zljWY8v9S4,2020-05-08 18:23:00
"Joined #TeamMaryland in announcing $17M+ in @NationalService funding for @AmeriCorps, enabling the national service program to place over 1,200 volunteers into 10 organizations statewide + continue their crucial work in #MD while we combat #COVID19. More:https://t.co/j3OyTWH99j",2020-05-07 19:33:14
".@MorganStateU (MSU) has been an invaluable part of the #Baltimore community for over 150 years. I’m proud to help secure $500,000 in @NatlParkService funding to support MSU’s University Memorial Chapel preservation efforts. Read more here: https://t.co/aNAvlIlBrW",2020-05-07 18:56:11
"I credit my life to the care I received from the surgeons, doctors + ESPECIALLY THE NURSES at Maryland @shocktrauma. This #NationalNursesDay, I say thank you to our nation's nurses, who have shown us time + time again what true dedication, compassion + hard work really mean. https://t.co/UcyyRDjKvd",2020-05-06 19:00:22
"Along w/ #TeamMaryland, I'm calling on @TheJusticeDept to take further action to slow the spread of #coronavirus in federal prisons by ensuring staff are provided w/ adequate PPE, regular testing + health care support. Read our letter here: https://t.co/3P3DiwMImW",2020-05-06 15:30:03
"Joined #TeamMaryland in announcing more than $46M in supplemental #CARESAct relief funding for #MD's HBCUs, MSIs + colleges serving large populations of low-income students. Get the breakdown here: https://t.co/2QTK2L81lW",2020-05-06 14:55:16
"I am proud to come from a family of educators – my grandmother, my mother, my wife, Kay, my sister and sister-in-law were all teachers in the #Baltimore area. This #TeacherAppreciationDay, I say thank you to the teachers who continue to shape students’ lives. #ThankATeacher https://t.co/IG7YfzYBqW",2020-05-05 15:32:13
Proud to lead a bipartisan effort w/ @RepSteveStivers to encourage leadership at the @USTreasury @federalreserve to help our state + local governments provide critical services as they face unprecedented challenges due to #COVID19. Read our letter here:https://t.co/9cg3mgBJJl,2020-05-04 21:35:18
First virtual press conference w/ @SenatorCardin @ChrisVanHollen @Mfume4Congress @mayorbcyoung @RepSarbanes @HoCoGovExec @AACoExec and on an extremely imp topic - helping states + cities weather #COVIDー19. https://t.co/XDmRe2KKla,2020-05-04 13:52:02
"Tomorrow, the @BlueAngels and @AFThunderbirds will be flying over #Baltimore in honor of healthcare workers and first responders on the frontlines of our fight against #COVID19. Check out the attached graphic for the flight route. #AmericaStrong https://t.co/gOkzKxjZJE",2020-05-01 19:02:03
