tweet,dates
"Happy #MothersDay to all the mothers, grandmothers, and motherly figures! Your endless love and support is what keeps our communities strong! Thank you for all you do each and every day 💐 https://t.co/CU21PVlBCh",2020-05-10 15:50:35
"Today, we celebrate 75 years since an allied victory in Europe ended #WWII. Our nation will never forget the heroes of the greatest generation who fought valiantly to defend freedom around the world. #VEDay75 https://t.co/qAkx9q1Jc5",2020-05-08 14:21:08
Thank you @IPRCenter for all you are doing to combat fraud throughout our supply chains. Your work ensures that the correct PPE is getting to our front line health care workers as they combat #Covid_19. https://t.co/vxf4YXqz5V,2020-05-07 18:31:14
"This #NationalDayofPrayer is more special this year. I was happy to join with the community of Cabell County to pray for our country. 

If you have a spare moment, I encourage you to pray for the health of our nation &amp; those working on the frontlines to combat #Covid_19. https://t.co/i5galc36Uq",2020-05-07 17:25:44
"Thank you to all of our nation's nurses working each day to combat #COVIDー19. You are the heroes keeping our loved ones safe and healthy. For that, we are eternally grateful. 
#NationalNursesDay https://t.co/WFnLkxcpjU",2020-05-06 16:07:32
"Under @POTUS’ leadership, the United States leads the world in COVID-19 testing BY FAR. 

We are a safer country thanks to @realDonaldTrump! https://t.co/FYaqTwmJtV",2020-05-06 14:36:41
"This week we celebrate our teachers! Without your hard work, our children would not have the opportunities they have each day. It takes a village, and your role is one of the most important. Thank you for all you do. 🍎 #TeacherAppreciationWeek2020 https://t.co/5OZKQmNBaI",2020-05-05 14:12:59
We are all #InThisTogether. I am proud to call our great state home. #AlmostHeaven https://t.co/K7cVjHxqpS,2020-05-04 21:43:51
Thank you @GOPLeader for providing this effective and safe plan for getting Congress back to work! https://t.co/nzgUHJcoMB,2020-05-04 17:08:46
"Starting Monday, West Virginia’s “Stay at Home” order will be replaced by @WVGovernor’s “Safer at Home"" order. Even with some restrictions being lifted, it is imperative we continue social distancing and proceeding with caution. https://t.co/MOzmDrPFuQ",2020-05-01 18:23:06
".@WVGovernor has announced that the reopening of West Virginia is now underway. Click the link below to see the full details of his plan, ""The Comeback"" 👇

https://t.co/z1wdrivvzI",2020-04-30 18:48:41
🚨Excellent news! We are working around the clock to ensure more funding is coming home to keep our communities safe and healthy during #COVID19. https://t.co/EOo6BOnwun,2020-04-29 18:16:03
"Still looking for your Economic Impact Payment?

Check the status of it here ⤵️

https://t.co/CiL12D8Tdo",2020-04-28 19:29:46
Happy Birthday @WVGovernor! Best wishes for a great day! 🎂🥳,2020-04-27 23:45:06
"The #PaycheckProtectionProgram will be available again this morning at 10:30 a.m.! 

Small businesses can seek relief during #COVID19 by applying for this ~ forgivable ~ loan.

Find more information here: https://t.co/SBJvV1sj2a",2020-04-27 14:24:27
"Braskem America workers in PA and WV spent an entire month on the job, without going home, to produce the materials needed in 500 million N95 masks. Today, @SteveScalise and I expressed our thanks to these heroes for helping our nation fight #Covid_19. We are forever grateful. 🇺🇸 https://t.co/rH5rTivIU0",2020-04-26 21:18:48
"Happy Birthday, @FLOTUS! 🎂🥳 https://t.co/68Ur8DuWVV",2020-04-26 16:20:56
🚨 STARTING NOW! https://t.co/wDJRNcMpQI,2020-04-24 23:01:34
"📺Tonight I will be joining my colleagues @SenCapito, @RepMcKinley, @Sen_JoeManchin, and @claymarsh on @WDTV5News to discuss West Virginia’s response to #Covid_19. 

Tune in at 7pm here —&gt; https://t.co/D28U0A6OrP",2020-04-24 15:02:32
