tweet,dates
"May 10th #NY12 #Coronavirus Update

Including:
- Urging House leadership to include payment relief for federal &amp; private student loan borrowers in the next #COVID19 relief package
- NYC job opportunities with the Test &amp; Trace Corps
https://t.co/OJVu4miXmk",2020-05-10 17:45:17
"Today, we recognize our incredible mothers for their wisdom, their sacrifices, and their unconditional love. No matter how close or how far, let us celebrate and thank our mothers for all that they do.
 
#HappyMothersDay! https://t.co/GEivkcpkpc",2020-05-10 13:21:18
"This #NursesWeek, I stand in solidarity with @NationalNurses &amp; nurses across the country as they demand the protections they need to do their jobs safely during the #COVID19 pandemic. We need to get PPE to the frontlines immediately to #ProtectNurses.
https://t.co/dPslLz4aMe",2020-05-09 20:15:03
"May 9th #NY12 #Coronavirus Update

Including:
- Urging large, public corporations to immediately return taxpayer funds intended for #SmallBusiness struggling to survive #COVID19
- Briefing from Hurricane Katrina taskforce leader on lessons for this crisis
https://t.co/vjeMea6gMn",2020-05-09 19:27:37
"Even a 1% #2020Census undercount could cause #NY12 to lose funding for vital services.
 
Only 47% of #NY12 has responded so far, putting us behind NYS &amp; over 10% behind the national average.

Fill out your #Census2020 forms NOW to help #NY12 #GetCounted!
https://t.co/2vrP44Bb2j",2020-05-09 17:03:28
"#ICYMI: On Tuesday, I intro’d the Student Loan Forgiveness for Frontline Health Workers Act.

Health care professionals have told us that this is the financial support they need. Let’s show them we really mean it when we say “thank you.” https://t.co/IPrnVsdGr5",2020-05-08 22:00:32
"Today marks the 75th anniversary of #VEDay, the end of #WWII in Europe. 

I am so thankful for the servicemembers – and the allies who fought alongside them – for their bravery and sacrifice. #VEDay75 https://t.co/JgNAGFcqFN",2020-05-08 20:35:26
"Our schools may closed, but class is still in session thanks to the teachers who are making sure they are still reaching our students every day.

This #TeacherAppreciationWeek, I encourage everyone to #ThankATeacher, not just today, but every day for all they do for our kids. https://t.co/cPg2BErfuR",2020-05-08 18:15:11
"May 8 #NY12 #Coronavirus Update

Including:
- Asking the Trump Organization for information on its request for financial help from the UK govt
- Urging House leadership to support small grocers &amp; NYers who rely on them in the next #COVID19 relief bill 
https://t.co/bzBFS1oy9d",2020-05-08 17:58:58
"NYC’s 13,000 bodegas &amp; independent grocers are an integral part of our city. I’m proud to be working with @RepGraceMeng to ensure we give them - and the NYers who rely on them - the support they need during #COVID19.https://t.co/lZb389AEbh",2020-05-08 15:00:35
"This #NursesAppreciationWeek, I introduced a bill to thank our heroes. 
 
Along with doctors and nurses, it would cancel student debt for the researchers, lab workers, mental health professionals, and other health workers who are providing care as part of the #COVID19 response. https://t.co/D68YDcVCRh",2020-05-07 21:30:18
"This is callous and just plain wrong. 
https://t.co/jzEkYRsDoZ",2020-05-07 20:20:07
"At a time when Congress should be focusing #COVID19 relief efforts on keeping families safe &amp; healthy, some of my colleagues are targeting abortion.
 
We can’t say it enough - stop playing politics with people's healthcare &amp; using a pandemic to push an anti-abortion agenda. https://t.co/fUjWk11G3Y",2020-05-07 19:35:18
"May 7th #NY12 #Coronavirus Update

Including:
- Urging the FDA to revise policy that prevents men who have sex with men (MSM) from donating plasma for #coronavirus research.
- New NYC street openings
https://t.co/TPbI4lQias",2020-05-07 19:00:39
