tweet,dates
"Happy #MothersDay. Sending love and encouragement today to all moms, especially as we navigate together the new challenges and the uncertainty of the coronavirus. ❤️",2020-05-10 15:09:00
"As American ingenuity powers our economy to reopen, a national standard for #dataprivacy is needed more urgently than ever. It ensures we will make an even stronger comeback &amp; build trust in the private sector to keep innovating for decades to come. 
https://t.co/xSLqJHuxh8",2020-05-09 20:07:00
"While today might not be how you imagined it, graduating from @WSUPullman is an incredible accomplishment. Congratulations to the Class of 2020! #GoCougs https://t.co/5qWF2SWBkX",2020-05-09 16:58:00
"Health experts tell us we need to embrace new tech to end the coronavirus pandemic, save lives &amp; restart our economy.

But what happens if people don’t trust these tools will protect their #privacy? HINT: Innovation will come to a screeching halt.

https://t.co/xSLqJHuxh8",2020-05-08 18:06:00
"In a global economy, who do you trust to lead on privacy standards? 

❌ Not China or Europe.

🇺🇸 America is uniquely qualified to lead on forward-thinking solutions that promote both consumer protection and innovation.

Read WHY: https://t.co/xSLqJHcWpA",2020-05-07 21:15:00
"How America wins the future: We should get data privacy right &amp; lead the world into a new era of emerging technology that upholds our values for human rights, individual liberty, the free market and limited government. https://t.co/xSLqJHcWpA",2020-05-07 19:00:00
I spoke with @kiphillreporter this week for the @SpokesmanReview’s Virtual Northwest Passages Forum. ICYMI ⤵️ https://t.co/HydB9yWA7i,2020-05-07 18:22:00
"My NEW opinion piece in @MorningConsult→ Coronavirus and Privacy Protection.

Here’s what you need to know on why a national standard is more urgent than ever before.
https://t.co/xSLqJHuxh8",2020-05-07 17:21:00
I stand with the Little Sisters of the Poor. #SCOTUS hears their case today starting at 10am et. #LetThemServe because our religious freedom is constitutionally guaranteed. https://t.co/6c9TQx2OAd,2020-05-06 13:30:00
"JUST 6% of people say they understand a great deal how companies are using their data.  

How do we fix this? 💡 A national standard for privacy would lead to fewer surprises. It will help more people know how their data is used, collected, &amp; shared.  

https://t.co/5eilr1gjxs",2020-05-05 21:14:00
From my latest interview with the @SpokesmanReview: Beware of coronavirus-related scams and robocalls. https://t.co/FIlhq4XhOy,2020-05-05 20:22:00
"Did you know? The @FCC is enabling innovative use of L-band spectrum for #5G. To beat China, this is a crucial action to safely reduce barriers holding deployment back in America. The @FCC must be allowed to do its job &amp; safely repurpose spectrum for 5G. https://t.co/hmDEHN90fO",2020-05-05 19:45:00
"On #WorldHandHygieneDay, I also want to express gratitude to everyone on the frontlines of the COVID19 response. We can all keep doing our part to slow the spread by washing our hands! https://t.co/HV2j3Zp9AQ",2020-05-05 18:59:00
"📰 Have you seen these #coronavirus headlines on #dataprivacy? 

🚨 A national standard for #privacy to protect consumers &amp; promote innovation is needed more urgently than ever. Here’s why 🧵... https://t.co/AjgIjmqAKy",2020-04-30 20:06:04
Congrats again @drbossburden and @CheneySchools. Thank you for being such a strong champion &amp; advocate for our students! https://t.co/UWE95jslee,2020-04-24 19:23:00
"We should win the future with🇺🇸nuclear innovation. It’s dangerous to our security &amp; global competitiveness that China &amp; Russia are exporting their nuclear tech to other countries. For our energy independence, @POTUS’ strategy to restore our energy leadership must be a priority. https://t.co/marH89XGeu",2020-04-24 16:03:11
"I was on @FoxBusiness today with @TeamCavuto to discuss why Congress must support small businesses and help them keep workers on their payrolls. 

Neil, thank you for sharing so many stories of hope! https://t.co/Gr8pKJtvPD",2020-04-23 20:33:43
SOON: Tune in to @FoxBusiness. I’ll be on with @TeamCavuto to discuss the latest on the COVID19 response.,2020-04-23 17:26:50
Residential construction is essential. I’ve heard from families in Eastern Washington who must pay extra rent because the construction of their new homes is delayed. #HousingIsEssential https://t.co/hKjLHJtp27,2020-04-15 22:12:00
More proof reported by @AP this AM: “China didn’t warn public of likely pandemic for 6 key days.” https://t.co/7mc73ozy0x,2020-04-15 20:51:47
"We need a thorough review of how @WHO spread misinformation from China and how it shaped the global response to COVID-19. For strong American global leadership, @POTUS is right to demand accountability &amp; transparency here.",2020-04-15 01:04:40
"The @FTC has tips on how you can protect yourself from scams, recognize fake products, &amp; report scams if you see them. https://t.co/hvJCrvtB4F",2020-04-14 20:50:00
Reminder: Tax Day (April 15) has been delayed because of #coronavirus. Here are resources from the @IRSnews on tax relief and the Economic Impact Payments. https://t.co/xw3L0hvrbe,2020-04-14 19:45:00
"He is Risen! The Easter season is a time for hope. We need that now more than ever-- hope &amp; healing. Wishing you and your family a blessed Easter Sunday. 

2 Corinthians 5:17 “Therefore, if anyone is in Christ, the new creation has come: The old has gone, the new is here!”",2020-04-12 17:26:00
"“It lets you know you’re not alone.” 

Love this story of the community coming together but also following social distancing. #AmericaWorksTogether #InItTogether https://t.co/MmZT2jNQWr",2020-04-11 20:25:00
🧼👏🧼👏 https://t.co/yIuDtoXv2b,2020-04-10 21:24:00
"Residential construction should be “essential” under WA state’s “Stay Home, Stay Healthy” order. #HousingIsEssential. https://t.co/hKjLHJtp27",2020-04-10 21:02:29
