tweet,dates
"Happy #MothersDay! This is a picture of my mom from her birthday last year when she turned 91. For a Mother’s Day gift, my family visited outside her apartment at a safe distance to wave hello and tell her we love her. https://t.co/an4iqGrdS2",2020-05-10 16:28:24
Happy #MothersDay to all the incredible moms out there!,2020-05-10 13:57:47
"To the SBA:

You must immediately reverse your policy limiting Economic Injury Disaster Loans to $150,000 and re-open them to all small business.

Your mismanagement of this critical program is hurting small businesses. https://t.co/PHJDGoVx2Q",2020-05-09 21:31:26
"In the world of music, it doesn’t get much better than Little Richard.

We have lost a musical giant.

Thank you for the joy and passion that your music brought to us all. May you rest in power.

https://t.co/da5ulArmMD",2020-05-09 16:36:16
"It's May 9th, and President Trump still doesn’t have an adequate national testing strategy.",2020-05-09 14:45:06
"President Trump and Senator Mitch McConnell say that it’s time to PAUSE on helping Americans across this country?

We just had the worst job losses since the Great Depression.

We need big, bold action.

And we need it now. https://t.co/jaVwoV3K7i",2020-05-09 14:16:17
"This is what Republican Senator Lamar Alexander from TN said on testing:

“Not nearly enough”

“There is no safe path forward to combat the novel coronavirus without adequate testing.”

President Trump: You need an adequate national testing strategy NOW.

https://t.co/KzYCCVzLgv",2020-05-09 13:48:24
"Pres. Trump said testing “isn’t necessary”!?

Americans are sick and dying and losing jobs

Testing is the best tool we have now to fight this virus, know who is infected or exposed, know when to re-open

He needs an adequate national testing strategy NOW

https://t.co/RfEuXwICx9",2020-05-09 13:17:26
"SBA must do more to stop the special treatment for well-connected big business at the expense of legitimate small business struggling to stay afloat and support their workers during this pandemic.

https://t.co/AKIPEtGfoS",2020-05-09 00:16:15
"We requested that the SBA Inspector General complete this report.

And it makes clear that the Trump administration must immediately fix the Paycheck Protection Program to help the truly small businesses that have so far not received the help they need.

https://t.co/AKIPEtGfoS",2020-05-08 23:25:14
"We just had the worst job losses since the Great Depression.

But President Trump and Senator Mitch McConnell say that it’s time to pause on helping Americans across this country?

No.

We need big, bold action, and we need it now. https://t.co/txm94UN6Fo",2020-05-08 22:25:44
"It's May 8th, and President Trump still doesn’t have an adequate national testing strategy.",2020-05-08 16:24:55
"We need a big, bold approach now to support American workers and families.

Republicans who choose inaction in the face of these historic economic and health crises will be taking the same misguided path as Herbert Hoover. https://t.co/5x2iX0MATx",2020-05-08 16:09:09
"No one could look at today’s jobs report, the highest unemployment since the Great Depression, and say we should hit the pause button on further government action, as Leader McConnell, Leader McCarthy and the Trump White House have said. https://t.co/Er8H2KB9c8",2020-05-08 15:53:50
"This is jobs for teachers, and first responders, and healthcare workers, and more.

To the Republicans:

We need to act NOW on state and local aid. https://t.co/nNsNOn6H0r",2020-05-08 14:38:39
"To the Republicans:

We need state and local aid NOW. This is exactly why, and this will only get worse if we do nothing. https://t.co/nNsNOn6H0r",2020-05-08 14:26:24
"We’re fighting for essential workers in New York and across America.

They are on the frontlines of this crisis.

And they deserve premium pay from a Heroes Fund, paid leave, and protections to keep them safe.",2020-05-08 01:43:50
"President Trump doesn’t care about you. He doesn’t care about your health. He doesn’t care about your family. He doesn’t care about testing. He just cares that his cronies are taken care of.

https://t.co/SfYJcPBWkK",2020-05-07 22:58:01
"In February—a bipartisan majority of Senators sent a clear message saying Pres. Trump cannot wage war with Iran without Congress’s approval

The House passed the same resolution

But Pres. Trump vetoed it

The Senate should vote to overturn the veto today

No more endless wars!",2020-05-07 18:15:27
"CDC was ready to issue a guide on how communities could re-open safely. The Trump admin stopped it.

Pres. Trump's pressuring for re-opening—but refuses take responsibility for ensuring it happens safely

He needs an adequate national testing strategy NOW

https://t.co/PqDTWaCIFa",2020-05-07 17:08:48
"Several big corporations that received small business loans they never should have gotten to begin with are returning them to the Treasury.

The SBA should re-direct those returned loans to a set-aside for truly small and underserved businesses using community-based lenders NOW.",2020-05-07 16:39:01
