tweet,dates
Wishing a very special Mother’s Day to my beautiful wife Brenda who gave life to our three amazing sons. https://t.co/JZtBxKLq9F,2020-05-10 17:17:43
Wishing everyone a very happy Mother’s Day! https://t.co/vOZu0OHxZC,2020-05-10 13:44:33
"75 years ago today, the allies accepted the unconditional surrender of Nazi Germany. 

Join me in honoring the men and women who fought valiantly to protect our freedoms.",2020-05-08 20:24:35
"A strong nuclear industry is great for our economy, the environment, and our national security.
 
Proud to support President Donald Trump and his plan for revitalizing this critical sector of our economy.
https://t.co/X2M6PTg4j5",2020-05-08 15:05:09
"Saddened to learn of the passing of Former State Rep. Arnold Stulce Sr.

Arnold was a pillar of the Soddy-Daisy community. A man of great faith, he served our nation valiantly as a pilot in WWII &amp; spent his life giving back to the community.

Brenda &amp; I are praying for his family",2020-05-07 22:19:36
"We are lucky to have @ORNL in East Tennessee.

By using advanced manufacturing, researchers at the MDF are developing tooling such as molds that will enable the production of face masks, shields and test collection tubes.
https://t.co/tes3oZgZ8O",2020-05-07 13:33:06
"Proud to have voted in support of the Paycheck Protection Program to get these funds to East Tennessee small businesses. 

Since April, $8,950,218,312 in loans were made to over 75,006 Tennessee small businesses &amp; self-employed individuals.

https://t.co/RLg91O7BVF",2020-05-06 17:11:15
"Renee Mills, a Chattanooga nurse, has sewn 225 masks for people in her community. 

God bless people like Renee who have gone above and beyond to help the community. 
https://t.co/UVbO8K9XgA",2020-05-06 14:51:20
"I am so proud of the college &amp; high school seniors who are graduating this year.

I know this may not be the graduation you expected but I am immensely proud of everything you have accomplished.

Our nation will be coming together to celebrate you all.

My message⬇️ https://t.co/68hKysSyJA",2020-05-05 21:17:08
Today is #InternationalFirefightersDay and I want you to join me in honoring the heroes in our community who put their lives on the line to keep us safe.,2020-05-04 18:22:56
"Great work by these @UTChattanooga students who are helping to monitor the spread of COVID-19.

This work is critical for safety as our state and nation begins to reopen. 
https://t.co/JIMz6uMS19",2020-05-04 15:19:05
"The evidence continues to pile up that China withheld critical information from the world, allowing this deadly disease to spread. 

China WILL be held accountable. 
https://t.co/TGsLUb1IiB",2020-05-03 22:48:11
"Congratulations to all the Hamilton county students who took home prizes! 
https://t.co/6nvBGa43WW",2020-05-01 17:49:49
This is great! Go listen ⬇️ https://t.co/RhTQNrqpy1,2020-05-01 16:02:49
"ICYMI — I held a Facebook Live Townhall last night to take your questions regarding the ongoing COVID-19 pandemic. 

Afterwards I spoke with @newschannelnine ⬇️ https://t.co/EwYvYx18Ud",2020-05-01 16:01:00
