tweet,dates
"For all the mothers celebrating at home or separated from their families while they work on the front lines, we salute you. Thank you to all the moms – including my own – who serve as a source of strength and inspiration to us every day. #HappyMothersDay https://t.co/0kPOAAaXc9",2020-05-10 15:30:00
Sent letter to POTUS calling for release of CDC guidance to states and business on how to reopen safely. We need to listen to the health experts and follow the data to get through this crisis #ForThePeople https://t.co/yL1WRZgO0x https://t.co/kllGcHvMWp,2020-05-08 21:15:00
PINELLAS: @SheriffPinellas has launched a new tool to provide real-time updates on current beach capacity so we can enjoy our beautiful sunshine while observing social distancing rules. Be sure to check it before you hit the sand! https://t.co/WZyXiWHk40,2020-05-08 19:55:28
"Today, a grateful nation thanks our soldiers far and wide as we commemorate the anniversary of #VEDay. We honor the great heroism and sacrifice our servicemembers made to bring an end to #WWII 75 years ago. https://t.co/JgTWJgJ7FR",2020-05-08 18:55:00
"The murder of Ahmaud Arbery in Georgia is a horrific reminder that lynching is still with us today, even if the methods have changed. We DEMAND justice for Ahmaud -- and the Senate MUST pass the Emmitt Till Antilynching Act. https://t.co/rpldoHGVOH",2020-05-08 16:02:53
"Wonderful news for Florida fisheries as #CARESAct allocates over $23 million to fishery-related businesses negatively impacted by #COVID19. Commercial fishermen, charters-for-hire, &amp; others can learn more here ➡️ https://t.co/uD0jhfYzQq",2020-05-08 15:05:00
"UPDATE: @CHCPinellas will open a fourth COVID-19 testing site at their Lealman location starting next week. Testing is by appointment only to protect public safety – if you wish to get tested, call 727-824-8181 and select option 0 to schedule an appointment. https://t.co/U2N0HtB0pf",2020-05-08 13:38:18
"During these challenging times, the power of prayer can be a force that pulls us together, even while we’re miles apart. To those of all faiths, I wish you a safe and peaceful #NationalDayofPrayer https://t.co/A9jrm1bfvH",2020-05-07 18:46:30
"Largo business owners can now apply for the @CityofLargo Business Continuity Program offering $1,000 grants on a first-come, first-served basis. Eligible businesses must have a brick-and-mortal location in Largo with 2-50 Full Time employees – learn more👇https://t.co/4dGswT9UeV",2020-05-06 19:54:02
Happy #NationalNursesDay to all the healthcare heroes working long hours to save lives during the #COVID19 pandemic! Nurses are on the front lines of this crisis &amp; I look forward to working with my colleagues to pass hazard pay for healthcare workers in #CARES2! #ThankYouNurses https://t.co/hA5FfNQS4g,2020-05-06 14:27:53
Thank you to the physicians &amp; community leaders who joined yesterday’s call on what is needed to keep patients &amp; our community safe from #COVID19. You’re on the front lines - it’s our job to keep you supplied &amp; supported while you fight back this virus.,2020-05-05 22:04:44
"We’re still working to #FlattenTheCurve, but Florida’s natural beauty will be there when we’re ready! As part of National Travel &amp; Tourism Week, check out this view from Pinellas resident Crystal Hampton of North Redington Beach – nothing like it! #SpiritOfTravel https://t.co/XEPqjI3hvr",2020-05-05 17:45:00
Check out this awesome video from Shore Acres Elementary students thanking their teachers as part of #TeacherAppreciationDay – couldn’t have said it better! #ThankATeacher https://t.co/s6Fruk7fdb,2020-05-05 17:14:01
"Pinellas, join us today at 12 pm for a virtual town hall with @AlzAdvocacyFL and Department of @ElderAffairs to as we discuss federal and state response to #COVID19. Click here to register https://t.co/EQUtmSdCXB https://t.co/3HzO8Uo8Pi",2020-05-05 14:33:07
Happy to hear the @GabberNews may soon have a new owner and be back to publishing local Gulfport news! https://t.co/vXp5KwDeeZ,2020-05-04 20:12:08
"UPDATE: In light of the COVID-19 crisis, SNAP benefits have been expanded and recipients are now able to purchase groceries online at participating retailers. To see if your family may qualify, visit the website below 👇https://t.co/5053MQCCA5",2020-05-04 18:41:17
"UPDATE: @CHCPinellas is now offering no-cost drive-thru COVID-19 testing for all who need it, with or without symptoms. Call 727-824-8181 to schedule an appointment. https://t.co/vjQ9GoJCaP",2020-05-04 17:09:07
Today we lost one of the greatest coaches in NFL history. Deeply saddened to hear of Don Shula’s passing. May his legacy live on forever. https://t.co/ZYn6gpR6qz,2020-05-04 15:50:36
City of @StPeteFL has opened the Fighting Chance Fund to even more small business owners impacted by the COVID-19 pandemic. Learn more below! https://t.co/ujDrbWP8nU,2020-05-03 17:24:00
"#GoldenRuleAward to Jim Bardwell of Seminole for delivering hundreds of pounds of unsold produce from local farms to local food banks. Feeding Florida families and keeping local farms growing strong! 

https://t.co/5qsbv3pjp3 https://t.co/iYBPjv9v0W",2020-05-02 18:10:00
"Small business owners impacted by the COVID-19 pandemic can apply for $5,000 emergency financial assistance through @PinellasCoNews with the new Pinellas CARES fund. Learn more below 👇 https://t.co/KsiNOxmihc",2020-05-01 21:01:32
Critically important that people continue to practice social distancing and follow @CDCgov guidelines as the first phase of reopening starts Monday. We’ve worked hard for 6 weeks to #flattenthecurve. Let’s not put those gains at risk by letting our guard down in public.,2020-05-01 18:32:59
"Since the outbreak of this pandemic, the #PeoplesHouse has fought to lend a helping hand to individuals and small businesses in need. But there’s more work needed #ForThePeople.",2020-04-30 19:32:08
Exciting announcement from @NASA gets us one step closer to first woman and next man on Moon in 2024 - Florida plays a critical role in our country’s quest to infinity and beyond! https://t.co/qooftqN4XA https://t.co/STCxHB9huU,2020-04-30 19:00:00
"ATTENTION: Pinellas residents deemed ""ineligible"" by FL unemployment office, including gig workers &amp; self-employed, may still be eligible for $600/week Federal Pandemic Unemployment Assistance. If you applied before April 4th, you should reapply below 👇https://t.co/kugDdv8tsP",2020-04-29 15:50:24
"Thanks to @NOAA for $200,000 award to @USouthFlorida for #redtide research. Developing response and mitigation strategies to better protect our local waterways and economy. https://t.co/w0MAGsrDFV https://t.co/I3UTuBxJDz",2020-04-29 13:50:00
"Kudos to Pinellas and Hillsborough for making Coronavirus testing available for those in underserved communities! South St. Pete residents who are experiencing symptoms can get tested at Bartlett Park this Saturday from 8am-12pm, more info below. 
https://t.co/t4eUiOKZ6e",2020-04-28 19:49:13
"Grocery workers, delivery workers, sanitation staff, &amp; all workers on front lines show courage comes in many uniforms. We must repay that sacrifice w/ fair wages, paid sick leave, &amp; affordable, quality, accessible health care for all. #WorkersMemorialDay #AllWorkersAreEssential https://t.co/DIo4PaU1WC",2020-04-28 17:48:16
UPDATE: The deadline for SSI/VA benefit recipients to claim dependents for the $500 per-child (or grandchild) additional stimulus payment has been extended to May 5. Update your information using the portal below https://t.co/F68G5G5tmw https://t.co/dL9h8ECOTu,2020-04-28 14:19:15
"NEWS FOR HOMEOWNERS: The CARES Act gives homeowners facing financial difficulty because of #COVID19 a 6 month “pause” on your mortgage payments. Now, regulators confirm – no matter what your bank or servicer tells you, YOU WILL NOT OWE A BALLOON PAYMENT. https://t.co/a6j13D4AR8",2020-04-27 16:45:38
"Helpful list of food pantries from @JWBPinellas 👇

Photo ID or proof of residency may be required; some serve specific areas or zip codes. Be sure to call ahead to ensure availability. 

https://t.co/i2cqCBa2Ch",2020-04-25 17:15:00
"Attention Veterans and SSI recipients! If you haven’t filed taxes in the past two years, you have until APRIL 30 to claim your dependent children or grandchildren to receive the $500 per-child benefit. Fill out the form from @IRS below  https://t.co/F68G5Gn4L6",2020-04-24 20:02:31
"ALERT: Our District Office phone line is down as a result of the storm front moving through Tampa Bay. While it is being repaired, please send all comments/concerns via our website - we will be monitoring closely and responding to all inquiries 👉https://t.co/hm4FkArDCP",2020-04-24 17:44:33
.@USCG servicemembers sacrifice a lot to keep our waterways safe and secure. We owe it to their families that childcare services provided to all the branches of the armed forces remain accessible. Appreciate Secretary of Defense answering our call to protect Coast Guard families. https://t.co/E7xBMUipHV,2020-04-24 14:45:00
